"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.171569830E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.219787600E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.268615720E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.316528320E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.364440920E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.412353520E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.459960940E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.507873540E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.555786130E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.603698730E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.651611330E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.699218750E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.747131350E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.795043950E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.842956540E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.890869140E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.938476560E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
1.986389160E-1,-4.715728760E-1,9.004058838E-1,1.347137451E0
2.034301760E-1,-3.164215088E-1,-1.090972900E0,-2.728576660E-1
2.082214360E-1,-4.422454834E-1,-1.188705444E0,-2.313232422E-1
2.129821780E-1,-5.497741699E-1,-1.216827393E0,-1.347961426E-1
2.177734380E-1,-6.438446045E-1,-1.187500000E0,-6.637573242E-2
2.225646970E-1,-7.037048340E-1,-1.086090088E0,1.791381836E-2
2.273559570E-1,-7.391510010E-1,-9.578094482E-1,1.522979736E-1
2.321472170E-1,-7.525939941E-1,-8.148651123E-1,2.720184326E-1
2.369079590E-1,-7.342681885E-1,-6.206054688E-1,3.978576660E-1
2.416992190E-1,-7.000579834E-1,-4.092559814E-1,5.518035889E-1
2.464904790E-1,-6.670532227E-1,-2.198791504E-1,6.861877441E-1
2.512817380E-1,-6.328430176E-1,-4.884338379E-2,7.961425781E-1
2.560424810E-1,-5.925292969E-1,1.111755371E-1,9.109954834E-1
2.608337400E-1,-5.522155762E-1,2.321319580E-1,1.008712769E0
2.656250000E-1,-5.167846680E-1,3.090972900E-1,1.086914062E0
2.704162600E-1,-4.874572754E-1,3.713989258E-1,1.183425903E0
2.752075200E-1,-4.691314697E-1,4.410552979E-1,1.295822144E0
2.799682620E-1,-4.532470703E-1,5.241241455E-1,1.417999268E0
2.847595220E-1,-4.483642578E-1,6.255340576E-1,1.554824829E0
2.895507810E-1,-4.398040771E-1,7.183685303E-1,1.694107056E0
2.943420410E-1,-4.068298340E-1,7.354888916E-1,1.802841187E0
2.991027830E-1,-3.042144775E-1,6.340789795E-1,1.865142822E0
3.038940430E-1,-1.111755371E-1,3.946075439E-1,1.843154907E0
3.086853030E-1,1.478118896E-1,8.064270020E-2,1.683105469E0
3.134765630E-1,4.019317627E-1,-2.015533447E-1,1.355697632E0
3.182678220E-1,6.071777344E-1,-3.872680664E-1,9.036407471E-1
3.230285650E-1,7.220153809E-1,-3.897094727E-1,4.381713867E-1
3.278198240E-1,7.427825928E-1,-1.771240234E-1,9.486389160E-2
3.326110840E-1,7.000427246E-1,1.844787598E-1,-7.493591309E-2
3.374023440E-1,6.169586182E-1,6.072082520E-1,-1.115875244E-1
3.421630860E-1,5.070037842E-1,1.020141602E0,-6.271362305E-2
3.469543460E-1,3.909301758E-1,1.390319824E0,3.012084961E-2
3.517456060E-1,2.773132324E-1,1.694549561E0,1.364135742E-1
3.565368650E-1,1.722412109E-1,1.930328369E0,2.414855957E-1
3.613281250E-1,7.572937012E-2,2.090377808E0,3.330993652E-1
3.660888670E-1,-1.222229004E-2,2.178344727E0,4.051971436E-1
3.708801270E-1,-8.306884766E-2,2.205230713E0,4.589385986E-1
3.756713870E-1,-1.331634521E-1,2.163696289E0,5.004730225E-1
3.804626470E-1,-1.673736572E-1,2.037841797E0,5.408020020E-1
3.852233890E-1,-2.040252686E-1,1.853363037E0,5.921173096E-1
3.900146490E-1,-2.480010986E-1,1.621246338E0,6.556396484E-1
3.948059080E-1,-2.993164062E-1,1.378112793E0,7.313995361E-1
3.995971680E-1,-3.567352295E-1,1.156982422E0,8.095855713E-1
4.043884280E-1,-4.141540527E-1,9.529418945E-1,8.926544189E-1
4.091491700E-1,-4.740142822E-1,7.745819092E-1,9.769439697E-1
4.139404300E-1,-5.338897705E-1,6.316375732E-1,1.063705444E0
4.187316900E-1,-6.023101807E-1,5.192413330E-1,1.155334473E0
4.235229490E-1,-6.853790283E-1,4.227294922E-1,1.244522095E0
4.282836920E-1,-7.794494629E-1,3.237609863E-1,1.314147949E0
4.330749510E-1,-8.747406006E-1,2.113647461E-1,1.348358154E0
4.378662110E-1,-9.688110352E-1,8.552551270E-2,1.348358154E0
4.426574710E-1,-1.053115845E0,-4.763793945E-2,1.326370239E0
4.474487310E-1,-1.125198364E0,-1.966705322E-1,1.301940918E0
4.522094730E-1,-1.185058594E0,-3.713836670E-1,1.294601440E0
4.570007330E-1,-1.220504761E0,-5.815124512E-1,1.300704956E0
4.617919920E-1,-1.219268799E0,-8.417510986E-1,1.309265137E0
4.665832520E-1,-1.174087524E0,-1.142288208E0,1.309265137E0
4.713745120E-1,-1.077560425E0,-1.475814819E0,1.295822144E0
4.761352540E-1,-9.199523926E-1,-1.816680908E0,1.270172119E0
4.809265140E-1,-6.963806152E-1,-2.145324707E0,1.237197876E0
4.857177740E-1,-4.214782715E-1,-2.448318481E0,1.196868896E0
4.905090330E-1,-1.136169434E-1,-2.704864502E0,1.158981323E0
4.952697760E-1,1.918029785E-1,-2.899139404E0,1.111343384E0
5.000610350E-1,4.764709473E-1,-3.033523560E0,1.058807373E0
5.048522950E-1,7.293701172E-1,-3.103149414E0,1.003829956E0
5.096435550E-1,9.468231201E-1,-3.090942383E0,9.586181641E-1
5.144348150E-1,1.134979248E0,-2.999313354E0,9.219665527E-1
5.191955570E-1,1.292572021E0,-2.839263916E0,8.889923096E-1
5.239868170E-1,1.424530029E0,-2.621795654E0,8.596649170E-1
5.287780760E-1,1.538131714E0,-2.366455078E0,8.364562988E-1
5.335693360E-1,1.626098633E0,-2.094009399E0,8.120269775E-1
5.383300780E-1,1.692077637E0,-1.817901611E0,7.888183594E-1
5.431213380E-1,1.744613647E0,-1.528350830E0,7.619323730E-1
5.479125980E-1,1.786148071E0,-1.214355469E0,7.252807617E-1
5.527038580E-1,1.815475464E0,-8.857269287E-1,6.715087891E-1
5.574646000E-1,1.828903198E0,-5.522003174E-1,6.080017090E-1
5.622558600E-1,1.825241089E0,-2.223205566E-1,5.456848145E-1
5.670471190E-1,1.800811768E0,1.001892090E-1,5.004730225E-1
5.718383790E-1,1.759262085E0,4.117279053E-1,4.760589600E-1
5.766296390E-1,1.707962036E0,7.061614990E-1,4.687042236E-1
5.813903810E-1,1.657867432E0,9.749450684E-1,4.723815918E-1
5.861816410E-1,1.615097046E0,1.214401245E0,4.833831787E-1
5.909729010E-1,1.588226318E0,1.426971436E0,4.943847656E-1
5.957641600E-1,1.577239990E0,1.605361938E0,5.065917969E-1
6.005249020E-1,1.585784912E0,1.742187500E0,5.163574219E-1
6.053161620E-1,1.610214233E0,1.835037231E0,5.261383057E-1
6.101074220E-1,1.641983032E0,1.882675171E0,5.444641113E-1
6.148986820E-1,1.665191650E0,1.892471313E0,5.713348389E-1
6.196899420E-1,1.668869019E0,1.875350952E0,6.141052246E-1
6.244506840E-1,1.644424438E0,1.831375122E0,6.690673828E-1
6.292419440E-1,1.593124390E0,1.753173828E0,7.326049805E-1
6.340332030E-1,1.519805908E0,1.638336182E0,8.034667969E-1
6.388244630E-1,1.430618286E0,1.490509033E0,8.767700195E-1
6.436157230E-1,1.332885742E0,1.302368164E0,9.549713135E-1
6.483764650E-1,1.238815308E0,1.071456909E0,1.029479980E0
6.531677250E-1,1.153305054E0,8.038940430E-1,1.095458984E0
6.579589850E-1,1.075103760E0,5.131225586E-1,1.151657104E0
6.627502440E-1,1.004241943E0,2.174835205E-1,1.205429077E0
6.675109860E-1,9.333801270E-1,-6.840515137E-2,1.254287720E0
6.723022460E-1,8.576354980E-1,-3.286285400E-1,1.297042847E0
6.770935060E-1,7.757873535E-1,-5.644073486E-1,1.326370239E0
6.818847660E-1,6.865997314E-1,-7.647705078E-1,1.337371826E0
6.866760260E-1,5.974121094E-1,-9.248199463E-1,1.325149536E0
6.914367680E-1,5.192108154E-1,-1.044555664E0,1.293380737E0
6.962280270E-1,4.520263672E-1,-1.123962402E0,1.243286133E0
7.010192870E-1,4.007110596E-1,-1.163055420E0,1.177307129E0
7.058105470E-1,3.616180420E-1,-1.153289795E0,1.094238281E0
7.105712890E-1,3.371887207E-1,-1.098312378E0,9.916229248E-1
7.153625490E-1,3.188476562E-1,-9.944610596E-1,8.682250977E-1
7.201538090E-1,3.103027344E-1,-8.417510986E-1,7.265167236E-1
7.249450690E-1,3.041992188E-1,-6.401672363E-1,5.701141357E-1
7.297363280E-1,2.968750000E-1,-3.921508789E-1,4.161682129E-1
7.344970700E-1,2.809906006E-1,-1.062622070E-1,2.817840576E-1
7.392883300E-1,2.553405762E-1,2.052459717E-1,1.755065918E-1
7.440795900E-1,2.137756348E-1,5.277862549E-1,9.364318848E-2
7.488708500E-1,1.600341797E-1,8.405456543E-1,3.868103027E-2
7.536315920E-1,9.771728516E-2,1.122772217E0,2.029418945E-3
7.584228520E-1,3.175354004E-2,1.356109619E0,-1.995849609E-2
7.632141110E-1,-3.298950195E-2,1.519836426E0,-3.704833984E-2
7.680053710E-1,-1.001739502E-1,1.601684570E0,-5.416870117E-2
7.727966310E-1,-1.649322510E-1,1.602920532E0,-6.393432617E-2
7.775573730E-1,-2.296752930E-1,1.534500122E0,-6.881713867E-2
7.823486330E-1,-2.932128906E-1,1.418441772E0,-7.125854492E-2
7.871398930E-1,-3.530731201E-1,1.263275146E0,-6.271362305E-2
7.919311520E-1,-4.068298340E-1,1.083679199E0,-4.804992676E-2
7.966918950E-1,-4.447174072E-1,8.881988525E-1,-3.216552734E-2
8.014831540E-1,-4.630432129E-1,6.817169189E-1,-1.995849609E-2
8.062744140E-1,-4.593658447E-1,4.777069092E-1,-1.139831543E-2
8.110656740E-1,-4.324798584E-1,2.944335938E-1,7.934570312E-4
8.158569340E-1,-3.872833252E-1,1.429443359E-1,1.055908203E-2
8.206176760E-1,-3.310852051E-1,4.399108887E-2,4.470825195E-3
8.254089360E-1,-2.700042725E-1,3.677368164E-3,-3.096008301E-2
8.302001950E-1,-2.137908936E-1,1.712036133E-2,-9.326171875E-2
8.349914550E-1,-1.746978760E-1,7.942199707E-2,-1.738891602E-1
8.397521970E-1,-1.661376953E-1,1.759185791E-1,-2.679748535E-1
8.445434570E-1,-2.003479004E-1,2.907714844E-1,-3.705902100E-1
8.493347170E-1,-2.810058594E-1,4.044036865E-1,-4.829864502E-1
8.541259770E-1,-4.019470215E-1,5.057983398E-1,-6.051635742E-1
8.589172360E-1,-5.448760986E-1,5.827636719E-1,-7.383270264E-1
8.636779790E-1,-6.988220215E-1,6.365356445E-1,-8.873748779E-1
8.684692380E-1,-8.552093506E-1,6.609497070E-1,-1.053527832E0
8.732604980E-1,-1.015258789E0,6.475067139E-1,-1.230682373E0
8.780517580E-1,-1.178970337E0,5.913238525E-1,-1.420043945E0
8.828125000E-1,-1.343887329E0,4.996948242E-1,-1.613082886E0
8.876037600E-1,-1.508819580E0,3.713989258E-1,-1.803665161E0
8.923950200E-1,-1.670089722E0,2.138061523E-1,-1.983261108E0
8.971862790E-1,-1.816696167E0,2.444458008E-2,-2.148208618E0
9.019775390E-1,-1.954757690E0,-1.954498291E-1,-2.296035767E0
9.067382810E-1,-2.081817627E0,-4.226837158E-1,-2.420639038E0
9.115295410E-1,-2.206420898E0,-6.462707520E-1,-2.524490356E0
9.163208010E-1,-2.331039429E0,-8.527374268E-1,-2.606353760E0
9.211120610E-1,-2.466674805E0,-1.033554077E0,-2.663772583E0
9.258728030E-1,-2.610824585E0,-1.181381226E0,-2.696746826E0
9.306640630E-1,-2.759872437E0,-1.282791138E0,-2.705307007E0
9.354553220E-1,-2.905258179E0,-1.336547852E0,-2.689422607E0
9.402465820E-1,-3.029876709E0,-1.346313477E0,-2.651535034E0
9.450378420E-1,-3.120269775E0,-1.318222046E0,-2.600234985E0
9.497985840E-1,-3.165481567E0,-1.252243042E0,-2.536712646E0
9.545898440E-1,-3.164276123E0,-1.150848389E0,-2.456085205E0
9.593811040E-1,-3.112945557E0,-1.018905640E0,-2.361999512E0
9.641723630E-1,-3.016433716E0,-8.649597168E-1,-2.261810303E0
9.689331060E-1,-2.872283936E0,-7.134704590E-1,-2.161651611E0
9.737243650E-1,-2.681686401E0,-5.888519287E-1,-2.046798706E0
9.785156250E-1,-2.464218140E0,-4.483337402E-1,-1.922164917E0
9.833068850E-1,-2.257751465E0,-2.528839111E-1,-1.793899536E0
9.880981450E-1,-2.078155518E0,-7.939147949E-2,-1.685180664E0
9.928588870E-1,-1.915664673E0,-4.882812500E-3,-1.604522705E0
9.976501470E-1,-1.745834351E0,-2.931213379E-2,-1.550781250E0
1.002441406E0,-1.560134888E0,-1.307067871E-1,-1.519012451E0
1.007232666E0,-1.341445923E0,-2.480010986E-1,-1.492141724E0
1.011993408E0,-1.092224121E0,-3.176269531E-1,-1.466491699E0
1.016784668E0,-7.928924561E-1,-2.675323486E-1,-1.434722900E0
1.021575928E0,-4.532470703E-1,-3.784179688E-2,-1.404159546E0
1.026367188E0,-9.040832520E-2,3.249816895E-1,-1.401718140E0
1.031158447E0,2.308959961E-1,7.990112305E-1,-1.415161133E0
1.035919190E0,5.045623779E-1,1.315811157E0,-1.454254150E0
1.040710449E0,7.378997803E-1,1.776397705E0,-1.517791748E0
1.045501709E0,9.248199463E-1,2.084274292E0,-1.603317261E0
1.050292969E0,1.111755371E0,2.192993164E0,-1.698593140E0
1.055053711E0,1.321899414E0,2.184463501E0,-1.769454956E0
1.059844971E0,1.555236816E0,2.095275879E0,-1.779235840E0
1.064636231E0,1.789810181E0,1.937652588E0,-1.716918945E0
1.069427490E0,2.024383545E0,1.738525391E0,-1.611862183E0
1.074218750E0,2.251617432E0,1.490509033E0,-1.499465942E0
1.078979492E0,2.425125122E0,1.226608276E0,-1.401718140E0
1.083770752E0,2.443450928E0,1.058013916E0,-1.325973511E0
1.088562012E0,2.329818726E0,9.382934570E-1,-1.284439087E0
1.093353272E0,2.127014160E0,8.100128174E-1,-1.280776978E0
1.098114014E0,1.876556396E0,6.438598633E-1,-1.289337158E0
1.102905274E0,1.617538452E0,4.337310791E-1,-1.289337158E0
1.107696533E0,1.348770142E0,1.698303223E-1,-1.264892578E0
1.112487793E0,1.087326050E0,-1.612396240E-1,-1.223358154E0
1.117279053E0,8.551940918E-1,-5.277557373E-1,-1.173263550E0
1.122039795E0,6.719207764E-1,-8.234252930E-1,-1.132934570E0
1.126831055E0,5.289916992E-1,-1.011566162E0,-1.101181030E0
1.131622315E0,3.994903564E-1,-1.169174194E0,-1.060867310E0
1.136413574E0,2.821960449E-1,-1.303558350E0,-9.973449707E-1
1.141174317E0,1.453704834E-1,-1.458724976E0,-9.093627930E-1
1.145965576E0,-1.710510254E-2,-1.649291992E0,-8.043060303E-1
1.150756836E0,-1.795806885E-1,-1.811798096E0,-6.919097900E-1
1.155548096E0,-3.262023926E-1,-1.920516968E0,-5.819396973E-1
1.160339356E0,-4.434814453E-1,-1.974288940E0,-4.781036377E-1
1.165100098E0,-5.277862549E-1,-1.988937378E0,-3.791503906E-1
1.169891358E0,-5.815429688E-1,-1.977935791E0,-2.801818848E-1
1.174682617E0,-6.096343994E-1,-1.958404541E0,-1.702270508E-1
1.179473877E0,-6.218566895E-1,-1.954727173E0,-5.293273926E-2
1.184234619E0,-6.169586182E-1,-1.955963135E0,6.433105469E-2
1.189025879E0,-5.986480713E-1,-1.954727173E0,1.779479980E-1
1.193817139E0,-5.705413818E-1,-1.958404541E0,2.891235352E-1
1.198608399E0,-5.363311768E-1,-1.958404541E0,3.990783691E-1
1.203399658E0,-4.935760498E-1,-1.968170166E0,5.078125000E-1
1.208160401E0,-4.398040771E-1,-1.987731934E0,6.128845215E-1
1.212951660E0,-3.701782227E-1,-2.026824951E0,7.155151367E-1
