"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.147593800E-2,-4.642114043E-1,1.290451586E-1,7.060908675E-1
7.389593800E-2,-4.471071661E-1,1.400407255E-1,7.451862097E-1
7.631515600E-2,-4.336681366E-1,1.547014862E-1,7.635121346E-1
7.873354200E-2,-4.153422117E-1,1.669187844E-1,7.989422679E-1
8.115276000E-2,-4.067901075E-1,1.828012615E-1,8.282638192E-1
8.357276000E-2,-4.019031823E-1,2.035706639E-1,8.441462517E-1
8.599192700E-2,-3.933510780E-1,2.231183350E-1,8.722460270E-1
8.841036500E-2,-3.872424364E-1,2.499963939E-1,8.942371607E-1
9.082958300E-2,-3.811337948E-1,2.768744528E-1,9.088979363E-1
9.324958300E-2,-3.762468696E-1,3.086394370E-1,9.321107864E-1
9.566880200E-2,-3.725816905E-1,3.465130329E-1,9.553236365E-1
9.808718800E-2,-3.689164817E-1,3.831649125E-1,9.699844122E-1
1.005064060E-1,-3.664730191E-1,4.234820008E-1,9.944189787E-1
1.029264060E-1,-3.689164817E-1,4.674642384E-1,1.022518873E0
1.053456250E-1,-3.713599443E-1,5.138899684E-1,1.044510007E0
1.077640100E-1,-3.762468696E-1,5.627591610E-1,1.073831439E0
1.101832290E-1,-3.786903322E-1,6.030762196E-1,1.104374647E0
1.126032290E-1,-3.811337948E-1,6.299542785E-1,1.130030990E0
1.150223960E-1,-3.774685860E-1,5.639808774E-1,1.145913482E0
1.174408330E-1,-3.750251234E-1,4.809032679E-1,1.164239407E0
1.198600520E-1,-3.774685860E-1,4.271471798E-1,1.182565331E0
1.222800520E-1,-3.872424364E-1,4.161516130E-1,1.214330316E0
1.246992710E-1,-3.970162570E-1,4.503600299E-1,1.246095300E0
1.271176560E-1,-4.116770327E-1,5.028944016E-1,1.269308209E0
1.295368750E-1,-4.238943160E-1,5.664243102E-1,1.297407985E0
1.319568750E-1,-4.361115992E-1,6.311759949E-1,1.318177342E0
1.343760940E-1,-4.458854496E-1,6.898190379E-1,1.327951193E0
1.367944790E-1,-4.532158077E-1,7.325795293E-1,1.331616402E0
1.392136980E-1,-4.568810165E-1,7.496837378E-1,1.331616402E0
1.416336980E-1,-4.556592703E-1,7.557923794E-1,1.325507760E0
1.440528650E-1,-4.556592703E-1,7.606793046E-1,1.312068701E0
1.464713020E-1,-4.556592703E-1,7.631227970E-1,1.305960059E0
1.488905210E-1,-4.544375539E-1,7.643445134E-1,1.282747149E0
