"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,9.887390137E-1,9.707975388E0,1.389081240E0
2.418177000E-3,1.005497694E0,9.717551231E0,1.410628319E0
4.836354000E-3,1.015074015E0,9.710369110E0,1.413022280E0
7.254531000E-3,1.034226894E0,9.703186035E0,1.413022280E0
9.672708000E-3,1.015074015E0,9.676851273E0,1.427386761E0
1.209088500E-2,1.041409135E0,9.696003914E0,1.432175159E0
1.450906200E-2,1.036620975E0,9.722338676E0,1.453722000E0
1.693052100E-2,1.024650574E0,9.731914520E0,1.453722000E0
1.935197900E-2,1.031832814E0,9.731914520E0,1.465692520E0
2.177062500E-2,1.043803334E0,9.739097595E0,1.487239361E0
2.419000000E-2,1.036620975E0,9.741492271E0,1.482451200E0
2.660942700E-2,1.058167934E0,9.746279716E0,1.499209881E0
2.902802100E-2,1.062955976E0,9.743885994E0,1.480057001E0
3.144661400E-2,1.043803334E0,9.741492271E0,1.460904360E0
3.386598900E-2,1.084502935E0,9.741492271E0,1.451327801E0
3.628541600E-2,1.077320695E0,9.734310150E0,1.422598839E0
3.870401000E-2,1.096473455E0,9.743885994E0,1.439357281E0
4.112265600E-2,1.086897016E0,9.736703873E0,1.444145679E0
4.354203100E-2,1.074926496E0,9.731914520E0,1.460904360E0
4.596140600E-2,1.077320695E0,9.731914520E0,1.492027521E0
4.838000000E-2,1.094079256E0,9.703186035E0,1.472874641E0
5.079864600E-2,1.086897016E0,9.686428070E0,1.480057001E0
5.321802100E-2,1.079714775E0,9.684034348E0,1.477663040E0
5.563744800E-2,1.098867536E0,9.674456596E0,1.482451200E0
5.805604100E-2,1.113232136E0,9.655303955E0,1.482451200E0
6.047463500E-2,1.163508177E0,9.626574516E0,1.451327801E0
6.289406200E-2,1.168296456E0,9.614604950E0,1.463298321E0
6.531343700E-2,1.194631577E0,9.605028152E0,1.482451200E0
6.773203100E-2,1.206601977E0,9.626574516E0,1.487239361E0
7.015067700E-2,1.228148937E0,9.631362915E0,1.520756721E0
7.257005200E-2,1.228148937E0,9.640939713E0,1.551879883E0
7.498947900E-2,1.223360658E0,9.638545990E0,1.547091961E0
7.740807300E-2,1.230543017E0,9.655303955E0,1.587791443E0
7.982666600E-2,1.230543017E0,9.681638718E0,1.614126682E0
8.224604100E-2,1.261666298E0,9.688821793E0,1.638067722E0
8.466546900E-2,1.264060378E0,9.686428070E0,1.654826164E0
8.708406200E-2,1.249695778E0,9.707975388E0,1.647644043E0
8.950270800E-2,1.261666298E0,9.710369110E0,1.669190884E0
9.192208300E-2,1.264060378E0,9.741492271E0,1.669190884E0
9.434145800E-2,1.292789578E0,9.743885994E0,1.654826164E0
9.676005200E-2,1.297577739E0,9.791768074E0,1.659614563E0
9.917869800E-2,1.304759979E0,9.784585953E0,1.633279324E0
1.015980730E-1,1.297577739E0,9.782192230E0,1.611732483E0
1.040175000E-1,1.268848538E0,9.786979675E0,1.623703003E0
1.064360940E-1,1.252089858E0,9.786979675E0,1.609338284E0
1.088546870E-1,1.268848538E0,9.772615433E0,1.575820923E0
1.112740620E-1,1.278424859E0,9.763038635E0,1.599761963E0
1.136934890E-1,1.288001299E0,9.734310150E0,1.618914843E0
1.161120830E-1,1.283213139E0,9.715156555E0,1.614126682E0
1.185307290E-1,1.280819058E0,9.684034348E0,1.618914843E0
1.209501040E-1,1.271242619E0,9.688821793E0,1.616520643E0
1.233695310E-1,1.288001299E0,9.652910233E0,1.604550123E0
1.257881250E-1,1.280819058E0,9.648121834E0,1.602156162E0
1.282067190E-1,1.280819058E0,9.616998672E0,1.578215122E0
1.306260940E-1,1.264060378E0,9.607421875E0,1.580609322E0
1.330455210E-1,1.252089858E0,9.590663910E0,1.585397482E0
1.354641140E-1,1.235331178E0,9.583480835E0,1.587791443E0
1.378827600E-1,1.240119457E0,9.595452309E0,1.583003283E0
1.403021350E-1,1.228148937E0,9.573904991E0,1.592579842E0
1.427215100E-1,1.208996058E0,9.559539795E0,1.571032763E0
1.451401040E-1,1.242513418E0,9.554752350E0,1.544697762E0
1.475587500E-1,1.197025537E0,9.559539795E0,1.547091961E0
1.499781250E-1,1.197025537E0,9.542781830E0,1.554274082E0
1.523975520E-1,1.213784337E0,9.571511269E0,1.535121441E0
1.548161460E-1,1.194631577E0,9.571511269E0,1.530333042E0
1.572347390E-1,1.218572497E0,9.566722870E0,1.511180401E0
1.596541140E-1,1.201813817E0,9.578693390E0,1.489633560E0
1.620735410E-1,1.225754738E0,9.612211227E0,1.523150921E0
1.644921350E-1,1.204207897E0,9.590663910E0,1.525544882E0
1.669107810E-1,1.185055137E0,9.605028152E0,1.539909601E0
1.693301560E-1,1.173084617E0,9.631362915E0,1.539909601E0
1.717495310E-1,1.163508177E0,9.624180794E0,1.527939081E0
1.741681250E-1,1.197025537E0,9.640939713E0,1.554274082E0
1.765867710E-1,1.189843297E0,9.640939713E0,1.537515402E0
1.790061460E-1,1.185055137E0,9.667275429E0,1.542303562E0
1.814255730E-1,1.168296456E0,9.684034348E0,1.539909601E0
1.838441660E-1,1.141961336E0,9.693610191E0,1.549485922E0
1.862627600E-1,1.165902257E0,9.686428070E0,1.539909601E0
1.886821350E-1,1.137173176E0,9.700792313E0,1.530333042E0
1.911015620E-1,1.146749496E0,9.710369110E0,1.477663040E0
1.935201560E-1,1.144355416E0,9.743885994E0,1.489633560E0
1.959388020E-1,1.122808576E0,9.710369110E0,1.477663040E0
1.983581770E-1,1.096473455E0,9.715156555E0,1.460904360E0
2.007776040E-1,1.091685295E0,9.727127075E0,1.460904360E0
2.031961980E-1,1.055773735E0,9.715156555E0,1.503998041E0
2.056147910E-1,1.058167934E0,9.724733353E0,1.496815681E0
2.080341660E-1,1.053379655E0,9.698397636E0,1.535121441E0
2.104535940E-1,1.022256374E0,9.700792313E0,1.511180401E0
2.128721870E-1,1.015074015E0,9.705579758E0,1.441751480E0
2.152908330E-1,9.647980928E-1,9.676851273E0,1.432175159E0
2.177102080E-1,9.839507341E-1,9.640939713E0,1.506392002E0
2.201295830E-1,9.935271740E-1,9.628969193E0,1.520756721E0
2.225481770E-1,1.024650574E0,9.624180794E0,1.520756721E0
2.249668230E-1,1.048591375E0,9.593057632E0,1.499209881E0
2.273861980E-1,1.091685295E0,9.588270187E0,1.492027521E0
2.298056250E-1,1.065350175E0,9.564329147E0,1.503998041E0
2.322242190E-1,1.058167934E0,9.537993431E0,1.499209881E0
