"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.209062000E-3,2.177732810E-2,7.910698652E-3,1.601992920E-2
3.627239000E-3,2.177732810E-2,7.910698652E-3,1.601992920E-2
6.045416000E-3,2.177732810E-2,7.910698652E-3,1.601992920E-2
8.463594000E-3,2.177732810E-2,7.910698652E-3,1.601992920E-2
1.088177100E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
1.329994800E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
1.571812500E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
1.814286400E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
2.056109400E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
2.298010400E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
2.539989600E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
2.781890600E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
3.023713500E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
3.265609400E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
3.507588500E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
3.749489600E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
3.991312500E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
4.233213500E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
4.475192700E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
4.717088500E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
4.958911400E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
5.200812500E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
5.442791600E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
5.684692700E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
5.926515600E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
6.168411400E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
6.410395800E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
6.652291600E-2,2.177732810E-2,7.910698652E-3,1.601992920E-2
6.894114600E-2,-1.059850305E-2,3.845393285E-2,4.289797693E-2
7.136015600E-2,-1.120936777E-2,3.845393285E-2,4.411970824E-2
7.377994800E-2,-1.243109722E-2,4.089739546E-2,4.350884259E-2
7.619895800E-2,-1.487455610E-2,4.395171627E-2,4.534143209E-2
7.861713500E-2,-1.609628461E-2,4.578431323E-2,4.350884259E-2
8.103614600E-2,-1.853974350E-2,4.822776839E-2,4.350884259E-2
8.345593700E-2,-1.731801592E-2,5.006036535E-2,4.350884259E-2
8.587494800E-2,-1.731801592E-2,5.128208920E-2,4.411970824E-2
8.829317700E-2,-1.915060915E-2,5.372555181E-2,4.595229775E-2
9.071218700E-2,-1.792887971E-2,5.616900697E-2,4.717402905E-2
9.313197900E-2,-1.853974350E-2,5.739073828E-2,4.778489470E-2
9.555093700E-2,-2.037233859E-2,5.800160393E-2,4.961749166E-2
9.796916600E-2,-2.098320238E-2,6.105592474E-2,5.145008117E-2
1.003881770E-1,-2.159406804E-2,6.166679040E-2,5.267181247E-2
1.028079690E-1,-2.342666127E-2,6.227765605E-2,5.633699894E-2
1.052269790E-1,-2.525925636E-2,6.288851798E-2,5.694786459E-2
1.076452080E-1,-2.770271525E-2,6.166679040E-2,5.878045782E-2
1.100641660E-1,-2.709184960E-2,6.044505909E-2,5.939133093E-2
1.124839580E-1,-2.770271525E-2,6.044505909E-2,6.061304733E-2
1.149029690E-1,-2.709184960E-2,5.922333524E-2,6.305650622E-2
1.173211980E-1,-2.464839257E-2,5.677987263E-2,6.427823752E-2
1.197402080E-1,-2.281579748E-2,5.555814877E-2,6.366737932E-2
1.221600000E-1,-2.098320238E-2,5.616900697E-2,6.244565174E-2
1.245790100E-1,-1.915060915E-2,5.494728312E-2,6.366737932E-2
1.269971870E-1,-1.731801592E-2,5.739073828E-2,6.366737932E-2
1.294161980E-1,-1.487455610E-2,5.800160393E-2,6.183477864E-2
1.318359890E-1,-1.120936777E-2,6.044505909E-2,6.122392043E-2
1.342550000E-1,-9.987638332E-3,6.411024928E-2,5.878045782E-2
1.366732290E-1,-8.765908889E-3,6.899716705E-2,5.755873024E-2
1.390922390E-1,-8.155044168E-3,7.510581613E-2,5.450440198E-2
1.415119790E-1,-5.100720562E-3,7.999272645E-2,5.145008117E-2
1.439309890E-1,-3.878991120E-3,8.671224117E-2,5.022834986E-2
1.463492190E-1,-4.489855841E-3,8.976656199E-2,4.961749166E-2
1.487682290E-1,-3.268126398E-3,9.587521106E-2,4.595229775E-2
1.511880210E-1,-2.657261677E-3,9.770780802E-2,4.534143209E-2
1.536070310E-1,-3.268126398E-3,1.019838601E-1,4.473056644E-2
1.560252600E-1,-2.657261677E-3,1.044273227E-1,4.228711128E-2
1.584442190E-1,-3.268126398E-3,1.056490466E-1,4.106537998E-2
1.608640100E-1,-3.878991120E-3,1.074816436E-1,4.106537998E-2
1.632830210E-1,-3.268126398E-3,1.080925092E-1,3.984365240E-2
1.657012500E-1,-2.046396956E-3,1.080925092E-1,4.045451805E-2
1.681202600E-1,-2.657261677E-3,1.099251062E-1,3.923278674E-2
1.705400520E-1,-2.046396956E-3,1.099251062E-1,4.106537998E-2
1.729590100E-1,-2.138026757E-4,1.080925092E-1,3.984365240E-2
1.753772390E-1,-8.246673970E-4,1.074816436E-1,3.984365240E-2
1.777962500E-1,-1.435532118E-3,1.080925092E-1,4.045451805E-2
1.802160410E-1,-1.435532118E-3,1.044273227E-1,4.106537998E-2
1.826350520E-1,-1.435532118E-3,1.044273227E-1,4.106537998E-2
1.850532810E-1,-2.046396956E-3,1.032055914E-1,4.045451805E-2
1.874722390E-1,-2.046396956E-3,1.019838601E-1,4.106537998E-2
1.898920310E-1,-3.878991120E-3,1.025947258E-1,4.350884259E-2
1.923110410E-1,-5.100720562E-3,9.954039752E-2,4.167624563E-2
1.947292710E-1,-7.544179447E-3,9.954039752E-2,4.228711128E-2
1.971482810E-1,-1.120936777E-2,1.001512632E-1,4.289797693E-2
1.995680730E-1,-1.304196194E-2,1.001512632E-1,4.289797693E-2
2.019870830E-1,-1.670715027E-2,1.013729945E-1,4.289797693E-2
2.044052600E-1,-1.915060915E-2,1.019838601E-1,4.106537998E-2
2.068242710E-1,-2.037233859E-2,1.032055914E-1,4.106537998E-2
2.092440620E-1,-2.403752692E-2,1.044273227E-1,3.984365240E-2
2.116630730E-1,-2.525925636E-2,1.025947258E-1,3.862192482E-2
2.140813020E-1,-2.525925636E-2,1.019838601E-1,3.740019351E-2
2.165003120E-1,-2.831358090E-2,1.013729945E-1,3.495673463E-2
2.189200520E-1,-3.136790171E-2,1.038164571E-1,3.617846221E-2
2.213390620E-1,-3.258963302E-2,1.050381809E-1,3.740019351E-2
2.237572910E-1,-3.136790171E-2,1.056490466E-1,3.678932786E-2
2.261763020E-1,-2.953530848E-2,1.032055914E-1,3.434586897E-2
2.285960940E-1,-2.709184960E-2,1.019838601E-1,3.312414140E-2
2.310151040E-1,-2.648098581E-2,1.019838601E-1,3.312414140E-2
2.334332810E-1,-2.587012015E-2,1.025947258E-1,3.190241009E-2
2.358522910E-1,-2.525925636E-2,1.050381809E-1,3.373500705E-2
2.382720830E-1,-2.587012015E-2,1.019838601E-1,3.190241009E-2
2.406910940E-1,-2.709184960E-2,9.954039752E-2,3.190241009E-2
2.431093230E-1,-2.831358090E-2,9.954039752E-2,3.129154444E-2
2.455283330E-1,-2.831358090E-2,1.038164571E-1,3.251327574E-2
2.479481250E-1,-2.648098581E-2,1.068707779E-1,3.190241009E-2
2.503670830E-1,-2.403752692E-2,1.105359644E-1,3.251327574E-2
2.527853120E-1,-1.976147480E-2,1.093142331E-1,3.251327574E-2
2.552043230E-1,-1.548542082E-2,1.087033749E-1,3.190241009E-2
2.576241140E-1,-1.304196194E-2,1.099251062E-1,3.129154444E-2
2.600431250E-1,-1.059850305E-2,1.111468375E-1,2.762635797E-2
2.624613020E-1,-9.376773611E-3,1.135902852E-1,2.579376474E-2
2.648803120E-1,-6.933314726E-3,1.160337478E-1,2.518289909E-2
2.673001040E-1,-6.933314726E-3,1.190880686E-1,2.457203344E-2
2.697191140E-1,-6.933314726E-3,1.209206730E-1,2.396117151E-2
2.721373440E-1,-6.322450005E-3,1.215315312E-1,2.335030586E-2
2.745563540E-1,-5.100720562E-3,1.227532625E-1,2.335030586E-2
2.769761460E-1,-2.657261677E-3,1.245858520E-1,2.090684697E-2
2.793951560E-1,1.618791488E-3,1.270293146E-1,2.029598132E-2
2.818133330E-1,2.840520814E-3,1.313053817E-1,2.029598132E-2
2.842323440E-1,4.062250257E-3,1.325271130E-1,1.907425374E-2
2.866521350E-1,4.062250257E-3,1.343597025E-1,1.968511567E-2
2.890711460E-1,5.894843489E-3,1.361922920E-1,1.968511567E-2
2.914893750E-1,5.894843489E-3,1.380248964E-1,1.846338809E-2
2.939083850E-1,4.673114978E-3,1.416900754E-1,1.724165678E-2
2.963281770E-1,6.505709141E-3,1.435226798E-1,1.663079113E-2
2.987471350E-1,6.505709141E-3,1.459661424E-1,1.663079113E-2
3.011653640E-1,6.505709141E-3,1.471878588E-1,1.724165678E-2
3.035843750E-1,6.505709141E-3,1.484095901E-1,1.601992920E-2
3.060041660E-1,7.116574794E-3,1.508530527E-1,1.663079113E-2
3.084231770E-1,1.078176126E-2,1.539073735E-1,1.785252243E-2
3.108413540E-1,1.078176126E-2,1.569616944E-1,1.846338809E-2
3.132603640E-1,1.322522014E-2,1.575725675E-1,1.724165678E-2
3.156801560E-1,1.383608580E-2,1.581834257E-1,1.785252243E-2
3.180991660E-1,1.444695145E-2,1.600160301E-1,1.907425374E-2
3.205173960E-1,1.689041033E-2,1.612377465E-1,1.846338809E-2
3.229364060E-1,1.566867903E-2,1.606268883E-1,1.846338809E-2
3.253561980E-1,1.750127412E-2,1.606268883E-1,1.968511567E-2
3.277751560E-1,1.872300357E-2,1.612377465E-1,1.907425374E-2
3.301933850E-1,1.933386922E-2,1.618486196E-1,1.907425374E-2
3.326123960E-1,2.055559680E-2,1.630703509E-1,1.968511567E-2
3.350321870E-1,2.116646245E-2,1.655138135E-1,1.968511567E-2
3.374511980E-1,2.055559680E-2,1.649029404E-1,1.846338809E-2
3.398694270E-1,2.055559680E-2,1.636812091E-1,1.663079113E-2
3.422883850E-1,1.933386922E-2,1.624594778E-1,1.663079113E-2
3.447081770E-1,1.750127412E-2,1.606268883E-1,1.724165678E-2
3.471271870E-1,1.627954468E-2,1.612377465E-1,1.907425374E-2
3.495454160E-1,1.444695145E-2,1.606268883E-1,1.968511567E-2
3.519644270E-1,1.505781524E-2,1.575725675E-1,1.968511567E-2
3.543842190E-1,1.322522014E-2,1.526856422E-1,2.029598132E-2
3.568032290E-1,1.322522014E-2,1.490204632E-1,2.151770890E-2
3.592214060E-1,1.261435635E-2,1.471878588E-1,2.090684697E-2
3.616404160E-1,1.383608580E-2,1.447444111E-1,2.273944020E-2
3.640602080E-1,1.383608580E-2,1.429118067E-1,2.273944020E-2
3.664792190E-1,1.322522014E-2,1.392466277E-1,2.335030586E-2
3.688974480E-1,1.200349256E-2,1.392466277E-1,2.273944020E-2
3.713164580E-1,1.200349256E-2,1.343597025E-1,2.457203344E-2
3.737361980E-1,1.139262691E-2,1.337488443E-1,2.518289909E-2
3.761552080E-1,1.139262691E-2,1.325271130E-1,2.579376474E-2
3.785734370E-1,9.560033679E-3,1.319162399E-1,2.579376474E-2
3.809924480E-1,7.727438584E-3,1.294727772E-1,2.640462667E-2
3.834122390E-1,6.505709141E-3,1.294727772E-1,2.640462667E-2
3.858312500E-1,5.283979699E-3,1.319162399E-1,2.640462667E-2
3.882494270E-1,3.451385535E-3,1.331379712E-1,2.701549232E-2
3.906684370E-1,3.451385535E-3,1.331379712E-1,2.640462667E-2
3.930882290E-1,2.229656093E-3,1.337488443E-1,2.579376474E-2
3.955072390E-1,2.229656093E-3,1.343597025E-1,2.579376474E-2
3.979254690E-1,2.229656093E-3,1.349705756E-1,2.640462667E-2
4.003444790E-1,2.229656093E-3,1.349705756E-1,2.518289909E-2
4.027642710E-1,4.062250257E-3,1.374140233E-1,2.273944020E-2
4.051832290E-1,5.283979699E-3,1.349705756E-1,2.273944020E-2
4.076014580E-1,6.505709141E-3,1.343597025E-1,2.151770890E-2
4.100204690E-1,6.505709141E-3,1.343597025E-1,2.151770890E-2
4.124402600E-1,9.560033679E-3,1.337488443E-1,2.090684697E-2
4.148592710E-1,1.078176126E-2,1.337488443E-1,2.029598132E-2
4.172775000E-1,1.322522014E-2,1.313053817E-1,2.090684697E-2
4.196964580E-1,1.383608580E-2,1.319162399E-1,2.090684697E-2
4.221162500E-1,1.505781524E-2,1.325271130E-1,1.968511567E-2
4.245352600E-1,1.689041033E-2,1.319162399E-1,1.846338809E-2
4.269534890E-1,1.933386922E-2,1.300836354E-1,1.907425374E-2
4.293725000E-1,1.933386922E-2,1.306945235E-1,2.029598132E-2
4.317922910E-1,2.116646245E-2,1.294727772E-1,2.029598132E-2
4.342113020E-1,2.116646245E-2,1.306945235E-1,1.846338809E-2
4.366294790E-1,2.238819003E-2,1.331379712E-1,1.907425374E-2
4.390484890E-1,2.360992134E-2,1.300836354E-1,2.029598132E-2
4.414682810E-1,2.299905568E-2,1.294727772E-1,1.907425374E-2
4.438872910E-1,2.360992134E-2,1.282510459E-1,2.029598132E-2
4.463055210E-1,2.422078699E-2,1.251967251E-1,1.968511567E-2
4.487244790E-1,2.360992134E-2,1.233641207E-1,1.907425374E-2
4.511442710E-1,2.544251457E-2,1.215315312E-1,1.846338809E-2
4.535632810E-1,2.422078699E-2,1.221423894E-1,1.907425374E-2
4.559815100E-1,2.422078699E-2,1.196989417E-1,2.029598132E-2
4.584005210E-1,2.299905568E-2,1.178663373E-1,2.090684697E-2
4.608203120E-1,2.299905568E-2,1.123685539E-1,1.968511567E-2
4.632393230E-1,2.116646245E-2,1.123685539E-1,2.029598132E-2
4.656575000E-1,2.116646245E-2,1.111468375E-1,1.968511567E-2
4.680765100E-1,2.055559680E-2,1.117576957E-1,1.968511567E-2
4.704963020E-1,1.933386922E-2,1.093142331E-1,2.029598132E-2
4.729153120E-1,1.933386922E-2,1.080925092E-1,1.968511567E-2
4.753335410E-1,1.994473301E-2,1.093142331E-1,1.968511567E-2
4.777525520E-1,1.811213791E-2,1.074816436E-1,2.029598132E-2
4.801723440E-1,1.689041033E-2,1.080925092E-1,2.090684697E-2
4.825913020E-1,1.689041033E-2,1.062599123E-1,2.029598132E-2
4.850095310E-1,1.689041033E-2,1.093142331E-1,2.029598132E-2
4.874285410E-1,1.811213791E-2,1.068707779E-1,2.090684697E-2
4.898483330E-1,1.872300357E-2,1.044273227E-1,2.151770890E-2
4.922673440E-1,1.811213791E-2,1.019838601E-1,2.090684697E-2
4.946855730E-1,1.811213791E-2,1.013729945E-1,2.029598132E-2
4.971045310E-1,1.689041033E-2,9.892953932E-2,1.968511567E-2
4.995243230E-1,1.566867903E-2,9.892953932E-2,1.968511567E-2
5.019433330E-1,1.505781524E-2,9.526434541E-2,2.090684697E-2
5.043615620E-1,1.383608580E-2,9.404262155E-2,1.907425374E-2
5.067805730E-1,1.444695145E-2,9.221002460E-2,2.090684697E-2
5.092003640E-1,1.322522014E-2,8.976656199E-2,1.907425374E-2
5.116193750E-1,1.261435635E-2,8.976656199E-2,1.968511567E-2
5.140375520E-1,1.383608580E-2,8.976656199E-2,2.029598132E-2
5.164565620E-1,1.261435635E-2,8.793397248E-2,1.968511567E-2
5.188763540E-1,1.261435635E-2,8.854483813E-2,1.968511567E-2
5.212953640E-1,1.200349256E-2,8.549050987E-2,1.907425374E-2
5.237135940E-1,1.078176126E-2,8.610137552E-2,1.968511567E-2
5.261326040E-1,1.017089747E-2,8.549050987E-2,1.907425374E-2
5.285523440E-1,1.139262691E-2,8.121445775E-2,1.785252243E-2
5.309713540E-1,1.261435635E-2,7.754927129E-2,1.907425374E-2
5.333895830E-1,1.200349256E-2,7.327321917E-2,1.907425374E-2
5.358085940E-1,1.322522014E-2,7.021889091E-2,1.846338809E-2
5.382283850E-1,1.444695145E-2,6.716457009E-2,2.029598132E-2
5.406473960E-1,1.627954468E-2,6.472111493E-2,1.968511567E-2
5.430655730E-1,1.750127412E-2,5.739073828E-2,1.907425374E-2
5.454845830E-1,1.811213791E-2,5.616900697E-2,1.846338809E-2
5.479043750E-1,1.750127412E-2,5.616900697E-2,1.846338809E-2
5.503233850E-1,1.811213791E-2,5.555814877E-2,1.968511567E-2
5.527416140E-1,1.811213791E-2,5.250382051E-2,1.663079113E-2
5.551606250E-1,1.750127412E-2,5.189295486E-2,1.663079113E-2
5.575804160E-1,1.872300357E-2,5.128208920E-2,1.724165678E-2
5.599994270E-1,1.933386922E-2,5.067122355E-2,1.907425374E-2
5.624176040E-1,1.811213791E-2,5.128208920E-2,1.846338809E-2
5.648366140E-1,1.933386922E-2,5.433641747E-2,1.846338809E-2
5.672564060E-1,1.750127412E-2,5.433641747E-2,1.846338809E-2
5.696754160E-1,1.627954468E-2,5.494728312E-2,1.846338809E-2
5.720936460E-1,1.627954468E-2,5.861246958E-2,1.846338809E-2
5.745126040E-1,1.505781524E-2,5.922333524E-2,1.907425374E-2
5.769323960E-1,1.383608580E-2,5.800160393E-2,1.724165678E-2
5.793514060E-1,1.261435635E-2,5.922333524E-2,1.418733504E-2
5.817696350E-1,1.078176126E-2,6.166679040E-2,1.540906262E-2
5.841886460E-1,8.949168026E-3,6.105592474E-2,1.540906262E-2
5.866084370E-1,1.078176126E-2,6.288851798E-2,1.479819696E-2
5.890274480E-1,1.139262691E-2,6.594283879E-2,1.418733504E-2
5.914456250E-1,1.322522014E-2,6.411024928E-2,1.235473808E-2
5.938646350E-1,1.689041033E-2,6.472111493E-2,1.235473808E-2
5.962844270E-1,1.750127412E-2,6.533198059E-2,9.911279194E-3
5.987034370E-1,1.872300357E-2,6.594283879E-2,9.911279194E-3
6.011216660E-1,1.750127412E-2,6.777543575E-2,8.689551614E-3
6.035406770E-1,1.872300357E-2,6.960803270E-2,6.856956519E-3
6.059604160E-1,1.994473301E-2,6.899716705E-2,5.635227077E-3
6.083794270E-1,2.299905568E-2,7.021889091E-2,5.024361424E-3
6.107976560E-1,2.483165264E-2,7.144062221E-2,3.191768192E-3
6.132166660E-1,2.727510780E-2,6.960803270E-2,5.024361424E-3
6.156364580E-1,3.094029613E-2,6.899716705E-2,2.580902539E-3
6.180554690E-1,3.399462625E-2,6.960803270E-2,3.191768192E-3
6.204736460E-1,3.827067837E-2,6.838630140E-2,3.802633844E-3
6.228926560E-1,4.254673049E-2,6.960803270E-2,5.024361424E-3
6.253124480E-1,4.499018565E-2,7.021889091E-2,6.856956519E-3
6.277314580E-1,4.682278261E-2,7.021889091E-2,5.635227077E-3
6.301496870E-1,4.865537956E-2,7.205148786E-2,7.467820309E-3
6.325686980E-1,5.048796907E-2,7.327321917E-2,8.078685962E-3
6.349884890E-1,5.232056603E-2,7.571667433E-2,8.078685962E-3
6.374074480E-1,5.293143168E-2,7.632753998E-2,1.052214485E-2
6.398256770E-1,5.293143168E-2,7.510581613E-2,9.911279194E-3
6.422446870E-1,5.415316299E-2,7.632753998E-2,1.113301050E-2
6.446644790E-1,5.537488684E-2,7.816013694E-2,1.113301050E-2
6.470834890E-1,5.537488684E-2,7.754927129E-2,1.174387243E-2
6.495017190E-1,5.598575249E-2,7.632753998E-2,9.300415404E-3
6.519206770E-1,5.415316299E-2,7.510581613E-2,8.078685962E-3
6.543404690E-1,5.537488684E-2,7.877100259E-2,8.078685962E-3
6.567594790E-1,5.659661815E-2,8.549050987E-2,9.911279194E-3
6.591777080E-1,5.842921510E-2,8.854483813E-2,9.911279194E-3
6.615967190E-1,6.148353592E-2,9.159915894E-2,9.911279194E-3
6.640165100E-1,6.392699480E-2,9.343175590E-2,8.689551614E-3
6.664355210E-1,6.698131561E-2,9.587521106E-2,6.856956519E-3
6.688536980E-1,6.820304692E-2,9.892953932E-2,5.635227077E-3
6.712727080E-1,7.003564388E-2,1.013729945E-1,5.024361424E-3
6.736925000E-1,7.064650208E-2,1.044273227E-1,5.024361424E-3
6.761115100E-1,7.186823338E-2,1.074816436E-1,4.413497634E-3
6.785297390E-1,7.247909904E-2,1.105359644E-1,5.024361424E-3
6.809486980E-1,7.431169599E-2,1.123685539E-1,2.580902539E-3
6.833684890E-1,7.553341985E-2,1.142011583E-1,3.191768192E-3
6.857875000E-1,7.797688246E-2,1.142011583E-1,1.970038749E-3
6.882057290E-1,7.980947942E-2,1.166446060E-1,7.483093068E-4
6.906247390E-1,7.980947942E-2,1.190880686E-1,-4.734201357E-4
6.930445310E-1,7.858774811E-2,1.215315312E-1,7.483093068E-4
6.954635410E-1,7.858774811E-2,1.233641207E-1,1.970038749E-3
6.978817190E-1,7.736601681E-2,1.282510459E-1,1.970038749E-3
7.003007290E-1,7.614428550E-2,1.306945235E-1,1.359174959E-3
7.027205210E-1,7.736601681E-2,1.349705756E-1,1.359174959E-3
7.051395310E-1,7.675515115E-2,1.380248964E-1,-4.734201357E-4
7.075577600E-1,7.492255419E-2,1.398574859E-1,7.483093068E-4
7.099767710E-1,7.492255419E-2,1.435226798E-1,3.191768192E-3
7.123965620E-1,7.675515115E-2,1.459661424E-1,3.191768192E-3
7.148155210E-1,7.736601681E-2,1.447444111E-1,1.970038749E-3
7.172337500E-1,7.675515115E-2,1.459661424E-1,2.580902539E-3
7.196527600E-1,7.614428550E-2,1.447444111E-1,3.802633844E-3
7.220725520E-1,7.431169599E-2,1.459661424E-1,5.635227077E-3
7.244915620E-1,7.492255419E-2,1.508530527E-1,9.911279194E-3
7.269097390E-1,7.370083034E-2,1.551291049E-1,9.911279194E-3
7.293287500E-1,7.675515115E-2,1.545182467E-1,1.357646938E-2
7.317485410E-1,7.919861376E-2,1.545182467E-1,1.540906262E-2
7.341675520E-1,8.103120327E-2,1.545182467E-1,1.724165678E-2
7.365857810E-1,8.347466588E-2,1.532965153E-1,1.724165678E-2
