"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.604310000E-1,-9.361094236E-1,-5.729523897E-1,-1.319178380E-2
1.704410000E-1,-7.444851398E-1,-4.668302238E-1,-1.685627401E-1
1.804200000E-1,-5.056509972E-1,-4.769401848E-1,-3.474763632E-1
1.904300000E-1,-2.765613198E-1,-4.816635847E-1,-4.982381761E-1
2.004400000E-1,-7.995955646E-2,-4.924542904E-1,-5.663680434E-1
2.104190000E-1,1.844761893E-3,-5.698800683E-1,-5.369188190E-1
2.204290000E-1,-8.855713904E-2,-7.567080259E-1,-4.839203358E-1
2.304380000E-1,-3.216803968E-1,-1.003060818E0,-4.523669481E-1
2.404180000E-1,-5.961995125E-1,-1.175900936E0,-4.473946989E-1
2.504270000E-1,-7.702724934E-1,-1.125560760E0,-5.293726325E-1
2.604370000E-1,-7.965164185E-1,-8.382563591E-1,-6.950831413E-1
2.704160000E-1,-7.246681452E-1,-4.650843143E-1,-8.206176162E-1
2.804260000E-1,-6.507846117E-1,-2.259265780E-1,-8.487880826E-1
2.904360000E-1,-5.376607180E-1,-1.738790870E-1,-8.004480004E-1
3.004150000E-1,-3.721700907E-1,-3.101432920E-1,-7.904534340E-1
3.104250000E-1,-4.249435663E-1,-6.736366153E-1,-8.950304389E-1
3.204350000E-1,-9.145529866E-1,-1.260171533E0,-1.089781165E0
3.304140000E-1,-1.308700323E0,-1.539667606E0,-1.240269303E0
3.404240000E-1,-1.372075438E0,-1.481187820E0,-1.294892430E0
3.504340000E-1,-1.257796526E0,-1.327967405E0,-1.270499706E0
3.604130000E-1,-1.223584175E0,-1.301603794E0,-1.285443783E0
3.704230000E-1,-1.466760635E0,-1.172358155E0,-1.473510861E0
3.804320000E-1,-2.017917395E0,-7.315980196E-1,-1.587942719E0
3.904120000E-1,-2.799266577E0,7.874492556E-2,-5.131264925E-1
4.004210000E-1,-3.209598780E0,2.218358964E-1,3.396804929E-1
4.104310000E-1,-3.327587605E0,6.820237637E-1,-1.636012793E-1
4.204100000E-1,-3.354901791E0,1.041134119E0,-3.679501712E-1
4.304200000E-1,-3.306820393E0,1.016647339E0,-3.311285079E-1
4.403921250E-1,-3.143264294E0,1.052479863E0,-2.356498688E-1
4.503711250E-1,-2.962342024E0,1.114843130E0,-1.710639447E-1
4.603811250E-1,-2.799740553E0,1.081364751E0,-1.414480358E-1
4.703911250E-1,-2.601014614E0,1.074912429E0,-1.087545455E-1
4.803701250E-1,-2.313356161E0,9.418584108E-1,1.525777392E-3
4.903801250E-1,-1.868862271E0,3.589417338E-1,1.759585589E-1
5.003891250E-1,-1.337017298E0,-2.220743895E-1,1.911460459E-1
5.103691250E-1,-9.053987265E-1,-5.565341711E-1,-6.218208745E-2
5.203781250E-1,-6.016961336E-1,-6.037673950E-1,-4.344768226E-1
5.303881250E-1,-4.447323680E-1,-6.398974657E-1,-6.103389859E-1
5.403671250E-1,-3.852915764E-1,-4.820920229E-1,-5.289859176E-1
5.503771250E-1,1.645985618E-2,8.161725998E-1,-2.912947834E-1
5.603871250E-1,-6.364771724E-1,1.059231997E0,2.421009541E-1
5.703661250E-1,-9.203733206E-1,5.598088503E-1,6.012588739E-1
5.803761250E-1,-1.076990008E0,1.816124171E-1,1.112998486E0
5.903861250E-1,-9.941770434E-1,-5.772385597E-1,1.556035757E0
6.003651250E-1,-3.775767982E-1,-1.576181054E0,1.853114128E0
6.103751250E-1,6.048793197E-1,-2.411772728E0,2.107113361E0
6.203851250E-1,1.603027344E0,-3.479044914E0,2.254913568E0
6.303641250E-1,2.466114759E0,-4.603160381E0,1.791346788E0
6.403741250E-1,3.133126259E0,-5.567508221E0,7.138276100E-1
6.503831250E-1,3.588107109E0,-6.270207882E0,-2.568530440E-1
6.603631250E-1,3.674949169E0,-6.571284771E0,-4.790139198E-1
6.703721250E-1,3.456421852E0,-6.289882183E0,-2.510417402E-1
6.803821250E-1,3.163625956E0,-5.572943687E0,9.703853726E-2
6.903611250E-1,2.993700266E0,-5.116777420E0,5.984331965E-1
7.003711250E-1,3.024949312E0,-5.302076817E0,1.358883381E0
7.103811250E-1,3.285078049E0,-6.000452042E0,2.096971273E0
7.203601250E-1,3.721338272E0,-6.761960030E0,2.545514822E0
7.303701250E-1,4.120595932E0,-7.487913132E0,2.885506392E0
7.403801250E-1,4.317257404E0,-7.890067577E0,3.204307795E0
7.503591250E-1,4.293906212E0,-7.890525818E0,3.477291346E0
7.603691250E-1,4.065492630E0,-7.701141834E0,3.740952015E0
7.703781250E-1,3.683110714E0,-7.408020020E0,4.168070793E0
7.803581250E-1,3.263612986E0,-7.092813492E0,4.736052513E0
7.903671250E-1,2.905607939E0,-6.634122372E0,5.259834290E0
8.003771250E-1,2.644667864E0,-5.782138348E0,5.622270584E0
8.103561250E-1,2.476767778E0,-4.925000668E0,5.840710640E0
8.203661250E-1,2.375612020E0,-4.479184151E0,6.190459251E0
8.303761250E-1,2.370626211E0,-4.126550674E0,6.777230740E0
8.403551250E-1,2.087155342E0,-3.564216852E0,7.249669552E0
8.503651250E-1,1.615896463E0,-2.589996815E0,7.717586040E0
8.603751250E-1,1.248678327E0,-1.854306340E0,7.769518375E0
8.703851250E-1,1.065799475E0,-1.497467995E0,7.013044357E0
8.803641250E-1,1.154752612E0,-1.197055936E0,5.875577927E0
8.903741250E-1,1.122247100E0,-7.625702024E-1,4.711174965E0
9.003831250E-1,9.587811232E-1,2.846646607E-1,4.305607796E0
9.103631250E-1,7.343575954E-1,1.278454304E0,4.078424454E0
9.203721250E-1,1.462835521E-1,2.836019039E0,4.067799568E0
9.303821250E-1,-9.242738485E-1,5.447098255E0,3.651147127E0
9.403611250E-1,-1.420985222E0,6.286500454E0,2.380322456E0
9.503711250E-1,-1.056410432E0,5.427376747E0,7.996140718E-1
9.603811250E-1,-8.548358083E-1,3.083609581E0,-6.938359141E-1
9.703601250E-1,-6.287560463E-1,1.015939832E0,-1.164141893E0
9.803701250E-1,2.116334587E-1,8.060597628E-2,-7.524391413E-1
9.903801250E-1,7.466353178E-1,4.004846513E-1,-4.438005984E-1
1.000359125E0,7.076760530E-1,-6.439892109E-3,-5.151551217E-2
1.010369125E0,1.463906169E0,-6.092978120E-1,1.214874163E-1
1.020378125E0,2.176529169E0,-7.731173038E-1,1.688074321E-1
1.030358125E0,2.421300650E0,-7.123040557E-1,1.974824816E-1
1.040367125E0,2.033452749E0,-1.379651278E-1,3.687658608E-1
1.050377125E0,1.916026592E0,8.051001430E-1,-8.888559788E-2
1.060356125E0,1.990347385E0,8.602117300E-1,-3.856810331E-1
1.070366125E0,2.104099751E0,5.346331000E-1,-1.363556385E-1
1.080376125E0,2.210830927E0,9.834508896E-1,-3.348686099E-1
1.090355125E0,1.229069829E0,1.173561454E0,-5.572257638E-1
1.100365125E0,4.576815367E-1,5.034677982E-1,-3.595896661E-1
1.110375125E0,1.573241949E0,-6.454108357E-1,-2.545303702E-1
1.120354125E0,2.103760242E0,-1.426783562E0,4.004533887E-1
