"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.001800000E-2,-2.863292396E-1,-9.787626266E-1,3.891042471E-1
2.003700001E-2,-3.606620729E-1,-6.608240604E-1,3.262778819E-1
3.005599999E-2,-3.630471230E-1,-2.600453198E-1,1.918841600E-1
4.007399999E-2,-2.783785760E-1,4.347886518E-2,2.724008821E-2
5.009300000E-2,-1.494073272E-1,2.038721293E-1,-1.202021241E-1
6.011200001E-2,-1.349928882E-2,2.837701440E-1,-2.119442970E-1
7.013000001E-2,1.453684866E-1,3.255766332E-1,-2.445532531E-1
8.014899999E-2,2.831189036E-1,3.908261955E-1,-1.714753211E-1
9.016800000E-2,3.677355349E-1,3.610164225E-1,5.286436528E-3
1.001870000E-1,3.849427402E-1,3.669566214E-1,1.774811000E-1
1.102050000E-1,3.461512923E-1,2.378737777E-1,2.498033643E-1
1.202240000E-1,2.696227133E-1,5.265039206E-2,2.413891107E-1
1.302430000E-1,1.846406013E-1,-6.867861003E-2,1.946111172E-1
1.402610000E-1,1.158514172E-1,-1.148607507E-1,1.285785735E-1
1.502800000E-1,9.263694286E-2,-1.228602976E-1,2.709806152E-2
1.602990000E-1,1.146418452E-1,-4.541371390E-2,-8.647004515E-2
1.703170000E-1,1.647269428E-1,1.048140451E-1,-1.883249432E-1
1.803360000E-1,2.183813900E-1,2.450478524E-1,-2.603160143E-1
1.903550000E-1,1.970795244E-1,2.242905647E-1,-2.926926315E-1
2.003740000E-1,7.677228749E-2,1.055162475E-1,-3.165865242E-1
2.103920000E-1,-6.035837531E-2,-8.830321580E-2,-3.624796867E-1
2.204110000E-1,-1.425674856E-1,-2.549396157E-1,-4.019418657E-1
2.304300000E-1,-1.978971958E-1,-3.023526073E-1,-4.050904512E-1
2.404480000E-1,-2.245344073E-1,-2.097707242E-1,-3.800833821E-1
2.504670000E-1,-2.419930995E-1,-6.373435259E-2,-3.728375137E-1
2.604860000E-1,-3.161807954E-1,1.008873507E-1,-4.371264875E-1
2.705040000E-1,-4.225811958E-1,2.473099381E-1,-5.107199550E-1
2.805230000E-1,-5.699937940E-1,3.175225854E-1,-5.574480295E-1
2.905420000E-1,-7.457884550E-1,1.795349270E-1,-6.353869438E-1
3.005610000E-1,-9.339591265E-1,-2.057280689E-1,-7.096247077E-1
3.105790000E-1,-1.099872470E0,-6.816876531E-1,-6.991807818E-1
3.205980000E-1,-1.206105113E0,-1.160038233E0,-6.037234664E-1
