,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
999,10.0097055,-0.8344006538,1.7995054719999999,-0.010988703
1000,10.0197125,-1.404982924,2.2042553419999997,-0.5687390566
1001,10.0297205,-1.017991662,2.349608898,-0.6470712423
1002,10.0397275,-0.3301917613,2.269088745,-0.3685551882
1003,10.0497345,0.04874616489,2.183645964,-0.2227171957
1004,10.0597415,0.5471333265,2.067761898,-0.15334610640000002
1005,10.0697485,1.275709391,1.569913626,0.08576740323999998
1006,10.0797565,1.681203842,1.322363138,0.6287180185
1007,10.0897635,1.6907182930000002,1.5149668459999999,1.342947364
1008,10.0997705,1.610677242,1.738033652,1.9474236969999998
1009,10.1097775,1.6840962169999998,1.492214203,2.229684114
1010,10.1197845,1.833574891,0.4824135005,2.0860862730000003
1011,10.1297915,2.044694662,-0.8130911589,1.5163640980000002
1012,10.1397995,2.068298817,-1.635916591,0.6770691872
1013,10.1498065,1.8691506390000001,-1.5722363,0.08717068285
1014,10.1598135,1.323227406,-0.1365927607,-0.036052454260000005
1015,10.1698205,0.47483131289999997,3.927510023,0.1281644404
1016,10.1798275,0.3026198447,5.506897926000001,0.4767786264
1017,10.1898355,0.829406023,3.923286676,0.6572633982
1018,10.1998425,1.3172472720000001,0.9638556242,0.5733737946
1019,10.2098495,1.2632895709999998,-1.432001114,0.4885855913
1020,10.2198565,0.9682244062,-2.665210485,0.4834409058
1021,10.2298635,0.7023383975,-2.724274874,0.4923559725
1022,10.2398705,0.5414147377,-2.002237558,0.4430118501
1023,10.2498785,0.4717531204,-1.099319816,0.3743989468
1024,10.2598855,0.45467427369999996,-0.3830967844,0.3217487931
1025,10.2698925,0.49382042880000004,-0.01172268763,0.2750684321
1026,10.2798995,0.5662791729,0.14994983380000002,0.2738202214
1027,10.2899065,0.6186998486999999,0.2935914993,0.2679415643
1028,10.2999145,0.6752560734999999,0.48413428659999996,0.2752594054
1029,10.3099215,0.7765709758,0.5117198825,0.2972538471
1030,10.3199285,0.8647500873,0.424774617,0.333689332
1031,10.3299355,0.8962517977,0.3081096709,0.3720876575
1032,10.3399425,0.889415741,0.3182680309,0.3780858815
1033,10.3499495,0.7883554101000001,0.2838583887,0.4137048721
1034,10.3599575,0.6954310536,0.1938715577,0.4146710336
1035,10.3699645,0.6478450894,0.04924974591,0.4213365018
1036,10.3799715,0.6399674416,-0.0609728992,0.4255349636
1037,10.3899785,0.6659401655,-0.1091761887,0.4114974439
1038,10.3999855,0.7025429009999999,-0.07991097122,0.4021236598
1039,10.4099925,0.7546550632,-0.005186701193,0.3991286755
1040,10.4200005,0.8125687242,0.09597613662,0.40897995229999995
1041,10.4300075,0.9061543345,0.2460603565,0.4598531127
1042,10.44001488,1.004441738,0.37576296929999997,0.5221309065999999
1043,10.45002187,1.072915912,0.4846824706,0.5632846951
1044,10.46002887,1.10351491,0.5956894159,0.6080590486999999
1045,10.47003687,1.094874382,0.6987457870999999,0.6399902104999999
1046,10.48004387,1.090640187,0.7439321876,0.6827672123999999
1047,10.49005087,1.0935953859999998,0.6821730733,0.7245099545
1048,10.50005787,1.085183859,0.5608727336,0.7645250559000001
1049,10.51006488,1.056509495,0.4551557899,0.817708075
1050,10.52007187,0.9804786444,0.2960188687,0.8549105525
1051,10.53007988,0.8808690906000001,0.2123392373,0.8933647275
1052,10.54008687,0.7499233484000001,0.2513958216,0.9066630006
1053,10.55009387,0.6138384342000001,0.40226101880000004,0.8670112490999999
1054,10.56010087,0.4978063703,0.5815854669,0.774572134
1055,10.57010787,0.4225654304,0.7297143936,0.6374152899000001
1056,10.58011587,0.3805543482,0.8139349818000001,0.4795883596
1057,10.59012287,0.3365002871,0.8759198785,0.31793427469999996
1058,10.60012988,0.2706549764,0.9594557881,0.16837912800000002
1059,10.61013687,0.1850537062,1.056940198,0.021294707430000004
1060,10.62014388,0.09677126258999999,1.103610516,-0.08224606513999999
1061,10.63015087,0.02933751792,1.060974836,-0.1371855736
1062,10.64015888,-0.054882816970000005,0.9346294403000001,-0.1546220928
1063,10.65016587,-0.20240038629999998,0.6676040292000001,-0.1698260903
1064,10.66017287,-0.3701499701,0.35266846420000003,-0.2450444102
1065,10.67017987,-0.5300493239999999,0.08529430627999998,-0.3682094216
1066,10.68018687,-0.6563843489,-0.13753743470000002,-0.4910940826
1067,10.69019387,-0.731095314,-0.31096401809999996,-0.6649900675
1068,10.70020187,-0.8108106852,-0.5204778314,-0.885237515
1069,10.71020888,-0.9899672270000001,-0.7300906181,-1.087396383
1070,10.72021587,-1.296464324,-0.8235151172,-1.19030416
1071,10.73022288,-1.5901618,-0.8236128688,-1.2614673379999999
1072,10.74022987,-1.909181833,-0.7094042301000001,-1.324303031
1073,10.75023787,-2.284086227,-0.58570081,-1.40282023
1074,10.76024487,-2.534050465,-0.5664003490999999,-1.4537729019999999
1075,10.77025187,-2.499480009,-0.5247994065,-1.504827023
1076,10.78025887,-2.2945942880000003,-0.3789053559,-1.514393926
1077,10.79026587,-2.144461155,0.017767196519999997,-1.421748161
1078,10.80027287,-2.0788979530000002,0.5883614421,-1.250628591
1079,10.81028087,-2.071030617,1.158747196,-1.066325665
1080,10.82028788,-2.067337036,1.4795361759999999,-0.9351207018000001
1081,10.83029487,-2.006541014,1.470547795,-0.8244348168000001
1082,10.84030188,-1.8870899680000002,1.238687396,-0.7050048112999999
1083,10.85030887,-1.733247042,0.9423899055,-0.6185783147999999
1084,10.86031587,-1.604300857,0.6997559667000001,-0.6203706264
