,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
19094,97.014955,1.905784607,2.841917515,9.26556015
19095,97.01996,1.9177556040000001,2.813186884,9.148244858
19096,97.024967,1.9177556040000001,2.772485495,9.009381293999999
19097,97.029972,1.900996208,2.724601507,8.918401718
19098,97.034977,1.884236693,2.671929121,8.870517731
19099,97.039982,1.8698714969999999,2.60010314,8.796297073
19100,97.044986,1.8315643069999998,2.533065319,8.712499618999999
19101,97.049991,1.8698714969999999,2.458845139,8.65743351
19102,97.054996,1.874659896,2.3989901540000003,8.688557625
19103,97.060978,1.836352706,2.375048161,8.781931877
19104,97.065982,1.824381709,2.33913517,8.820239067000001
19105,97.070987,1.769315004,2.425326347,8.846575737
19106,97.075992,1.9823989869999998,2.4971523280000003,8.841787338
19107,97.080997,2.121262789,2.537853718,8.911218643
19108,97.086979,2.226607561,2.513911724,9.15063858
19109,97.091983,2.327163935,2.4971523280000003,9.358934402000001
19110,97.096988,2.382230759,2.439691544,9.538499832000001
19111,97.101993,2.379836559,2.410961151,9.730035782
19112,97.106998,2.346317768,2.427720547,9.751583099
19113,97.111881,2.3511061669999997,2.456450939,9.698910713
19114,97.116947,2.322375536,2.509123325,9.622296333
19115,97.121952,2.272097349,2.549824715,9.531316757
19116,97.126956,2.209848166,2.6096799369999997,9.418789863999999
19117,97.131961,2.169146776,2.645592928,9.296685219
19118,97.136966,2.123656988,2.652775526,9.095572472
19119,97.141971,2.145204782,2.659958124,8.963891029
19120,97.146976,2.123656988,2.643198729,8.851364136
19121,97.151981,2.135627985,2.588132143,8.77235508
19122,97.156986,2.157175779,2.56658411,8.769960402999999
19123,97.161991,2.200271368,2.56658411,8.765172005
19124,97.166995,2.2553379540000003,2.571372509,8.813055992
19125,97.172977,2.26970315,2.592920542,8.82263279
19126,97.177982,2.341529369,2.659958124,8.899248123
19127,97.182987,2.370259762,2.698265314,8.935160637000001
19128,97.187991,2.379836559,2.705447912,9.042900085
19129,97.192996,2.355894566,2.71502471,9.17697525
19130,97.19794,2.30801034,2.71263051,9.337387085
19131,97.202945,2.2984335419999997,2.7198131080000003,9.440337181
19132,97.208987,2.324769735,2.710236311,9.495404243
19133,97.213992,2.389413357,2.779668093,9.50976944
19134,97.218997,2.45166254,2.762908697,9.488221169
19135,97.223941,2.499546528,2.78924489,9.497797966
19136,97.228885,2.49236393,2.760514498,9.497797966
19137,97.233951,2.537853718,2.79163909,9.502586365
19138,97.238956,2.571372509,2.7748796939999996,9.440337181
19139,97.243961,2.576161146,2.7772738930000003,9.361329078999999
19140,97.248965,2.559401512,2.731784105,9.196128845
19141,97.25397,2.4971523280000003,2.7174189089999996,9.028534889
19142,97.258975,2.480392933,2.7174189089999996,8.935160637000001
19143,97.264957,2.422932148,2.746149302,8.870517731
19144,97.269961,2.389413357,2.7748796939999996,8.844181061
19145,97.274966,2.396595955,2.78924489,8.889671326
