"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-5.907615051E0,-7.532785492E0,8.505313110E-1
1.001200000E-2,-6.276747437E0,-6.927593994E0,3.459306335E-1
2.002400000E-2,-6.737040253E0,-6.606362000E0,-1.721420288E-1
3.003700000E-2,-7.410489807E0,-6.376889191E0,-2.748284912E-1
4.004900000E-2,-8.197852478E0,-6.319259033E0,2.062710571E-1
5.006100000E-2,-9.011859741E0,-6.312223663E0,1.269360352E0
6.007300000E-2,-9.608968048E0,-6.236181793E0,2.437830505E0
7.008500000E-2,-9.569300537E0,-6.204747162E0,3.204236755E0
8.009700000E-2,-8.834927673E0,-6.190227356E0,3.451073456E0
9.011000000E-2,-7.623197479E0,-6.180347900E0,3.356919250E0
1.001220000E-1,-6.424939270E0,-6.298751678E0,3.144810333E0
1.101340000E-1,-5.420378265E0,-6.507567444E0,3.063529358E0
1.201460000E-1,-4.528981934E0,-6.704108734E0,3.117716675E0
1.301580000E-1,-3.610791321E0,-6.845115509E0,3.033591614E0
1.401700000E-1,-2.666554871E0,-6.918163605E0,2.766546936E0
1.501820000E-1,-1.942959595E0,-6.760092316E0,2.265239410E0
1.601950000E-1,-1.694027252E0,-6.355932770E0,1.850751343E0
1.702070000E-1,-1.977388000E0,-5.855822754E0,1.698218536E0
1.802190000E-1,-2.639012146E0,-5.445975037E0,1.696422272E0
1.902310000E-1,-3.492986298E0,-5.183720398E0,1.859433289E0
2.002430000E-1,-4.634662170E0,-4.979994049E0,2.382894745E0
2.102550000E-1,-5.717360687E0,-4.944667511E0,3.063978424E0
2.202680000E-1,-6.557713165E0,-4.890629883E0,3.433110809E0
2.302800000E-1,-7.130422211E0,-4.727618866E0,3.621419220E0
2.402920000E-1,-7.584727478E0,-4.513114929E0,3.434458008E0
2.503040000E-1,-7.979756012E0,-4.188739471E0,3.558699646E0
2.603160000E-1,-7.786058807E0,-3.859274597E0,4.255201263E0
2.703280000E-1,-7.607629852E0,-3.544628906E0,4.470004578E0
2.803410000E-1,-7.629783783E0,-3.447181549E0,4.641847229E0
2.903530000E-1,-7.655829620E0,-3.583697662E0,5.095254364E0
3.003650000E-1,-7.751480713E0,-3.827540588E0,5.339845734E0
3.103770000E-1,-7.788154449E0,-4.202211456E0,5.409151611E0
3.203890000E-1,-7.881859589E0,-4.478536835E0,5.271138611E0
3.304010000E-1,-8.001909943E0,-4.709207153E0,5.091961212E0
3.404140000E-1,-8.008496246E0,-4.945415955E0,5.005441132E0
3.504260000E-1,-7.765850830E0,-5.241350555E0,4.953349457E0
3.604380000E-1,-7.651937714E0,-5.261259155E0,4.882995758E0
3.704500000E-1,-7.271878052E0,-5.218897247E0,5.339845734E0
3.804620000E-1,-6.634653168E0,-5.436394958E0,4.960384827E0
3.904740000E-1,-6.265670471E0,-5.777086487E0,4.796325989E0
4.004860000E-1,-6.309379578E0,-6.459667053E0,5.325625305E0
4.104990000E-1,-6.906787262E0,-7.228168945E0,5.501210175E0
4.205110000E-1,-7.780520325E0,-7.811655579E0,5.130281525E0
4.305230000E-1,-8.360713806E0,-8.323740692E0,4.124523010E0
4.405350000E-1,-8.880433044E0,-8.590785370E0,3.560046844E0
4.505470000E-1,-9.548942871E0,-8.522826691E0,3.252586212E0
4.605590000E-1,-9.748178558E0,-8.012986908E0,1.905986481E0
4.705710000E-1,-9.183702393E0,-7.425758057E0,7.304809570E-1
4.805840000E-1,-8.661438446E0,-7.149732056E0,2.248324585E-1
4.905960000E-1,-8.152646484E0,-6.906038818E0,-2.020797729E-2
5.006080000E-1,-7.426805878E0,-6.800957336E0,6.378236389E-1
5.106200000E-1,-6.448739777E0,-7.043752441E0,1.751807098E0
5.206320000E-1,-5.110522614E0,-7.875872040E0,2.180066528E0
5.306440000E-1,-3.597918091E0,-8.897347870E0,1.707199860E0
5.406570000E-1,-2.455793152E0,-9.126371613E0,1.207987976E0
5.506690000E-1,-2.120041351E0,-8.792116699E0,1.332678680E0
5.606810000E-1,-4.276307373E0,-6.190526733E0,2.243684235E0
5.706930000E-1,-9.187145233E0,-7.084767151E-1,4.611909485E-1
5.807048750E-1,-9.504335632E0,-4.260290680E0,-1.103056183E0
5.907168750E-1,-9.943821716E0,-7.596702576E0,-1.226998444E0
6.007288750E-1,-1.122186401E1,-7.327412567E0,-1.836530914E0
6.107418750E-1,-1.065828598E1,-8.821306000E0,-1.895059204E0
6.207538750E-1,-9.169332275E0,-1.028750702E1,-1.552122345E0
6.307658750E-1,-7.682623901E0,-9.641450500E0,-6.129753113E-1
6.407778750E-1,-6.329288177E0,-8.674012299E0,4.571493530E-1
6.507898750E-1,-5.705086212E0,-8.026608582E0,7.942483521E-1
6.608018750E-1,-5.428012390E0,-7.653733978E0,2.862048340E-1
6.708138750E-1,-5.006039886E0,-8.009544067E0,-1.613644409E-1
6.808268750E-1,-4.441863098E0,-8.380622406E0,-3.041674805E-1
6.908388750E-1,-3.774251404E0,-8.549171906E0,7.529342651E-2
7.008508750E-1,-2.951711884E0,-8.671617279E0,1.011746063E0
7.108628750E-1,-2.510878601E0,-8.374934235E0,2.138003998E0
7.208748750E-1,-2.915187836E0,-7.754175110E0,2.371967468E0
7.308868750E-1,-4.262236633E0,-6.736441498E0,1.344504089E0
7.408988750E-1,-5.963748322E0,-5.767506409E0,-4.568499756E-1
7.509118750E-1,-7.320826263E0,-5.160668335E0,-1.308279419E0
7.609238750E-1,-7.740703125E0,-5.314997406E0,-8.852590942E-1
7.709358750E-1,-7.531138916E0,-5.689069519E0,-6.515950012E-1
7.809478750E-1,-7.266788635E0,-5.709576874E0,-7.596702576E-1
7.909598750E-1,-7.151378632E0,-5.510790253E0,-6.722520447E-1
8.009718750E-1,-7.169640656E0,-5.211861877E0,-4.062551880E-1
8.109838750E-1,-7.250472565E0,-5.115462341E0,-4.535568237E-2
8.209968750E-1,-7.261250153E0,-5.436095581E0,2.944377136E-1
8.310088750E-1,-7.142097931E0,-5.834566956E0,7.557783508E-1
8.410208750E-1,-6.939718781E0,-6.251899109E0,1.301992493E0
8.510328750E-1,-6.642287292E0,-6.620732117E0,1.828597412E0
8.610448750E-1,-6.359225922E0,-6.883585510E0,2.390528870E0
