"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.258000004E-3,-1.662773788E-1,-1.023589015E0,-4.179370999E-1
1.130800000E-2,-2.774077058E-1,-1.131171584E0,-3.938662112E-1
2.135800001E-2,-3.594653010E-1,-1.197114944E0,-3.743122220E-1
3.140800001E-2,-4.100193083E-1,-1.250075221E0,-3.829274178E-1
4.145800001E-2,-4.427285194E-1,-1.252984285E0,-4.279974103E-1
5.150800000E-2,-4.822870493E-1,-1.224595070E0,-5.010080338E-1
6.155800000E-2,-5.389044881E-1,-1.157758713E0,-5.874348283E-1
7.160800001E-2,-6.175323129E-1,-1.095639706E0,-6.724883318E-1
8.165800001E-2,-7.461879849E-1,-1.109116435E0,-7.408689857E-1
9.170800001E-2,-9.330722094E-1,-1.162725568E0,-7.983911633E-1
1.017580000E-1,-1.205547929E0,-1.284732699E0,-8.592286706E-1
1.118080000E-1,-1.539740801E0,-1.578410149E0,-1.011678696E0
1.218580000E-1,-1.800690889E0,-1.926663399E0,-1.155168176E0
1.319080000E-1,-2.164306879E0,-1.962311745E0,-1.334131122E0
1.419580000E-1,-2.310277224E0,-1.768400550E0,-1.518715858E0
1.520080000E-1,-2.438877344E0,-2.006709576E0,-1.678008795E0
1.620580000E-1,-2.456150770E0,-2.440829754E0,-1.772496462E0
1.721080000E-1,-2.452150583E0,-2.639468431E0,-1.798481703E0
1.821580000E-1,-2.664620876E0,-3.017981768E0,-1.658425331E0
1.922080000E-1,-2.933627844E0,-3.260494709E0,-1.381420612E0
2.022570000E-1,-3.075653553E0,-3.392973423E0,-9.903990626E-1
2.123070000E-1,-3.195982933E0,-3.319645882E0,-5.021907091E-1
2.223570000E-1,-3.112190962E0,-3.093139887E0,-1.384449191E-2
2.324070000E-1,-2.958232880E0,-2.381418228E0,3.580645025E-1
2.424570000E-1,-2.604876757E0,-1.590671182E0,5.915787220E-1
2.525070000E-1,-2.131299973E0,-8.276042938E-1,8.028830290E-1
2.625570000E-1,-1.596117020E0,-9.366482496E-2,1.101572275E0
2.726070000E-1,-1.117576718E0,5.035836697E-1,1.372925758E0
2.826570000E-1,-6.974454522E-1,8.062857985E-1,1.522429466E0
2.927070000E-1,-2.029077560E-1,6.019568443E-1,1.607010841E0
3.027570000E-1,2.754414976E-1,3.263513744E-1,1.658131719E0
3.128070000E-1,6.544111371E-1,2.829043195E-3,1.627131939E0
3.228570000E-1,9.127880931E-1,-4.376889467E-1,1.462383389E0
3.329070000E-1,1.014002681E0,-6.467908025E-1,1.109334707E0
3.429570000E-1,1.266947865E0,4.263205826E-1,6.276066899E-1
3.530070000E-1,1.607874751E0,1.218033314E0,1.470489502E-1
3.630570000E-1,1.836429596E0,1.101979852E0,-1.332759112E-1
3.731070000E-1,2.158692122E0,9.737571478E-1,-2.247736305E-1
3.831570000E-1,2.362782955E0,6.971399188E-1,-2.394590974E-1
3.932070000E-1,2.431522846E0,4.883933812E-2,-2.319290787E-1
4.032570000E-1,2.059831381E0,-1.214660168E0,-1.556486934E-1
4.133070000E-1,1.281958342E0,-2.076519728E0,-2.172265016E-2
4.233570000E-1,5.876847506E-1,-2.701200485E0,1.353055835E-1
4.334070000E-1,2.417847663E-1,-3.355883837E0,2.394633144E-1
4.434570000E-1,2.527820468E-1,-4.002466679E0,2.640773058E-1
4.535070000E-1,4.662831724E-1,-4.569069862E0,2.697420120E-1
4.635570000E-1,1.067142963E0,-4.911056519E0,3.364499211E-1
4.736070000E-1,1.568285823E0,-4.586256027E0,4.086488485E-1
4.836570000E-1,1.962343693E0,-4.441604614E0,4.399585724E-1
4.937070000E-1,1.996113300E0,-4.615868568E0,3.893165588E-1
5.037570000E-1,1.865860224E0,-4.991992950E0,4.251866639E-1
5.138070000E-1,1.773712635E0,-5.169363022E0,5.461986065E-1
5.238570000E-1,1.787411571E0,-5.100178242E0,7.325466275E-1
5.339070000E-1,1.973168969E0,-5.312414646E0,9.427003860E-1
5.439570000E-1,2.166574001E0,-5.538449287E0,1.159921646E0
5.540070000E-1,2.235403538E0,-5.819108963E0,1.379760504E0
5.640570000E-1,1.837190628E0,-5.644566536E0,1.702914834E0
5.741070000E-1,1.525708079E0,-5.545388222E0,2.029310465E0
5.841570000E-1,1.273408890E0,-5.399856091E0,2.359470367E0
5.942070000E-1,1.043831587E0,-5.372865677E0,2.783061028E0
6.042570000E-1,8.626483679E-1,-5.470763206E0,3.077829838E0
6.143070000E-1,7.501139045E-1,-5.584210873E0,3.223468781E0
6.243570000E-1,7.045027614E-1,-5.596642971E0,3.331361771E0
6.344070000E-1,6.952683330E-1,-5.514638424E0,3.463704109E0
6.444570000E-1,7.808508873E-1,-5.425590992E0,3.529360056E0
6.545070000E-1,9.694059491E-1,-5.261854172E0,3.566858292E0
6.645570000E-1,1.158468604E0,-4.996288300E0,3.590831041E0
6.746070000E-1,1.301884890E0,-4.742027760E0,3.605512381E0
6.846570000E-1,1.400308847E0,-4.533443451E0,3.717547655E0
6.947070000E-1,1.473196387E0,-4.377302170E0,3.821655273E0
7.047570000E-1,1.600263834E0,-4.310218334E0,3.845514536E0
