"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-4.613256683E0,4.139641571E0,7.999514923E0
1.005099999E-2,-4.633015594E0,4.246968384E0,8.117769012E0
2.010099999E-2,-4.694986725E0,4.344266052E0,8.234526215E0
3.015100000E-2,-4.716092834E0,4.371808777E0,8.302933960E0
4.020100000E-2,-4.658462677E0,4.354145508E0,8.353977814E0
5.025099999E-2,-4.654271393E0,4.284989319E0,8.398285675E0
6.030099999E-2,-4.621040497E0,4.177961884E0,8.441695404E0
7.035099999E-2,-4.535119171E0,4.081861725E0,8.512797546E0
8.040100000E-2,-4.382436676E0,4.020489349E0,8.647068329E0
9.045100000E-2,-4.270020447E0,3.980372772E0,8.850195923E0
1.005020000E-1,-4.218377838E0,3.903582458E0,8.997489624E0
1.105520000E-1,-4.120930481E0,3.802542572E0,9.208251343E0
1.206020000E-1,-4.028871918E0,3.657194824E0,9.400900726E0
1.306520000E-1,-3.954027557E0,3.432212677E0,9.539662170E0
1.407020000E-1,-3.890260162E0,3.161874847E0,9.787397003E0
1.507520000E-1,-3.770958252E0,2.943778381E0,1.008782227E1
1.608020000E-1,-3.523223419E0,2.900218964E0,1.029738647E1
1.708520000E-1,-3.162174225E0,2.993175659E0,1.030996033E1
1.809020000E-1,-2.720592499E0,3.088377686E0,1.010937744E1
1.909520000E-1,-2.286345520E0,3.095113678E0,9.925559692E0
2.010030000E-1,-1.940265198E0,2.987337799E0,9.702822876E0
2.110530000E-1,-1.644929352E0,2.876568146E0,9.301357727E0
2.211030000E-1,-1.248104553E0,2.887495422E0,9.612410889E0
2.311530000E-1,-9.605525208E-1,2.718646545E0,9.917177124E0
2.412030000E-1,-6.988966370E-1,2.399959259E0,9.796378326E0
2.512530000E-1,-3.963757324E-1,2.145787811E0,9.677974548E0
2.613030000E-1,-7.604187012E-2,1.924996948E0,9.493108978E0
2.713530000E-1,3.171903992E-1,1.671124878E0,9.409283295E0
2.814030000E-1,7.268884277E-1,1.525028687E0,9.492809601E0
2.914530000E-1,1.397793274E0,1.829046478E0,9.721683655E0
3.015040000E-1,1.791474609E0,2.164498901E0,9.402696991E0
3.115540000E-1,1.942360840E0,2.212848358E0,8.637039185E0
3.216040000E-1,2.401755524E0,2.163600769E0,8.112978973E0
3.316540000E-1,2.545307007E0,1.957030334E0,7.374265137E0
3.417040000E-1,2.559677124E0,1.422192535E0,6.764582977E0
3.517540000E-1,2.905009003E0,7.952961731E-1,6.882388000E0
3.618040000E-1,3.299887848E0,1.399589539E-1,7.152127075E0
3.718540000E-1,3.586242371E0,-3.019221497E-1,7.139403534E0
3.819040000E-1,3.647015991E0,-2.918930054E-1,6.860982513E0
3.919540000E-1,3.654650116E0,2.101629639E-1,6.394402771E0
4.020050000E-1,3.845652924E0,1.127305756E0,6.655459900E0
4.120550000E-1,3.760030975E0,1.514849854E0,7.360942841E0
4.221050000E-1,3.872447205E0,1.508413239E0,7.737260284E0
4.321550000E-1,3.963457947E0,1.169368286E0,7.691305847E0
4.422050000E-1,3.942202148E0,8.622070313E-1,7.699538727E0
4.522550000E-1,4.064497833E0,6.553372192E-1,7.609426117E0
4.623050000E-1,3.946842499E0,8.247848511E-1,7.483986969E0
4.723550000E-1,4.354145508E0,1.504221954E0,7.872129822E0
4.824050000E-1,4.237537994E0,2.013612671E0,7.707172852E0
4.924550000E-1,4.336931305E0,2.740501099E0,7.502997437E0
5.025060000E-1,4.725373535E0,3.547922058E0,7.756270752E0
5.125560000E-1,6.252647552E0,2.257156219E0,8.844657440E0
5.226060000E-1,5.950426025E0,2.203118591E0,7.277266846E0
5.326560000E-1,4.941673737E0,2.897075500E0,6.998995514E0
5.427060000E-1,4.900509338E0,2.462678833E0,6.626719666E0
5.527560000E-1,5.008584595E0,2.451901245E0,7.148534546E0
5.628060000E-1,4.390220490E0,2.807411957E0,7.204518127E0
5.728560000E-1,4.192481689E0,2.824925537E0,6.506968689E0
5.829060000E-1,4.378694458E0,2.369871826E0,6.754104767E0
5.929570000E-1,4.622238007E0,1.297950897E0,7.156168671E0
6.030070000E-1,4.948110352E0,4.116439819E-1,6.267017670E0
6.130570000E-1,5.613626404E0,-8.831634521E-3,6.305637360E0
6.231070000E-1,6.099216614E0,-5.803431702E-1,5.898034973E0
6.331570000E-1,5.953270111E0,-3.821553040E-1,4.318220215E0
6.432070000E-1,5.308560791E0,-1.118174744E-1,3.642824707E0
6.532570000E-1,4.986879730E0,-7.809260559E-1,3.402125244E0
6.633070000E-1,6.507717133E0,-1.412313080E0,4.978646851E0
6.733570000E-1,6.664441223E0,-1.704056396E0,8.143365784E0
6.834070000E-1,5.220843201E0,-2.282752991E0,5.073848877E0
6.934580000E-1,4.812192993E0,-2.295027466E0,4.204307098E0
7.035080000E-1,4.314028931E0,-2.294877777E0,4.900359650E0
7.135580000E-1,4.593946838E0,-2.391576691E0,6.967710571E0
7.236080000E-1,5.799240417E0,-2.986589355E0,3.358116760E0
7.336580000E-1,4.588108978E0,-3.799399109E0,2.376009064E0
7.437080000E-1,3.325185242E0,-4.255949707E0,3.226091309E0
7.537580000E-1,2.651136932E0,-4.802612915E0,2.743494873E0
7.638080000E-1,2.211201782E0,-5.618416443E0,2.724783783E0
7.738580000E-1,1.868863678E0,-6.046077118E0,2.789000244E0
7.839090000E-1,1.842219086E0,-6.052364044E0,2.581232300E0
7.939590000E-1,2.207609253E0,-5.890101471E0,2.497406616E0
8.040090000E-1,2.600242767E0,-6.039640503E0,2.386636963E0
8.140590000E-1,3.298840027E0,-6.203849030E0,2.403102722E0
8.241090000E-1,5.046006775E0,-5.927074585E0,4.169878693E0
8.341590000E-1,5.099745026E0,-6.138135681E0,5.824986877E0
8.442090000E-1,5.730982361E0,-6.697821808E0,7.093299408E0
8.542590000E-1,6.033802643E0,-7.178322601E0,8.285869446E0
8.643090000E-1,6.360124054E0,-7.318730621E0,8.447982330E0
8.743600000E-1,6.786886597E0,-6.935377808E0,8.528963928E0
8.844100000E-1,7.222181396E0,-6.575226746E0,8.370892639E0
8.944600000E-1,7.979756012E0,-6.487209778E0,8.433612213E0
9.045100000E-1,8.215964813E0,-6.375541992E0,8.588540039E0
9.145600000E-1,8.514743500E0,-6.382128296E0,8.615633698E0
9.246100000E-1,9.454638977E0,-6.089187469E0,8.111631775E0
9.346600000E-1,1.067714676E1,-5.523962860E0,7.523055725E0
9.447100000E-1,1.217717743E1,-4.765789490E0,7.166497192E0
9.547600000E-1,1.346045883E1,-3.708388367E0,6.789131927E0
9.648100000E-1,1.473086700E1,-3.041674805E0,6.896458740E0
9.748610000E-1,1.551029617E1,-2.689906311E0,7.302414551E0
9.849114167E-1,1.549877014E1,-2.581082611E0,7.356452179E0
9.949614167E-1,1.548709442E1,-2.886297913E0,7.239395599E0
1.005011417E0,1.556538162E1,-2.578837280E0,6.948101349E0
1.015061417E0,1.553529419E1,-1.778302002E0,5.819298706E0
1.025111417E0,1.615889740E1,-1.058448944E0,4.092339935E0
1.035161417E0,1.621652756E1,-2.047741699E-1,2.215243378E0
1.045211417E0,1.544278656E1,5.340893555E-1,3.769161987E-1
1.055261417E0,1.518008286E1,7.818241882E-1,-8.443940735E-1
1.065312417E0,1.534683609E1,8.354127502E-1,-1.563199310E0
1.075362417E0,1.530956360E1,5.397775269E-1,-1.240919495E0
1.085412417E0,1.564142349E1,2.350112915E-1,-4.575984192E-1
1.095462417E0,1.572674606E1,4.541555786E-1,-8.003855896E-1
1.105512417E0,1.546973053E1,4.122427368E-1,-1.336720276E0
1.115562417E0,1.479343689E1,8.921447754E-2,-1.266665955E0
1.125612417E0,1.364143250E1,-2.784210205E-1,-1.475631409E0
1.135662417E0,1.230770599E1,-1.124162292E0,-1.405876465E0
1.145712417E0,1.133263367E1,-1.932032318E0,-1.988315277E0
1.155763417E0,1.122470810E1,-1.963916016E0,-3.457959137E0
1.165813417E0,1.190055267E1,-1.850751343E0,-4.363276520E0
1.175863417E0,1.283805313E1,-1.643432465E0,-4.687801666E0
1.185913417E0,1.300345917E1,-1.655407562E0,-4.814588013E0
1.195963417E0,1.199081497E1,-2.314337311E0,-4.493206329E0
1.206013417E0,1.087398743E1,-2.671344910E0,-3.192561035E0
1.216063417E0,1.010338989E1,-2.169588318E0,-1.754950562E0
1.226113417E0,1.004875351E1,-2.409090271E0,-1.289568329E0
1.236163417E0,9.201215973E0,-3.079845428E0,-7.045848083E-1
1.246214417E0,7.251221008E0,-4.399201813E0,-3.823049927E-1
1.256264417E0,5.960305481E0,-5.075196075E0,-5.158273315E-1
1.266314417E0,5.221142578E0,-5.019960938E0,-1.107846222E0
