"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-6.848613739E0,4.912901878E0,6.412869453E0
1.504700000E-2,-6.530185223E0,4.576516628E0,6.710947514E0
2.586700000E-2,-7.321468830E0,5.752069473E0,7.135918140E0
3.540800000E-2,-8.469488144E0,6.647500992E0,7.534552574E0
4.498100000E-2,-7.595604897E0,5.548562527E0,7.523778915E0
5.530600000E-2,-6.621164799E0,4.137180328E0,6.949170589E0
6.546000000E-2,-6.200982571E0,3.632004023E0,6.563704014E0
7.504100000E-2,-6.828263283E0,4.322731018E0,5.650316238E0
8.578600000E-2,-7.212532520E0,4.977545261E0,4.232948780E0
9.514800000E-2,-6.791152954E0,4.590881824E0,3.852270603E0
1.050420000E-1,-6.841431141E0,4.280832767E0,4.103661537E0
1.151050000E-1,-7.193378925E0,4.747702122E0,4.565742493E0
1.250780000E-1,-7.241262913E0,4.704606533E0,5.012261391E0
1.351510000E-1,-7.352593422E0,4.795586109E0,5.104437828E0
1.452390000E-1,-6.760028362E0,4.705803394E0,6.112396717E0
1.556180000E-1,-6.587646008E0,4.562151432E0,6.501454830E0
1.683910000E-1,-7.107187748E0,5.087678432E0,6.568492413E0
1.856260000E-1,-6.542156219E0,5.067327976E0,5.342660904E0
1.955490000E-1,-6.394912720E0,5.142745018E0,3.965995073E0
2.052990000E-1,-7.095216751E0,5.590460777E0,2.105700493E0
2.158570000E-1,-6.560112476E0,4.977545261E0,1.922544003E0
2.250130000E-1,-6.289567947E0,4.730942726E0,2.821566820E0
2.354830000E-1,-6.269217014E0,4.892550945E0,3.093308687E0
2.452250000E-1,-6.302735806E0,4.857835293E0,2.804807186E0
2.551800000E-1,-6.433219910E0,5.135562420E0,2.448071241E0
2.652470000E-1,-6.402095318E0,5.442020416E0,2.561795712E0
2.757420000E-1,-6.374562263E0,5.471948147E0,2.422932148E0
2.859590000E-1,-6.042964935E0,5.281609058E0,3.343502760E0
2.956310000E-1,-5.827486992E0,5.367800236E0,3.120841980E0
3.051480000E-1,-6.868964672E0,5.195417881E0,2.846705914E0
3.150610000E-1,-7.381323814E0,4.711789131E0,1.777694821E0
3.255000000E-1,-7.465120792E0,3.864241600E0,1.587355733E0
3.351520000E-1,-7.465120792E0,3.670311213E0,1.418564558E0
3.451470000E-1,-7.098807812E0,3.732560396E0,1.042674899E0
3.555630000E-1,-6.834248543E0,3.400963545E0,1.216254473E0
3.651630000E-1,-6.265625954E0,3.398569345E0,1.756146908E0
3.763920000E-1,-6.129156113E0,3.736151695E0,2.359485865E0
3.861660000E-1,-5.708973885E0,2.725798607E0,2.524685621E0
4.009740000E-1,-7.333439827E0,3.971980572E0,1.614889026E0
4.151340000E-1,-7.377732754E0,3.447650433E0,2.978386879E0
4.250780000E-1,-7.459135532E0,3.229778051E0,3.240551949E0
4.350260000E-1,-7.535749912E0,3.385401249E0,2.941276789E0
