"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.540250063E0,-9.228513718E0,-2.098920107E0
7.527031000E-3,3.468384981E0,-7.752885818E0,-1.892907023E0
1.003609400E-2,3.612114906E0,-7.843914986E0,-2.180366993E0
1.254510400E-2,3.573786974E0,-7.843914986E0,-2.472618103E0
1.505411500E-2,3.573786974E0,-7.810378075E0,-2.836734056E0
1.756312500E-2,3.588160038E0,-7.834332943E0,-3.196058989E0
2.009890600E-2,3.612114906E0,-7.954108238E0,-3.464354992E0
2.260796900E-2,3.664815903E0,-7.992435932E0,-3.632040024E0
2.511697900E-2,3.693562031E0,-8.054718971E0,-3.727859974E0
2.761536500E-2,3.703144073E0,-8.025973320E0,-3.646413088E0
3.011369800E-2,3.645652056E0,-8.011599541E0,-3.584130049E0
3.262270800E-2,3.583369017E0,-8.035554886E0,-3.564965963E0
3.513177100E-2,3.616905928E0,-7.987645149E0,-3.368535042E0
3.764078100E-2,3.655234098E0,-8.006809235E0,-3.138566971E0
4.014984400E-2,3.703144073E0,-7.973271847E0,-2.961299896E0
4.265885400E-2,3.746263027E0,-7.934944153E0,-2.755286932E0
4.516791700E-2,3.880410910E0,-7.887033939E0,-2.635512114E0
4.767692700E-2,4.052886963E0,-7.877451897E0,-2.477408886E0
5.018599000E-2,4.182243824E0,-7.786423206E0,-2.352843046E0
5.269500000E-2,4.316391945E0,-7.738512993E0,-2.295351028E0
5.520406200E-2,4.464912891E0,-7.704976082E0,-2.233067989E0
5.771307300E-2,4.527195930E0,-7.642693043E0,-2.170784950E0
6.045052100E-2,4.575106144E0,-7.599574089E0,-2.122874975E0
6.295953100E-2,4.651762009E0,-7.561245918E0,-2.108501911E0
6.546859400E-2,4.675716877E0,-7.518126965E0,-2.118083954E0
6.797765600E-2,4.685298920E0,-7.556455135E0,-2.127665997E0
7.048666700E-2,4.680508137E0,-7.604364872E0,-2.118083954E0
7.299572900E-2,4.670926094E0,-7.604364872E0,-2.132457018E0
7.550474000E-2,4.733209133E0,-7.618738174E0,-2.242650032E0
7.801375000E-2,4.723627090E0,-7.642693043E0,-2.271395922E0
8.052281200E-2,4.670926094E0,-7.657065868E0,-2.295351028E0
8.303182300E-2,4.594270229E0,-7.661857128E0,-2.304933071E0
8.554088500E-2,4.508031845E0,-7.647483826E0,-2.333678961E0
8.804989600E-2,4.364302158E0,-7.589992046E0,-2.376797915E0
9.074322900E-2,4.292437077E0,-7.561245918E0,-2.343261003E0
9.325229200E-2,4.273272991E0,-7.599574089E0,-2.271395922E0
9.576130200E-2,4.249318123E0,-7.570827961E0,-2.185158014E0
9.827036500E-2,4.187035084E0,-7.642693043E0,-2.170784950E0
1.007793750E-1,4.210989952E0,-7.690602779E0,-2.070173979E0
1.032884370E-1,4.273272991E0,-7.781631947E0,-2.027055025E0
1.057974480E-1,4.335556030E0,-7.824750900E0,-2.007890940E0
1.083064580E-1,4.369092941E0,-7.877451897E0,-2.156411886E0
1.108155210E-1,4.388257027E0,-7.920570850E0,-2.348052025E0
1.133245310E-1,4.325973988E0,-8.016390800E0,-2.530109882E0
1.158335940E-1,4.215781212E0,-8.016390800E0,-2.611557007E0
1.183426040E-1,4.009768009E0,-7.978063107E0,-2.664258003E0
1.210652080E-1,3.760636091E0,-8.011599541E0,-2.649884939E0
1.235742710E-1,3.525876999E0,-8.064300537E0,-2.539691925E0
1.260832810E-1,3.353400946E0,-8.131375313E0,-2.324096918E0
1.285922920E-1,3.300699949E0,-8.184076309E0,-2.165993929E0
1.311013540E-1,3.305490971E0,-8.193657875E0,-2.051009893E0
1.336103650E-1,3.291117907E0,-8.188866615E0,-1.897698045E0
1.361194270E-1,3.281536102E0,-8.169702530E0,-1.782714009E0
1.386284370E-1,3.262372017E0,-8.217613220E0,-1.782714009E0
1.411374480E-1,3.200088978E0,-8.217613220E0,-1.739595056E0
1.436465100E-1,3.180924892E0,-8.121792793E0,-1.730013013E0
1.461555210E-1,3.099478006E0,-8.145748138E0,-1.749176979E0
1.486645830E-1,2.989284992E0,-8.188866615E0,-1.749176979E0
1.513234900E-1,2.917419910E0,-8.174493790E0,-1.720430970E0
1.538325520E-1,2.917419910E0,-8.184076309E0,-1.691684961E0
1.563415620E-1,2.955748081E0,-8.231986046E0,-1.696475983E0
1.588506250E-1,2.931792974E0,-8.385297775E0,-1.744385958E0
1.613596350E-1,2.807226896E0,-8.495491028E0,-1.710849047E0
1.638686980E-1,2.653914928E0,-8.591311455E0,-1.744385958E0
1.663777080E-1,2.467066050E0,-8.634429932E0,-1.787505031E0
1.688867190E-1,2.308963060E0,-8.519446373E0,-1.749176979E0
1.713957810E-1,2.261053085E0,-8.284687042E0,-1.725221992E0
1.739047920E-1,2.529349089E0,-7.901406765E0,-1.720430970E0
1.764138540E-1,2.869509935E0,-7.599574089E0,-1.552746058E0
1.789228650E-1,2.754525900E0,-7.407934189E0,-1.524000049E0
1.816173440E-1,2.591631889E0,-7.292950153E0,-1.524000049E0
1.841264060E-1,2.606004953E0,-7.216293812E0,-1.456925988E0
1.866354170E-1,2.591631889E0,-7.101309776E0,-1.466508031E0
1.891444790E-1,2.538930893E0,-7.015071869E0,-1.437762022E0
1.916534900E-1,2.543721914E0,-6.880924225E0,-1.447343946E0
1.941625520E-1,2.634751081E0,-6.770730972E0,-1.456925988E0
1.966715620E-1,2.668287992E0,-6.713239193E0,-1.562327981E0
1.991805730E-1,2.673079014E0,-6.631792068E0,-1.696475983E0
2.016896350E-1,2.673079014E0,-6.420988083E0,-1.864161015E0
2.041986460E-1,2.711406946E0,-6.171855927E0,-2.055800915E0
2.067077080E-1,2.582050085E0,-5.716711044E0,-2.194740057E0
2.092167190E-1,2.514976025E0,-5.309475899E0,-2.367216110E0
2.119063540E-1,2.591631889E0,-5.132208824E0,-2.491781950E0
2.144154170E-1,2.740153074E0,-5.232820034E0,-2.410335064E0
2.169244270E-1,2.917419910E0,-5.381340981E0,-2.209112883E0
2.194334900E-1,3.061150074E0,-5.601727009E0,-2.017472982E0
2.219425000E-1,3.252789974E0,-5.831695080E0,-1.897698045E0
2.244515100E-1,3.348609924E0,-5.908350945E0,-1.782714009E0
