"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.634260400E-2,-6.600587070E-2,4.465037286E-1,5.289217830E-1
4.885119800E-2,-6.707087159E-2,4.220027328E-1,5.321167707E-1
5.135984300E-2,-6.600587070E-2,3.431737423E-1,5.448997617E-1
5.386843700E-2,-6.813587248E-2,2.302557230E-1,5.608787537E-1
5.637703100E-2,-7.239687443E-2,1.258597225E-1,5.779227614E-1
5.888562500E-2,-7.665786892E-2,3.531273082E-2,5.939017534E-1
6.139427000E-2,-7.878886908E-2,-4.458026588E-2,6.088157892E-1
6.390286400E-2,-8.091986924E-2,-1.148872748E-1,6.226637959E-1
6.641145800E-2,-8.304987103E-2,-1.649552733E-1,6.365127563E-1
6.914385400E-2,-7.665786892E-2,-1.947822720E-1,6.471647620E-1
7.165244800E-2,-6.813587248E-2,-2.224792689E-1,6.588827968E-1
7.416109300E-2,-5.961386859E-2,-2.427182645E-1,6.759267449E-1
7.666968700E-2,-6.174486876E-2,-2.618932724E-1,6.972327828E-1
7.917828100E-2,-7.026687264E-2,-2.853292823E-1,7.270597816E-1
8.168687500E-2,-7.346287370E-2,-3.098302782E-1,7.526257634E-1
8.419552000E-2,-7.026687264E-2,-3.268742859E-1,7.622127533E-1
8.670406200E-2,-7.665786892E-2,-3.375272751E-1,7.696697712E-1
8.921270800E-2,-7.452787459E-2,-3.428532779E-1,7.749967575E-1
9.172130200E-2,-7.133187354E-2,-3.332662582E-1,7.835187912E-1
9.422989500E-2,-6.707087159E-2,-3.300702572E-1,7.952367663E-1
9.673854100E-2,-5.854886770E-2,-3.481792808E-1,8.090847731E-1
9.943520800E-2,-5.322286859E-2,-3.535062671E-1,8.154757619E-1
1.019438020E-1,-4.683086649E-2,-3.172872663E-1,8.037588000E-1
1.044524480E-1,-4.683086649E-2,-2.608282566E-1,7.675397992E-1
1.069610410E-1,-5.641886592E-2,-1.958472729E-1,7.515607476E-1
1.094696350E-1,-5.854886770E-2,-1.244752705E-1,7.654087543E-1
1.119782290E-1,-5.641886592E-2,-2.221027017E-2,7.739307880E-1
1.144868750E-1,-5.428786576E-2,6.194473431E-2,7.824527621E-1
1.169954680E-1,-5.002686754E-2,8.857572824E-2,7.835187912E-1
1.195040620E-1,-6.067986786E-2,7.366272807E-2,7.760617733E-1
1.220126560E-1,-7.133187354E-2,5.129173398E-2,7.590177655E-1
1.245212500E-1,-7.665786892E-2,4.170473292E-2,7.323857546E-1
1.270298950E-1,-8.731087297E-2,2.679073066E-2,7.238637805E-1
1.296893750E-1,-1.118118688E-1,8.681731299E-3,7.345167994E-1
1.321979680E-1,-1.363128722E-1,1.720373333E-2,7.430387735E-1
1.347065620E-1,-1.554878652E-1,4.276973382E-2,7.590177655E-1
1.372151560E-1,-1.821188778E-1,5.981373414E-2,7.686047554E-1
1.397237500E-1,-1.970328689E-1,5.129173398E-2,7.792577744E-1
1.422323950E-1,-2.023588717E-1,2.892173082E-2,7.984317541E-1
1.447409890E-1,-2.076848745E-1,-1.368826814E-2,8.112147450E-1
1.472495830E-1,-2.151418775E-1,-3.179726750E-2,8.154757619E-1
1.497581770E-1,-2.311208695E-1,-4.031926766E-2,8.208027482E-1
1.522668230E-1,-2.758618593E-1,-6.482026726E-2,8.165417910E-1
1.547754160E-1,-3.323208690E-1,-8.292926848E-2,8.069537878E-1
1.572840100E-1,-3.909098506E-1,-1.074302718E-1,8.016277552E-1
1.599801560E-1,-4.537608624E-1,-1.596282721E-1,7.909747958E-1
1.624887500E-1,-5.134148598E-1,-1.969122738E-1,7.728657722E-1
1.649973430E-1,-5.773308873E-1,-2.320662737E-1,7.643437982E-1
1.675059370E-1,-6.550948620E-1,-2.693502605E-1,7.707358003E-1
1.700145310E-1,-7.275319099E-1,-3.087652624E-1,7.867137790E-1
1.725231770E-1,-8.052958846E-1,-3.471142650E-1,7.994977832E-1
1.750317700E-1,-8.564288616E-1,-3.439182639E-1,7.909747958E-1
1.775403640E-1,-8.969088793E-1,-3.300702572E-1,7.728657722E-1
1.800489580E-1,-9.373888969E-1,-3.322002590E-1,7.483647466E-1
1.825576040E-1,-9.714769125E-1,-3.236782849E-1,7.313207984E-1
1.850661980E-1,-1.007695794E0,-3.183522820E-1,7.132107615E-1
1.875747910E-1,-1.036457777E0,-3.247442842E-1,6.929717660E-1
1.903075000E-1,-1.063088775E0,-3.108952641E-1,6.620787978E-1
1.928160930E-1,-1.121678829E0,-2.757422626E-1,6.173377633E-1
1.953247390E-1,-1.185593843E0,-2.373922765E-1,5.821847916E-1
1.978333330E-1,-1.228204846E0,-1.830642670E-1,5.704667568E-1
2.003419270E-1,-1.289989829E0,-1.351272762E-1,5.683357716E-1
2.028505200E-1,-1.370948792E0,-1.287362725E-1,5.694007874E-1
