"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.332196951E0,-6.756358147E0,-2.007890940E0
7.482708000E-3,-6.231290102E-1,-6.449734211E0,-8.388869762E-1
9.990781000E-3,-7.716500163E-1,-6.315586090E0,-8.005589843E-1
1.249885400E-2,-8.674700260E-1,-6.123946190E0,-7.766039968E-1
1.500692700E-2,-7.381129861E-1,-5.980216026E0,-6.424559951E-1
1.751500000E-2,-4.602349997E-1,-5.932305813E0,-4.364430010E-1
2.002307300E-2,-1.871480048E-1,-5.937097073E0,-2.400120050E-1
2.253114600E-2,3.802900016E-2,-5.970633984E0,-1.921020001E-1
2.503927100E-2,4.117270112E-1,-6.013752937E0,-1.202370003E-1
2.754734400E-2,7.902160287E-1,-6.104782104E0,-2.208479941E-1
3.005541700E-2,1.254943013E0,-6.090408802E0,-2.975040078E-1
3.256349000E-2,1.690924048E0,-6.071245193E0,-4.076969922E-1
3.507156200E-2,2.059830904E0,-6.191020012E0,-5.178899765E-1
3.757963500E-2,2.371246099E0,-6.377869129E0,-5.130990148E-1
4.036072900E-2,2.754525900E0,-6.660538197E0,-5.466359854E-1
4.286880200E-2,3.109060049E0,-6.780313015E0,-5.801730156E-1
4.537687500E-2,3.324655056E0,-6.804267883E0,-6.712020040E-1
4.788494800E-2,3.645652056E0,-6.627000809E0,-6.520379782E-1
5.039307300E-2,3.990603924E0,-6.555136204E0,-6.520379782E-1
5.290114600E-2,4.139124870E0,-6.497643948E0,-6.951569915E-1
5.540921900E-2,4.306809902E0,-6.387451172E0,-7.191119790E-1
5.791729200E-2,4.412211895E0,-6.258093834E0,-6.807839870E-1
6.042541700E-2,4.258900166E0,-6.214974880E0,-6.376649737E-1
6.293349000E-2,4.110379219E0,-6.008962154E0,-3.645780087E-1
6.544156200E-2,3.933111906E0,-5.822113037E0,-1.873109937E-1
6.794963500E-2,3.549832106E0,-5.649637222E0,3.786600009E-2
7.061661500E-2,3.224044085E0,-5.419669151E0,2.438790053E-1
7.312468700E-2,2.826390982E0,-5.333430767E0,2.486699969E-1
7.563276000E-2,2.313754082E0,-5.438833237E0,1.480589956E-1
7.814083300E-2,2.045458078E0,-5.870022774E0,6.182099879E-2
8.064890600E-2,1.652595997E0,-5.999380112E0,-2.920800075E-2
8.315703100E-2,1.216614962E0,-6.167065144E0,-2.639670074E-1
8.566510400E-2,8.764539957E-1,-6.310794830E0,-3.885329962E-1
8.817317700E-2,5.123379827E-1,-6.363495827E0,-6.185010076E-1
9.068130200E-2,2.967430055E-1,-6.425778866E0,-8.820059896E-1
9.318932300E-2,1.673859954E-1,-6.416196823E0,-1.040109038E0
9.569744800E-2,2.009229958E-1,-6.535972118E0,-1.217375994E0
9.820552100E-2,4.644280076E-1,-7.062982082E0,-1.423388958E0
1.009064060E-1,4.740099907E-1,-7.268994808E0,-1.586282969E0
1.034145310E-1,5.937849879E-1,-7.168384075E0,-1.519209027E0
1.059226040E-1,4.883829951E-1,-7.245039940E0,-1.289240956E0
1.084306770E-1,3.638170063E-1,-7.201920986E0,-1.025735974E0
1.109387500E-1,2.967430055E-1,-7.407934189E0,-8.963789940E-1
1.134468750E-1,1.673859954E-1,-7.915780067E0,-6.280829906E-1
1.159549480E-1,2.488330007E-1,-8.093047142E0,-1.873109937E-1
1.184630210E-1,5.719299987E-2,-8.495491028E0,-4.619999963E-4
1.209710940E-1,6.677500159E-2,-8.816488266E0,-6.274499744E-2
1.234791670E-1,6.677500159E-2,-8.787741661E0,-7.232700288E-2
1.259872920E-1,-2.206850052E-1,-8.735040665E0,-2.783400118E-1
1.284953650E-1,-1.344469935E-1,-8.509863853E0,-1.489830017E-1
1.311876560E-1,3.638170063E-1,-8.792532921E0,-1.483500004E-2
1.336957290E-1,9.291549921E-1,-9.645331383E0,8.577600121E-2
1.362038020E-1,1.307644010E0,-1.099639320E1,-7.711800188E-2
1.387119270E-1,1.595103979E0,-1.094848347E1,-5.795399845E-2
1.412199480E-1,1.829862952E0,-1.263012409E1,-5.035169721E-1
1.437280730E-1,1.868191004E0,-1.360269737E1,-5.322629809E-1
1.462361460E-1,1.762789011E0,-1.220372486E1,-6.232920289E-1
1.487442190E-1,1.604686022E0,-1.090536404E1,-1.116765022E0
1.512522920E-1,1.547194004E0,-9.765106201E0,-1.001780987E0
1.537603650E-1,1.551985025E0,-9.367452621E0,-6.328740120E-1
1.562684900E-1,1.877773046E0,-9.506391525E0,-9.538710117E-1
