"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,7.704290867E0,1.307976723E1,-2.619542599E0
1.007171900E-2,6.080162525E0,1.349133205E1,-8.321040869E-1
1.257927100E-2,5.471189022E0,1.291167068E1,-6.981059909E-1
1.508677100E-2,4.858027935E0,1.189113235E1,-3.918247223E-1
1.759078100E-2,4.326223373E0,1.071745300E1,-1.519442350E-1
2.009822900E-2,3.693919897E0,9.562915802E0,1.555334684E-2
2.260572900E-2,3.200400352E0,8.580661774E0,1.555334684E-2
2.511328100E-2,3.052045345E0,7.867002487E0,1.112662554E-1
2.762078100E-2,2.788236618E0,7.277770042E0,3.942175210E-1
3.012828100E-2,2.314457655E0,6.889534473E0,5.234299302E-1
3.263578100E-2,1.547558069E0,6.640681267E0,5.282155871E-1
3.514328100E-2,8.673982024E-1,6.626324177E0,6.574280262E-1
3.765078100E-2,2.494517565E-1,6.870391846E0,6.765705943E-1
4.015833400E-2,-3.637090325E-1,7.282555580E0,5.282155871E-1
4.266583400E-2,-6.705885530E-1,7.900502205E0,1.208375469E-1
4.496812500E-2,-5.988038778E-1,8.417949677E0,-3.577269912E-1
4.747562500E-2,-1.052841991E-1,8.561519623E0,-5.114658475E-1
4.998312500E-2,7.573283911E-1,8.499305725E0,-3.768695593E-1
5.249062500E-2,1.413560033E0,8.432307243E0,-1.423729509E-1
5.499812500E-2,1.557129383E0,8.551948547E0,-9.451649338E-2
5.750567700E-2,1.226919770E0,8.863613129E0,-3.720839322E-1
6.001317700E-2,7.238288522E-1,9.457631111E0,-7.028916478E-1
6.252067700E-2,2.829512656E-1,1.021914768E1,-9.954141974E-1
6.502817700E-2,2.733799815E-1,1.101954651E1,-1.033699393E0
6.753567700E-2,5.605186820E-1,1.144128132E1,-9.086744189E-1
7.004317700E-2,1.178465128E0,1.144606686E1,-1.014556766E0
7.255067700E-2,1.921436548E0,1.112961674E1,-1.124626637E0
7.481463600E-2,2.659024239E0,1.064088249E1,-1.253839016E0
7.732213600E-2,3.128615618E0,9.893723488E0,-1.469791293E0
7.982963600E-2,3.349353552E0,9.002396584E0,-1.685145378E0
8.233713600E-2,3.354139090E0,8.072785378E0,-1.694716692E0
8.484463600E-2,3.152543783E0,6.812964439E0,-1.484148264E0
8.735218800E-2,3.421138287E0,6.534798622E0,-1.465005636E0
8.985968800E-2,3.440280676E0,6.419943333E0,-1.536790371E0
9.236718800E-2,3.233899832E0,6.075376511E0,-1.119840980E0
9.487468800E-2,3.305684566E0,5.706283569E0,-4.540380836E-1
9.738218800E-2,3.392424345E0,5.677569866E0,-1.232303679E-1
9.988968800E-2,3.387638569E0,5.974279881E0,-8.015955985E-2
1.023971880E-1,3.478565931E0,6.343372822E0,2.841476798E-1
1.046584380E-1,3.512065411E0,6.588038921E0,3.469592705E-2
1.071659380E-1,3.454637766E0,6.631109715E0,-5.306084156E-1
