"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.276765600E-2,-1.988914371E0,-1.353947282E0,2.348565102E0
8.516750000E-2,-2.034118414E0,-1.274534941E0,2.322908640E0
8.756656200E-2,-2.086652756E0,-1.174353123E0,2.296030521E0
8.996484300E-2,-2.142852306E0,-1.065619111E0,2.269152641E0
9.236390600E-2,-2.207603931E0,-9.471113682E-1,2.244718075E0
9.476369800E-2,-2.278464317E0,-8.310470581E-1,2.217839956E0
9.716281200E-2,-2.354211569E0,-7.259783149E-1,2.188518524E0
9.956104100E-2,-2.433624029E0,-6.343486309E-1,2.156753540E0
1.019601560E-1,-2.516701698E0,-5.573796630E-1,2.122545004E0
1.043600000E-1,-2.604665995E0,-5.036235452E-1,2.096888781E0
1.067590620E-1,-2.695074081E0,-4.327633083E-1,2.083449602E0
1.091572910E-1,-2.792812347E0,-2.898209691E-1,2.082227945E0
1.115564060E-1,-2.880776882E0,-1.456568837E-1,2.083449602E0
1.139562500E-1,-2.957746029E0,-6.379718427E-3,2.085893154E0
1.163552600E-1,-3.023719311E0,1.316757053E-1,2.084671497E0
1.187535410E-1,-3.073810101E0,2.660659254E-1,2.079784632E0
1.211526560E-1,-3.114127398E0,4.041213691E-1,2.066345453E0
1.235524480E-1,-3.144670486E0,5.519506931E-1,2.041910887E0
1.259515620E-1,-3.166661739E0,7.046668530E-1,2.006480694E0
1.283497910E-1,-3.183765888E0,8.647134304E-1,1.960054874E0
1.307489060E-1,-3.194761515E0,1.028425097E0,1.903855324E0
1.331486980E-1,-3.205756903E0,1.170145750E0,1.841547132E0
1.355478120E-1,-3.217974186E0,1.269105792E0,1.774352074E0
1.379460410E-1,-3.227748156E0,1.326527119E0,1.708378673E0
1.403451560E-1,-3.232635021E0,1.344853044E0,1.635074854E0
1.427449480E-1,-3.231413364E0,1.350961685E0,1.559327602E0
1.451440620E-1,-3.224082947E0,1.347296476E0,1.476250052E0
1.475422390E-1,-3.209422112E0,1.343631268E0,1.387063861E0
1.499413540E-1,-3.184987545E0,1.346074700E0,1.291768909E0
1.523411980E-1,-3.156887770E0,1.383948326E0,1.190365314E0
1.547402600E-1,-3.126344681E0,1.476799846E0,1.087740064E0
1.571384890E-1,-3.089692593E0,1.574538112E0,9.851148129E-1
1.595376040E-1,-3.040823460E0,1.684493780E0,8.824895620E-1
1.619374480E-1,-2.990732670E0,1.790784240E0,7.810860276E-1
1.643365100E-1,-2.933311224E0,1.877527118E0,6.772390008E-1
1.667347390E-1,-2.869781494E0,1.941056967E0,5.746137500E-1
1.691338540E-1,-2.800142765E0,2.004586697E0,4.756536484E-1
1.715336980E-1,-2.719508648E0,2.073003769E0,3.754718304E-1
1.739327600E-1,-2.632765770E0,2.153637886E0,2.765117288E-1
1.763310410E-1,-2.537471056E0,2.236715317E0,1.751081795E-1
1.787301560E-1,-2.438510895E0,2.314906120E0,7.614810765E-2
1.811299480E-1,-2.332220554E0,2.388209820E0,-2.159024961E-2
1.835290100E-1,-2.224708319E0,2.455404997E0,-1.156634241E-1
1.859272390E-1,-2.118417740E0,2.495722055E0,-2.036279440E-1
1.883264060E-1,-2.006018639E0,2.510382891E0,-2.830403447E-1
1.907261980E-1,-1.887510777E0,2.496943712E0,-3.526789248E-1
1.931252600E-1,-1.764116168E0,2.468843937E0,-4.125436544E-1
1.955235410E-1,-1.638278008E0,2.402870655E0,-4.614128470E-1
1.979226040E-1,-1.516105056E0,2.305132151E0,-4.992864728E-1
2.003224480E-1,-1.391488671E0,2.191511393E0,-5.237210393E-1
2.027215100E-1,-1.271759152E0,2.073003769E0,-5.371600389E-1
2.051197390E-1,-1.158138275E0,1.950830817E0,-5.396035314E-1
2.075188540E-1,-1.045739174E0,1.820105791E0,-5.322731733E-1
2.099186980E-1,-9.370054007E-1,1.674719930E0,-5.163906813E-1
2.123177600E-1,-8.282715082E-1,1.507343054E0,-4.931778312E-1
2.147159890E-1,-7.183158398E-1,1.319196701E0,-4.638563097E-1
2.171151040E-1,-6.046950221E-1,1.109059215E0,-4.296478629E-1
2.195149480E-1,-4.849655330E-1,8.720437884E-1,-3.954394460E-1
2.219140100E-1,-3.603491187E-1,6.032633185E-1,-3.587875664E-1
2.243122390E-1,-2.345109582E-1,3.076047301E-1,-3.209139407E-1
2.267113540E-1,-1.098945588E-1,-1.126663573E-2,-2.769317031E-1
2.291111980E-1,1.350010931E-2,-3.411335945E-1,-2.305059880E-1
2.315102600E-1,1.295644194E-1,-6.685570478E-1,-1.804150790E-1
2.339084890E-1,2.407417893E-1,-9.874284267E-1,-1.266589910E-1
2.363076040E-1,3.482539654E-1,-1.306299806E0,-7.290288806E-2
2.387074480E-1,4.521009624E-1,-1.625171304E0,-1.670333184E-2
2.411065100E-1,5.559479594E-1,-1.944042683E0,4.071795195E-2
2.435047390E-1,6.671253443E-1,-2.238479614E0,9.447404742E-2
2.459038540E-1,7.856330872E-1,-2.503594875E0,1.408997625E-1
2.483036980E-1,9.078060389E-1,-2.768710136E0,1.799951047E-1
2.507027600E-1,1.022648692E0,-3.048486233E0,2.203121781E-1
2.531009890E-1,1.141156435E0,-3.285501719E0,2.630727291E-1
2.555001040E-1,1.262107730E0,-3.429665804E0,3.021680713E-1
2.578999480E-1,1.383058906E0,-3.444326401E0,3.339330256E-1
2.602990100E-1,1.484462500E0,-3.224415302E0,3.559241593E-1
2.626972390E-1,1.544327259E0,-2.794366360E0,3.754718304E-1
2.650963540E-1,1.532109857E0,-2.218931913E0,4.023498893E-1
2.674961980E-1,1.428262949E0,-1.495667934E0,4.414452314E-1
2.698952600E-1,1.258442521E0,-6.734439731E-1,4.842057526E-1
2.722934890E-1,1.070296168E0,5.959367007E-2,5.220793486E-1
2.746926040E-1,9.016973972E-1,5.629462600E-1,5.501791239E-1
2.770924480E-1,7.611985207E-1,8.366136551E-1,5.697268248E-1
2.794915100E-1,6.500211358E-1,9.636735320E-1,5.880527496E-1
2.818897390E-1,5.657218099E-1,1.036977172E0,6.124873161E-1
2.842888540E-1,5.058570504E-1,1.102950573E0,6.442523003E-1
2.866886980E-1,4.630965292E-1,1.157928467E0,6.686868668E-1
2.890877600E-1,4.337750077E-1,1.217793226E0,6.747955680E-1
2.914859890E-1,4.203360081E-1,1.320418477E0,6.638000011E-1
2.938851040E-1,4.191142619E-1,1.468247652E0,6.357002258E-1
2.962849480E-1,4.288881123E-1,1.636846423E0,5.929396749E-1
2.986840100E-1,4.459923208E-1,1.806666732E0,5.416270494E-1
3.010822390E-1,4.606530666E-1,1.949609160E0,4.829840064E-1
3.034813540E-1,4.740920961E-1,2.064451456E0,4.255627394E-1
3.058811980E-1,4.777572751E-1,2.162189960E0,3.791370094E-1
3.082802600E-1,4.753138125E-1,2.314906120E0,3.718066514E-1
3.106784890E-1,4.765355587E-1,2.490835190E0,3.962412179E-1
3.130776040E-1,4.753138125E-1,2.598347425E0,4.243409932E-1
3.154774480E-1,4.740920961E-1,2.649659872E0,4.499973357E-1
3.178765100E-1,4.740920961E-1,2.663099051E0,4.707667232E-1
3.202747390E-1,4.826442003E-1,2.643551350E0,4.829840064E-1
3.226738540E-1,4.985266924E-1,2.593460321E0,4.829840064E-1
3.250736980E-1,5.229612589E-1,2.512826204E0,4.671015441E-1
3.274727600E-1,5.583914518E-1,2.401648760E0,4.353365600E-1
3.298709890E-1,6.109257936E-1,2.279475927E0,3.913543224E-1
3.322701040E-1,6.805643439E-1,2.140198708E0,3.375982046E-1
3.346699480E-1,7.770810127E-1,1.988704562E0,2.752900124E-1
3.370690100E-1,8.955887556E-1,1.842096925E0,2.105383426E-1
3.394672390E-1,1.025092244E0,1.712593555E0,1.567822397E-1
3.418663540E-1,1.146043420E0,1.613633513E0,1.262390167E-1
3.442661980E-1,1.245003462E0,1.546438336E0,1.213520914E-1
3.466652600E-1,1.318307281E0,1.522003770E0,1.323476583E-1
3.490634890E-1,1.369619846E0,1.535442829E0,1.616691649E-1
3.514626040E-1,1.397719622E0,1.578203321E0,1.946558505E-1
3.538624480E-1,1.394054532E0,1.630737662E0,2.093166113E-1
3.562615100E-1,1.361067772E0,1.723589182E0,1.922124028E-1
3.586597390E-1,1.302424788E0,1.848205566E0,1.225738227E-1
3.610588540E-1,1.229120970E0,1.933726668E0,-1.548160240E-2
3.634586980E-1,1.144821644E0,1.980152249E0,-2.011844814E-1
3.658577600E-1,1.053192019E0,1.991147876E0,-4.113219380E-1
3.682559890E-1,9.603403807E-1,1.976487160E0,-6.116855741E-1
3.706551040E-1,8.723759055E-1,1.947165608E0,-7.766190171E-1
3.730549480E-1,7.905200124E-1,1.915400624E0,-8.890181184E-1
3.754540100E-1,7.098858953E-1,1.895853043E0,-9.439959526E-1
3.778522390E-1,6.316952109E-1,1.905626893E0,-9.574350119E-1
3.802513540E-1,5.583914518E-1,1.947165608E0,-9.476611614E-1
3.826511980E-1,4.753138125E-1,2.019247532E0,-9.293352365E-1
3.850502600E-1,3.971231282E-1,2.112098932E0,-9.122310281E-1
3.874484890E-1,3.335931897E-1,2.209837437E0,-9.195613861E-1
3.898476040E-1,2.969413102E-1,2.302688837E0,-9.439959526E-1
3.922474480E-1,2.920544147E-1,2.390653372E0,-9.794261456E-1
3.946465100E-1,3.091586232E-1,2.477396011E0,-1.017299771E0
3.970447390E-1,3.421453238E-1,2.560473680E0,-1.047842979E0
3.994438540E-1,3.714668155E-1,2.653325081E0,-1.069834113E0
4.018436980E-1,3.861275613E-1,2.769389391E0,-1.074720979E0
4.042427600E-1,4.068969786E-1,2.890340567E0,-1.084494829E0
4.066409890E-1,4.533226788E-1,2.994187593E0,-1.112594604E0
4.090401560E-1,5.351785421E-1,3.071156502E0,-1.154133439E0
4.114399480E-1,6.378038526E-1,3.135908365E0,-1.203002572E0
4.138390100E-1,7.355421782E-1,3.194551229E0,-1.254315257E0
4.162372390E-1,8.198415041E-1,3.256859541E0,-1.303184390E0
4.186363540E-1,8.748193383E-1,3.328941584E0,-1.343501449E0
4.210361980E-1,9.016973972E-1,3.416906118E0,-1.377709866E0
4.234352600E-1,9.273537397E-1,3.503648758E0,-1.420470476E0
4.258335410E-1,9.774446487E-1,3.576952696E0,-1.473004818E0
4.282326040E-1,1.053192019E0,3.638039112E0,-1.524317503E0
4.306324480E-1,1.133826137E0,3.695460320E0,-1.564634562E0
4.330315100E-1,1.199799538E0,3.756546736E0,-1.593955994E0
4.354297390E-1,1.243781805E0,3.822520256E0,-1.607395053E0
4.378288540E-1,1.249890447E0,3.890937090E0,-1.592734337E0
4.402286980E-1,1.236451387E0,3.974014759E0,-1.576851845E0
4.426277600E-1,1.220568895E0,4.125509262E0,-1.579295278E0
4.450260410E-1,1.216903687E0,4.275782108E0,-1.587847352E0
4.474251040E-1,1.212016821E0,4.362524986E0,-1.593955994E0
4.498250000E-1,1.188803911E0,4.374742031E0,-1.589069128E0
4.522240100E-1,1.120387077E0,4.306325436E0,-1.553638935E0
4.546222910E-1,1.007987976E0,4.140170097E0,-1.496217728E0
4.570213540E-1,8.626020551E-1,3.857950449E0,-1.421692133E0
4.594212500E-1,7.098858953E-1,3.504870653E0,-1.341058016E0
4.618202600E-1,5.681652427E-1,3.132243156E0,-1.260423899E0
4.642185410E-1,4.496574998E-1,2.774276257E0,-1.188341856E0
4.666176040E-1,3.506974280E-1,2.428526878E0,-1.129698873E0
4.690174480E-1,2.651763558E-1,2.092551231E0,-1.075942755E0
4.714165100E-1,1.857639700E-1,1.765128016E0,-1.020964980E0
4.738147910E-1,1.063515395E-1,1.449921727E0,-9.708740115E-1
4.762138540E-1,3.304778039E-2,1.157928467E0,-9.232265949E-1
4.786136980E-1,-3.292560950E-2,8.928132057E-1,-8.743574023E-1
4.810128120E-1,-8.545997739E-2,6.570194364E-1,-8.279316425E-1
4.834110410E-1,-1.269987822E-1,4.444384277E-1,-7.827276587E-1
4.858101560E-1,-1.612071842E-1,2.452965528E-1,-7.338585258E-1
4.882100000E-1,-1.868635118E-1,6.570231915E-2,-6.813241243E-1
4.906090100E-1,-2.064111829E-1,-7.724002749E-2,-6.312332153E-1
4.930072910E-1,-2.198501974E-1,-1.896391362E-1,-5.823640823E-1
4.954064060E-1,-2.345109582E-1,-2.824905813E-1,-5.334948897E-1
4.978062500E-1,-2.491717041E-1,-3.472422361E-1,-4.834039807E-1
5.002053120E-1,-2.662759423E-1,-3.875593245E-1,-4.381999671E-1
5.026034890E-1,-2.760497928E-1,-4.009983540E-1,-3.991046250E-1
5.050026560E-1,-2.797149718E-1,-3.863375783E-1,-3.661179543E-1
5.074025000E-1,-2.772715092E-1,-3.472422361E-1,-3.367964327E-1
5.098015620E-1,-2.711628675E-1,-2.812688649E-1,-3.123618364E-1
5.121997910E-1,-2.650542259E-1,-1.994129717E-1,-2.879272699E-1
5.145988540E-1,-2.565021217E-1,-1.028963476E-1,-2.659361362E-1
5.169987500E-1,-2.455065250E-1,1.438968256E-2,-2.427232713E-1
5.193978120E-1,-2.271805853E-1,1.548885703E-1,-2.207321525E-1
5.217960410E-1,-2.039677203E-1,3.051612675E-1,-1.987410188E-1
5.241951560E-1,-1.795331240E-1,4.346646070E-1,-1.816368103E-1
5.265950000E-1,-1.489899009E-1,5.360682011E-1,-1.657543331E-1
5.289940620E-1,-1.160032153E-1,6.044850349E-1,-1.510935724E-1
5.313922910E-1,-7.446441054E-2,6.374717355E-1,-1.400980055E-1
5.337914060E-1,-2.803869173E-2,6.374717355E-1,-1.303241700E-1
