"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,2.575993195E0,7.483687592E0,5.158572693E0
9.918000000E-3,2.665057983E0,7.470814362E0,5.090763702E0
1.983600000E-2,2.529140625E0,7.489375763E0,5.316494293E0
2.975500000E-2,2.543660431E0,7.595355377E0,5.425467682E0
3.964200000E-2,2.321522369E0,7.683222656E0,5.533992004E0
4.956100000E-2,2.061662750E0,7.605384521E0,5.764213257E0
5.947900000E-2,1.889670410E0,7.368127899E0,5.974226532E0
6.939700000E-2,1.900447998E0,7.069049835E0,6.565496979E0
7.931500000E-2,1.540296936E0,6.726412354E0,6.813531189E0
8.923300000E-2,1.040037231E0,7.065307617E0,7.324418793E0
9.912100000E-2,7.911048889E-1,7.484286346E0,8.081544342E0
1.090390000E-1,5.168751526E-1,7.621999969E0,8.426726532E0
1.189580000E-1,7.093748474E-1,7.913294220E0,8.765621796E0
1.288760000E-1,8.286767578E-1,7.654332733E0,8.866661682E0
1.387940000E-1,4.340972900E-1,7.347620544E0,7.668702850E0
1.486820000E-1,3.782633972E-1,7.215445404E0,7.400610352E0
1.586000000E-1,6.038442993E-1,6.850803680E0,7.394173737E0
1.685180000E-1,8.331674194E-1,6.349645844E0,7.402107239E0
1.784360000E-1,8.851094055E-1,5.822442169E0,7.402705994E0
1.883550000E-1,8.858578491E-1,5.430557098E0,7.482190704E0
1.982730000E-1,7.472460938E-1,5.343288574E0,7.441625061E0
2.081600000E-1,2.633024597E-1,5.605692902E0,7.452702026E0
2.180790000E-1,-2.613565063E-1,5.707032166E0,7.985593872E0
2.279970000E-1,-5.755531311E-1,5.407654724E0,8.570128326E0
2.379150000E-1,-7.611671448E-1,4.995861053E0,8.835526428E0
2.478330000E-1,-9.758207703E-1,4.380191345E0,9.083710327E0
2.577520000E-1,-9.400451660E-1,4.660109253E0,7.873926086E0
2.676390000E-1,-1.145118713E0,4.659660187E0,7.332352295E0
2.775570000E-1,-1.338067474E0,4.093836823E0,8.392747192E0
2.874760000E-1,-1.014889526E0,4.102818146E0,9.139244843E0
2.973940000E-1,-1.210682373E0,4.623585205E0,8.591982880E0
3.073120000E-1,4.490661621E-3,3.853586426E0,9.635313263E0
3.172300000E-1,1.853894806E0,4.680167542E0,8.334218903E0
3.271480000E-1,1.990710297E0,5.198389893E0,7.113657074E0
3.370360000E-1,1.673968964E0,5.208568726E0,6.384673004E0
3.469540000E-1,7.496411133E-1,4.323159943E0,6.076314240E0
3.568730000E-1,-2.863545227E-1,4.085753632E0,7.698341217E0
3.667910000E-1,-1.228195953E0,5.137167206E0,9.023535461E0
3.767090000E-1,-2.032323761E0,5.061424713E0,1.113639175E1
3.866270000E-1,-2.041155396E0,3.324736176E0,1.113160172E1
3.965150000E-1,-2.000140686E0,2.615810394E0,9.860445099E0
4.064330000E-1,-1.803749084E0,1.673669586E0,8.372239838E0
4.163510000E-1,-1.465751953E0,8.150550842E-1,7.379803619E0
4.262700000E-1,-8.039781189E-1,2.167492676E-1,6.787036285E0
4.361880000E-1,2.133213959E0,3.710783386E-1,6.606362000E0
4.461060000E-1,3.119213562E0,1.821562042E0,6.162534943E0
4.559940000E-1,-2.154020691E-1,3.412304077E0,6.348448334E0
4.659120000E-1,-1.208437042E0,5.217999115E0,8.400081940E0
4.758300000E-1,-3.960763550E-1,5.818400574E0,9.751471710E0
4.857480000E-1,1.022373962E-1,5.195845184E0,9.565708008E0
4.956670000E-1,6.975494385E-2,3.854783936E0,8.446784821E0
5.055850000E-1,-4.282594299E-1,3.159030762E0,7.547454987E0
5.154720000E-1,-2.249522095E0,3.083138580E0,6.819818115E0
5.253910000E-1,-4.408931580E0,3.053649902E0,5.548960876E0
5.353090000E-1,-3.917952576E0,2.528092804E0,5.947731628E0
5.452270000E-1,-2.850522308E0,3.451821899E0,7.165299683E0
5.551450000E-1,-2.524051208E0,4.415667572E0,8.944350128E0
5.650640000E-1,-3.720812531E0,4.046984253E0,1.110540619E1
5.749510000E-1,-3.422333221E0,3.649860077E0,9.218280487E0
5.848690000E-1,-3.593726807E0,4.436324615E0,1.074315948E1
5.947880000E-1,-2.992876282E0,3.849245453E0,1.084165466E1
6.047060000E-1,-2.796484680E0,2.650837555E0,1.000040405E1
6.146240000E-1,-2.898871765E0,2.002685394E0,8.966953125E0
6.245420000E-1,-2.763852539E0,1.619482269E0,8.449778595E0
6.344300000E-1,-2.086810455E0,1.335522766E0,7.503895569E0
6.443480000E-1,-2.074835358E0,4.587959290E-1,5.454507294E0
6.542660000E-1,-1.830243988E0,1.197509766E-3,4.270020447E0
6.641850000E-1,-1.664837952E0,-6.177653503E-1,3.840264130E0
6.741030000E-1,-1.520687714E0,-1.616488495E0,4.275409241E0
6.839793750E-1,-1.815873871E0,-2.647694092E0,4.309987335E0
6.938973750E-1,-2.429148560E0,-3.298390961E0,4.421056366E0
7.038153750E-1,-4.119732971E0,-3.361409912E0,5.863456879E0
7.137333750E-1,-3.547472992E0,-3.597618713E0,3.539090424E0
7.236513750E-1,-3.501219177E0,-4.487667847E0,3.179388428E0
7.335703750E-1,-3.591780853E0,-5.007686462E0,2.515518951E0
7.434573750E-1,-4.132755890E0,-5.738616486E0,2.223625946E0
7.533763750E-1,-5.565127258E0,-7.500452728E0,1.329684906E0
7.632943750E-1,-7.728578339E0,-7.689210205E0,4.336482239E-1
7.732123750E-1,-9.472601624E0,-5.657634888E0,-9.969268799E-2
7.831303750E-1,-1.155462204E1,-3.698808289E0,-3.083587646E-1
7.930483750E-1,-1.454465424E1,-2.828218689E0,1.580563202E0
8.029363750E-1,-1.732901413E1,-3.253334656E0,5.128185883E0
8.128543750E-1,-1.857801682E1,-5.579197998E0,8.574169922E0
8.227723750E-1,-1.877425873E1,-6.883435822E0,1.038600220E1
8.326913750E-1,-1.922227707E1,-4.845124512E0,9.316775665E0
8.426093750E-1,-2.078472794E1,-2.778821411E0,8.220305786E0
8.524973750E-1,-2.190739334E1,-3.240760803E-1,8.914861450E0
8.624153750E-1,-2.225422211E1,4.296066284E-1,1.055889267E1
8.723333750E-1,-2.209615082E1,-9.544152832E-1,1.037582336E1
8.822513750E-1,-2.117706207E1,-2.057920532E0,9.137897644E0
8.921693750E-1,-1.989767258E1,-3.706891479E0,6.900200958E0
9.020573750E-1,-1.928754135E1,-5.199737091E0,3.570225677E0
9.119753750E-1,-1.853311020E1,-5.456752625E0,1.814676361E0
9.218943750E-1,-1.763976791E1,-6.164929962E0,1.979034576E0
9.318123750E-1,-1.743559250E1,-5.866450653E0,3.505709839E-1
9.417303750E-1,-1.750938904E1,-4.395010529E0,-1.668131104E0
9.516483750E-1,-1.731449432E1,-3.360212402E0,-2.534080353E0
9.615363750E-1,-1.615350861E1,-3.814367981E0,-2.220632172E0
9.714543750E-1,-1.442400513E1,-4.514761505E0,-2.524200897E0
9.813723750E-1,-1.254690857E1,-5.306614838E0,-2.821183319E0
9.912913750E-1,-1.135014725E1,-6.076314240E0,-3.207978973E0
1.001209375E0,-1.033316208E1,-6.016289062E0,-3.161725159E0
1.011127375E0,-1.026999344E1,-6.462660828E0,-2.794688416E0
1.021015375E0,-1.039917480E1,-6.962172089E0,-1.956431580E0
1.030933375E0,-1.050051407E1,-7.181765442E0,-1.465901642E0
1.040851375E0,-1.029289581E1,-6.861730957E0,-2.003583527E0
1.050769375E0,-9.161698151E0,-5.220394135E0,-6.509064331E0
1.060688375E0,-8.255033569E0,-5.132826233E0,-7.439379730E0
1.070575375E0,-5.773793335E0,-3.752995605E0,-1.265977386E1
1.080493375E0,-4.543202362E0,-3.953728180E0,-1.254526199E1
1.090412375E0,-3.561992798E0,-4.007765808E0,-1.060484711E1
1.100330375E0,-3.532653809E0,-4.851261749E0,-6.266418915E0
1.110248375E0,-3.490591278E0,-4.672982483E0,-1.849254456E0
1.120136375E0,-3.398233337E0,-3.788771210E0,1.142124939E0
1.130054375E0,-3.696562958E0,-2.299667816E0,2.543061676E0
1.139972375E0,-4.036506042E0,-4.483177185E-1,2.080224152E0
1.149890375E0,-4.078568573E0,9.565109253E-1,-9.280700684E-3
1.159809375E0,-3.665128326E0,3.583547974E-1,-1.804048462E0
1.169696375E0,-2.691253510E0,-1.851649475E0,-2.154918823E0
1.179615375E0,-2.051633606E0,-1.728156281E0,-2.038460999E0
1.189533375E0,-3.778143311E0,1.311273193E-1,-1.699416046E0
1.199451375E0,-4.113745422E0,-2.110610962E-1,-1.108444977E0
1.209369375E0,-4.157604218E0,-1.936522980E0,-2.454895020E-1
1.219287375E0,-4.831353149E0,-2.893183594E0,4.909790039E-2
1.229175375E0,-5.789360962E0,-4.467759247E0,7.854167175E-1
1.239093375E0,-6.591243439E0,-6.264323273E0,2.157463531E0
1.249011375E0,-7.004833374E0,-6.310577087E0,2.479743347E0
1.258930375E0,-6.893614655E0,-8.484057312E0,1.638941803E0
1.268848375E0,-5.486540680E0,-8.104147339E0,-2.749781799E-1
1.278736375E0,-5.774541779E0,-1.109582611E1,-2.439626770E0
1.288654375E0,-5.872737579E0,-1.226235031E1,-3.326981506E0
1.298572375E0,-7.018005981E0,-1.227342728E1,-2.217339020E0
1.308490375E0,-7.722740479E0,-1.220951019E1,-1.009201355E0
1.318378375E0,-7.777825928E0,-1.278461426E1,1.036594391E0
1.328296375E0,-7.623945923E0,-1.340507401E1,1.554816742E0
1.338214375E0,-9.087751923E0,-1.104672821E1,1.587448883E0
1.348133375E0,-8.985364838E0,-8.429720306E0,-1.979184265E0
1.358051375E0,-5.726042633E0,-1.075363770E1,5.036426697E0
1.367938375E0,-6.237678680E0,-1.623074799E1,2.725532227E0
1.377857375E0,-5.897735596E0,-1.473790237E1,1.926643524E0
1.387775375E0,-6.574328613E0,-1.255559052E1,1.496887207E-2
1.397693375E0,-6.355184326E0,-1.085303101E1,-2.048490143E0
1.407611375E0,-7.131170654E0,-8.973689117E0,-1.417103119E0
1.417530375E0,-8.005652161E0,-7.841892700E0,-1.091230774E-1
1.427417375E0,-7.711214447E0,-7.439080353E0,1.333876190E0
1.437335375E0,-7.230114899E0,-7.343129883E0,1.868564301E0
1.447254375E0,-6.242319031E0,-7.690258026E0,1.601669312E0
1.457172375E0,-5.136269073E0,-7.934849396E0,6.048921204E-1
1.467090375E0,-3.319048004E0,-7.940986633E0,-2.417472839E-1
1.477008375E0,-1.477727051E0,-6.214626617E0,-1.161135406E0
1.486896375E0,-4.541555786E-1,-4.457580414E0,-1.460812225E0
1.496814375E0,2.847079468E-1,-4.444557495E0,-2.321073303E0
1.506732375E0,4.710704041E-1,-4.347858582E0,-4.117936707E0
1.516651375E0,-1.099164276E0,-4.399351501E0,-5.266198883E0
1.526569375E0,-3.114573212E0,-4.312082977E0,-5.583538971E0
1.536487375E0,-4.093986511E0,-4.735702057E0,-3.476969604E0
1.546375375E0,-4.873565369E0,-6.087091827E0,-1.317410431E0
1.556293375E0,-5.460494843E0,-7.239844666E0,8.003855896E-1
1.566211375E0,-4.970413971E0,-7.269782410E0,1.053658905E0
1.576129375E0,-4.422104187E0,-7.846533051E0,6.677613831E-1
1.586017375E0,-4.720733185E0,-9.659113770E0,1.884580994E-1
1.595935375E0,-3.609144745E0,-1.071576645E1,8.967851257E-1
1.605854375E0,-2.134261780E0,-1.066352509E1,1.104253693E0
1.615772375E0,-1.359922028E0,-1.009635452E1,2.318678284E0
1.625690375E0,-1.519041138E0,-9.943372650E0,1.621278534E0
1.635608375E0,-1.870510254E0,-1.050680099E1,1.154100037E0
1.645496375E0,-2.781066742E0,-1.127650040E1,3.525169373E-1
1.655414375E0,-3.511248322E0,-1.116034195E1,5.477110291E-1
1.665332375E0,-4.121379547E0,-1.060469742E1,9.336085510E-1
1.675251375E0,-4.293222198E0,-9.533075867E0,1.093027039E0
1.685129792E0,-4.763394470E0,-8.519832916E0,1.305884399E0
1.695016792E0,-4.679119720E0,-8.581055603E0,1.151106262E0
1.704935792E0,-4.748126221E0,-8.640332336E0,6.530918884E-1
1.714853792E0,-4.767286377E0,-8.416697388E0,7.361691284E-1
1.724771792E0,-4.379592590E0,-8.305179291E0,1.428479462E0
1.734689792E0,-3.874243469E0,-8.093220062E0,1.777703247E0
1.744607792E0,-3.618275757E0,-8.251441040E0,1.868713989E0
1.754495792E0,-3.431913300E0,-9.100176086E0,1.646426239E0
1.764413792E0,-3.334016876E0,-9.519753571E0,1.777553558E0
1.774332792E0,-3.520379333E0,-1.039603134E1,1.277593231E0
1.784250792E0,-3.407813416E0,-1.054377411E1,5.507048035E-1
1.794168792E0,-3.132984924E0,-1.027717850E1,9.430389404E-3
1.804056792E0,-2.810705109E0,-1.043255539E1,9.116043091E-2
1.813974792E0,-2.558629303E0,-9.892777863E0,-6.810836792E-2
1.823892792E0,-2.462529144E0,-9.466015320E0,-2.345622253E-1
1.833810792E0,-2.543361053E0,-9.442065125E0,8.083190918E-2
1.843729792E0,-3.269650726E0,-9.003626862E0,6.047424316E-2
1.853647792E0,-3.671415253E0,-7.686216431E0,2.568658447E-1
1.863534792E0,-3.335813141E0,-6.802454224E0,3.936813354E-2
1.873453792E0,-3.363505554E0,-8.376281433E0,4.038601685E-1
1.883371792E0,-3.697161713E0,-8.295449524E0,7.276368713E-1
1.893289792E0,-3.653602295E0,-8.440797272E0,1.493444366E0
1.903207792E0,-3.899989929E0,-7.165299683E0,3.571572876E-1
1.913126792E0,-3.272345123E0,-6.724316711E0,1.871109009E-1
1.923013792E0,-2.498604126E0,-5.442083130E0,7.185058594E-3
1.932931792E0,-1.822609863E0,-3.752247162E0,5.641767883E-1
1.942850792E0,-2.389780426E0,-4.040248260E0,3.466790771E-1
1.952768792E0,-1.860630798E0,-3.647914124E0,1.545835419E0
1.962686792E0,-1.887724457E0,-6.916816406E0,1.074765015E-1
1.972574792E0,-2.636317749E0,-8.405919800E0,-4.459226990E-1
1.982492792E0,-3.067870331E0,-1.102726868E1,-9.883946228E-1
1.992410792E0,-4.693340149E0,-1.421968002E1,-2.742297363E-1
2.002328792E0,-5.444927216E0,-1.606249786E1,-4.909790039E-1
2.012247792E0,-3.729344788E0,-1.571626785E1,-1.167572021E-2
2.022165792E0,-3.017874298E0,-1.723051895E1,7.920030212E-1
2.032053792E0,-2.881657562E0,-1.811323334E1,-1.106049957E0
2.041971792E0,-3.023712158E0,-1.356808502E1,-1.582060089E0
2.051889792E0,-2.088457031E0,-9.463320923E0,-8.472381592E-1
2.061807792E0,-2.340832214E0,-9.798024902E0,-7.253915405E-1
2.071725792E0,-2.274669800E0,-9.831405487E0,-5.176235962E-1
2.081644792E0,-2.697690125E0,-9.839638367E0,-3.983216858E-1
2.091562792E0,-2.959046631E0,-9.613009644E0,-2.073188782E-1
2.101450792E0,-3.203937378E0,-9.445957031E0,-3.472778320E-1
2.111368792E0,-3.162024536E0,-9.598489838E0,-6.412664795E-1
2.121286792E0,-3.318598938E0,-9.936486969E0,-6.066883850E-1
2.131204792E0,-3.680396576E0,-9.450447693E0,-6.454577637E-1
2.141092792E0,-2.977308655E0,-9.364077301E0,-1.231938171E-1
2.151010792E0,-3.324885864E0,-9.560169525E0,-3.951782227E-1
2.160928792E0,-3.479364624E0,-9.361083527E0,-7.009922791E-1
2.170846792E0,-3.704197083E0,-9.378597107E0,-7.445516968E-1
2.180765792E0,-4.019291840E0,-9.263336792E0,-8.966354370E-1
2.190652792E0,-4.076921997E0,-8.793164520E0,-9.017248535E-1
2.200571792E0,-4.369413757E0,-8.818461914E0,-8.231382751E-1
2.210489792E0,-4.650379486E0,-7.669301605E0,-5.420228577E-1
2.220377792E0,-4.606371002E0,-7.482190704E0,-2.380050659E-2
2.230295792E0,-4.390968933E0,-7.805218964E0,2.912942505E-1
2.240213792E0,-4.215982819E0,-8.768465881E0,3.032693481E-1
2.250131792E0,-3.940405884E0,-9.798923035E0,2.856060791E-1
2.260049792E0,-3.841461639E0,-1.063179108E1,2.061213684E-1
2.269937792E0,-3.334765320E0,-1.104418350E1,-1.092727661E-2
2.279855792E0,-2.583627319E0,-1.125599304E1,-7.634124756E-2
2.289773792E0,-1.863774261E0,-1.170236481E1,8.861572266E-2
2.299692792E0,-1.287772064E0,-1.174787018E1,4.239184570E-1
2.309579792E0,-9.123527527E-1,-1.124237137E1,7.491920471E-1
2.319498792E0,-4.507127380E-1,-1.014036301E1,8.267308044E-1
2.329416792E0,-1.511856079E-2,-9.605824585E0,3.348536682E-1
2.339334792E0,2.936892700E-1,-9.196276245E0,1.428030396E-1
2.349252792E0,5.306465149E-1,-9.530531158E0,-3.132984924E-1
2.359140792E0,7.090754700E-1,-9.708810425E0,-5.912704468E-1
2.369058792E0,8.553213501E-1,-9.615853729E0,-1.067280579E0
2.378976792E0,1.140178986E0,-9.545200653E0,-1.933529205E0
2.388895792E0,1.214274902E0,-9.011111298E0,-2.405946808E0
2.398782792E0,1.355880432E0,-8.541537781E0,-1.865570526E0
2.408700792E0,1.237177277E0,-8.439899139E0,-1.467847595E0
2.418619792E0,1.117426300E0,-8.780141602E0,-1.448388062E0
2.428537792E0,9.354048157E-1,-9.327852631E0,-1.032702484E0
2.438455792E0,8.833131409E-1,-1.008557693E1,-1.071172485E0
2.448343792E0,8.069718933E-1,-1.090512268E1,-1.314266968E0
2.458261792E0,8.509803772E-1,-1.201177139E1,-2.197580109E0
2.468179792E0,8.702902222E-1,-1.223929825E1,-3.395538940E0
2.478097792E0,8.581654358E-1,-1.283940033E1,-3.415148163E0
2.487985792E0,8.565188599E-1,-1.304028259E1,-3.309617615E0
