"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.568053722E0,3.108353853E0,8.262742996E0
2.467083000E-3,-2.575236082E0,3.127506971E0,8.406389236E0
4.933958000E-3,-2.577630281E0,3.132294893E0,8.564399719E0
7.400781000E-3,-2.489048481E0,3.161024094E0,9.143772125E0
9.867604000E-3,-2.489048481E0,3.161024094E0,9.143772125E0
1.233442700E-2,-2.489048481E0,3.161024094E0,9.143772125E0
1.480572900E-2,-2.402861118E0,3.175388813E0,9.285022736E0
1.728088500E-2,-2.340614557E0,3.156235933E0,9.428668976E0
1.975489600E-2,-2.235274076E0,3.172994614E0,9.605833054E0
2.223224000E-2,-2.139510155E0,3.156235933E0,9.759055138E0
2.471244800E-2,-2.026987553E0,3.141871452E0,9.881154060E0
2.719072900E-2,-1.912070751E0,3.137083292E0,1.000085926E1
2.966739600E-2,-1.789971709E0,3.125112772E0,1.007746983E1
3.214265600E-2,-1.823489070E0,3.110748291E0,1.011098862E1
3.461687500E-2,-1.833065510E0,3.017378092E0,1.011098862E1
3.709015600E-2,-1.773212910E0,3.012590170E0,1.011577606E1
3.956260400E-2,-1.730119228E0,3.019772530E0,1.012295818E1
4.203427100E-2,-1.687025428E0,3.005407810E0,1.008465195E1
4.450536500E-2,-1.663084507E0,3.014984131E0,1.010619926E1
4.697593700E-2,-1.619990587E0,3.019772530E0,1.007986450E1
4.944599000E-2,-1.584079266E0,3.003013611E0,1.004634762E1
5.191546900E-2,-1.557744145E0,3.000619650E0,9.988888741E0
5.438458300E-2,-1.564926386E0,2.995831490E0,9.914670944E0
5.685328100E-2,-1.588867307E0,2.991043091E0,9.869184494E0
5.932156200E-2,-1.631961107E0,2.971890450E0,9.811725616E0
6.178942700E-2,-1.687025428E0,2.947949409E0,9.747085571E0
6.425697900E-2,-1.751666069E0,2.943161249E0,9.677656174E0
6.672416700E-2,-1.818700790E0,2.983860970E0,9.569921494E0
6.919099000E-2,-1.888129711E0,2.971890450E0,9.474157333E0
7.165750000E-2,-1.945588112E0,3.003013611E0,9.375999451E0
7.412375000E-2,-1.962346673E0,3.048501730E0,9.308963776E0
7.658968700E-2,-2.024593353E0,3.153841972E0,9.275446892E0
7.905536500E-2,-2.043746233E0,3.225664854E0,9.229959488E0
8.152078100E-2,-2.031775713E0,3.295093775E0,9.174895287E0
8.398593700E-2,-2.010228872E0,3.383675575E0,9.150954247E0
8.645083300E-2,-1.974317193E0,3.472256899E0,9.148560524E0
8.891552100E-2,-1.943193913E0,3.570415258E0,9.170106888E0
9.137994800E-2,-1.957558632E0,3.582385778E0,9.174895287E0
