"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.525787354E0,9.111038208E0,-4.221954346E-1
4.821777000E-3,-1.525787354E0,9.111038208E0,-4.221954346E-1
9.674072000E-3,-1.525787354E0,9.111038208E0,-4.221954346E-1
1.455688500E-2,-1.525787354E0,9.111038208E0,-4.221954346E-1
1.947021500E-2,-1.525787354E0,9.111038208E0,-4.221954346E-1
2.441406200E-2,-1.511428833E0,9.785812378E0,-6.638641357E-1
2.935791000E-2,-1.497070312E0,9.955703735E0,-6.423339844E-1
3.430175800E-2,-1.504257202E0,1.009927368E1,-5.896911621E-1
3.924560500E-2,-1.525787354E0,1.023327637E1,-5.250854492E-1
4.415893500E-2,-1.554504395E0,1.032180786E1,-4.628753662E-1
4.907226500E-2,-1.576034546E0,1.042709351E1,-3.743438721E-1
5.401611300E-2,-1.616714478E0,1.046777344E1,-2.953796387E-1
5.892944300E-2,-1.693283081E0,1.049647522E1,-2.642669678E-1
6.384277300E-2,-1.757888794E0,1.046537781E1,-2.068481445E-1
6.878662100E-2,-1.779418945E0,1.038641357E1,-1.422424316E-1
7.369995100E-2,-1.798568726E0,1.027156067E1,-9.197998047E-2
7.861328100E-2,-1.820098877E0,1.013516235E1,-3.456115723E-2
8.355712900E-2,-1.812927246E0,9.993988037E0,-3.456115723E-2
8.847045900E-2,-1.796173096E0,9.850418091E0,-2.499389648E-2
9.338378900E-2,-1.765075684E0,9.699676514E0,-7.044982910E-2
9.832763600E-2,-1.738754272E0,9.572845459E0,-1.374511719E-1
1.032714840E-1,-1.683715820E0,9.453216553E0,-2.307739258E-1
1.081848140E-1,-1.664566040E0,9.374252319E0,-3.480224609E-1
1.131286620E-1,-1.638244629E0,9.304855347E0,-4.772338867E-1
1.180419920E-1,-1.609542847E0,9.285705566E0,-5.705566406E-1
1.229553220E-1,-1.609542847E0,9.285705566E0,-5.705566406E-1
1.278686520E-1,-1.609542847E0,9.285705566E0,-5.705566406E-1
1.328125000E-1,-1.609542847E0,9.285705566E0,-5.705566406E-1
1.377258300E-1,-1.609542847E0,9.285705566E0,-5.705566406E-1
1.426391600E-1,-1.389389038E0,9.264175415E0,-7.189025879E-1
1.475830080E-1,-1.387008667E0,9.242645264E0,-6.638641357E-1
1.524963380E-1,-1.408538818E0,9.211532593E0,-5.729370117E-1
1.574096680E-1,-1.449218750E0,9.192398071E0,-4.772338867E-1
1.623535150E-1,-1.485107422E0,9.163681030E0,-4.030456543E-1
1.672668450E-1,-1.528182983E0,9.156494141E0,-3.193054199E-1
1.721801760E-1,-1.583221436E0,9.115829468E0,-2.523040771E-1
1.771240230E-1,-1.616714478E0,9.125396729E0,-2.044525146E-1
1.820373530E-1,-1.643035889E0,9.142150879E0,-1.206970215E-1
1.869506830E-1,-1.638244629E0,9.142150879E0,-6.088256836E-2
1.918945310E-1,-1.621505737E0,9.173248291E0,-1.780700684E-2
1.968078610E-1,-1.599960327E0,9.225891113E0,-3.448486328E-3
2.017211910E-1,-1.583221436E0,9.280929565E0,-5.131530762E-2
2.066650390E-1,-1.599960327E0,9.328781128E0,-1.230926514E-1
