"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.767000002E-3,-1.826753095E-2,-2.077667788E-2,2.120782994E-2
1.381200000E-2,-6.939373445E-3,-2.324979380E-2,1.822650619E-2
2.385600000E-2,2.476233058E-3,-1.808113046E-2,1.221468672E-2
3.390100000E-2,5.220597610E-3,-6.494555622E-3,5.821404513E-3
4.394500000E-2,9.216336533E-3,-2.394302748E-3,2.260448411E-3
5.399000000E-2,1.308431290E-2,3.937096335E-3,-1.080753282E-3
6.403400000E-2,2.216447331E-2,4.019835033E-3,-5.409826525E-3
7.407900001E-2,2.818507887E-2,6.882213056E-4,-3.265448846E-3
8.412400000E-2,2.834464610E-2,1.099378802E-3,-3.369461745E-3
9.416800000E-2,2.717765048E-2,1.289238874E-2,6.449874490E-4
1.042130000E-1,2.685183287E-2,1.915915869E-2,4.619861022E-3
1.142570000E-1,2.370318025E-2,1.842785440E-2,9.459623136E-3
1.243020000E-1,1.907489635E-2,1.879049838E-2,1.030918770E-2
1.343460000E-1,2.110742219E-2,2.061582915E-2,1.034593955E-2
1.443910000E-1,2.104634419E-2,2.807733789E-2,1.135228854E-2
1.544360000E-1,2.410205454E-2,3.612221405E-2,1.090168115E-2
1.644800000E-1,1.924267597E-2,4.277531430E-2,8.242922835E-3
1.745250000E-1,2.258121409E-2,4.267225042E-2,8.943866938E-3
1.845690000E-1,3.266265243E-2,3.679822758E-2,1.067335997E-2
1.946140000E-1,3.670639545E-2,2.203392982E-2,1.807694882E-2
2.046590000E-1,3.857886791E-2,1.207622141E-2,2.328643762E-2
2.147030000E-1,3.783078492E-2,1.308343001E-2,1.900567301E-2
2.247480000E-1,4.320439696E-2,2.525703236E-2,1.626707613E-2
2.347920000E-1,4.696105421E-2,3.709744662E-2,7.871195674E-3
2.448370000E-1,4.716340452E-2,5.388291180E-2,5.934867077E-3
2.548810000E-1,5.290278792E-2,6.235363334E-2,1.008019317E-3
2.649260000E-1,5.948199704E-2,5.776690692E-2,-1.333693042E-3
2.749710000E-1,6.694656610E-2,4.930178449E-2,7.256066427E-3
2.850150000E-1,7.264477760E-2,4.382251203E-2,1.427711919E-2
2.950600000E-1,7.251001894E-2,4.176308960E-2,1.957095042E-2
3.051040000E-1,7.799269259E-2,4.268046841E-2,2.160215750E-2
3.151490000E-1,7.857166976E-2,5.095597729E-2,2.437078208E-2
3.251940000E-1,8.443754911E-2,7.108680904E-2,2.360139415E-2
3.352380000E-1,9.131844342E-2,7.830098271E-2,2.480245009E-2
3.452830000E-1,1.059048474E-1,7.541731000E-2,2.370389737E-2
3.553270000E-1,1.198640764E-1,7.194754481E-2,2.392617986E-2
3.653720000E-1,1.274053454E-1,6.380572915E-2,2.861947007E-2
3.754160000E-1,1.386995167E-1,6.171995401E-2,2.675932646E-2
3.854610000E-1,1.495817304E-1,5.684769899E-2,2.598514408E-2
3.955060000E-1,1.656811684E-1,5.259810016E-2,2.325616777E-2
4.055500000E-1,1.783817858E-1,5.614516512E-2,1.833837479E-2
4.155950000E-1,1.823106110E-1,6.703293324E-2,1.182855014E-2
4.256390000E-1,1.952857971E-1,7.180318236E-2,5.465459079E-3
4.356840000E-1,2.089065015E-1,6.875921041E-2,5.628251936E-3
4.457290000E-1,2.153188586E-1,7.106497139E-2,6.714821793E-3
4.557730000E-1,2.181729525E-1,7.931286097E-2,5.749678239E-3
4.658180000E-1,2.234587967E-1,9.402415901E-2,3.547776490E-3
4.758620000E-1,2.311261892E-1,9.303388000E-2,1.924858894E-3
4.859070000E-1,2.383689135E-1,7.793562114E-2,1.271319576E-3
4.959510000E-1,2.456332296E-1,6.467539817E-2,4.548300058E-5
5.059960000E-1,2.516869009E-1,6.595052034E-2,-5.347151309E-3
5.160410000E-1,2.488758564E-1,7.412894070E-2,-5.398418754E-3
5.260850000E-1,2.408322990E-1,9.390982985E-2,-8.924176916E-3
5.361300000E-1,2.276515365E-1,1.206161976E-1,-1.353675593E-2
5.461735000E-1,2.186630964E-1,1.280285716E-1,-1.139184739E-2
5.562185000E-1,2.124948204E-1,1.094377413E-1,-5.718958564E-3
5.662625000E-1,2.125765830E-1,7.383313775E-2,-3.521563485E-4
5.763075000E-1,2.268116623E-1,6.944435090E-2,-5.559911020E-3
5.863525000E-1,2.505314350E-1,8.560165018E-2,-7.820192724E-3
5.963965000E-1,2.659284770E-1,9.267820418E-2,-1.312520914E-2
6.064415000E-1,2.718244791E-1,7.508852333E-2,-1.406092662E-2
6.164855000E-1,2.883675098E-1,6.036549807E-2,-2.075105160E-2
6.265305000E-1,2.985083163E-1,5.254533514E-2,-2.679820545E-2
6.365755000E-1,3.035046756E-1,4.447196051E-2,-3.748892993E-2
6.466195000E-1,3.012102246E-1,4.537758231E-2,-4.837644845E-2
6.566645000E-1,3.063064516E-1,5.195239186E-2,-6.140037626E-2
6.667085000E-1,3.084446192E-1,7.305388898E-2,-6.435869634E-2
6.767535000E-1,3.111647666E-1,8.869063854E-2,-5.701715499E-2
6.867975000E-1,3.241389990E-1,7.483566552E-2,-5.682808161E-2
6.968425000E-1,3.383783698E-1,4.934255779E-2,-4.679595679E-2
7.068875000E-1,3.410181999E-1,2.719398215E-2,-3.152373061E-2
7.169315000E-1,3.295647502E-1,1.156442333E-2,-1.826438680E-2
7.269765000E-1,3.077876270E-1,-9.592923336E-3,-8.785602637E-3
7.370205000E-1,2.799008787E-1,-2.993707731E-2,2.773049287E-3
7.470655000E-1,2.522597015E-1,-5.516810343E-2,5.580580328E-3
7.571105000E-1,2.259239703E-1,-6.014714763E-2,-4.467526451E-3
7.671545000E-1,1.961351037E-1,-3.671713918E-2,-1.428904012E-2
7.771995000E-1,1.556276381E-1,-1.026981883E-2,-1.385254972E-2
7.872435000E-1,1.114937514E-1,-1.096006949E-2,-7.440889254E-3
7.972885000E-1,7.021315396E-2,-3.828303516E-2,2.391500864E-3
8.073325000E-1,4.802159220E-2,-5.954892561E-2,1.469469629E-2
8.173775000E-1,3.085592203E-2,-7.038506120E-2,1.936374977E-2
8.274225000E-1,2.400804684E-2,-8.393181860E-2,2.355018631E-2
8.374665000E-1,1.706651971E-2,-8.786158264E-2,2.152698487E-2
8.475115000E-1,-2.131813206E-3,-9.740904719E-2,2.138796449E-2
8.575555000E-1,-1.650489308E-2,-8.346899599E-2,2.208251879E-2
8.676005000E-1,-2.576099895E-2,-5.632125214E-2,1.736986265E-2
8.776445000E-1,-2.783533558E-2,-3.371420875E-2,1.385076065E-2
8.876895000E-1,-3.192881495E-2,-2.367680892E-2,1.068111043E-2
8.977345000E-1,-2.933436260E-2,-1.858324558E-2,1.342443191E-2
9.077785000E-1,-3.044367768E-2,-1.084661856E-2,2.191114053E-2
9.178235000E-1,-3.496173024E-2,2.152270637E-3,2.873708867E-2
9.278675000E-1,-3.537869453E-2,3.181815892E-2,2.901544981E-2
9.379125000E-1,-3.343538567E-2,6.936527044E-2,2.819466405E-2
9.479575000E-1,-1.621910930E-2,9.441323578E-2,2.943134867E-2
9.580015000E-1,-2.626334317E-3,1.115797088E-1,3.237307817E-2
9.680465000E-1,1.199288387E-2,1.169012561E-1,3.400688246E-2
9.780905000E-1,1.885185391E-2,1.272220761E-1,3.085875884E-2
9.881355000E-1,2.625060081E-2,1.316315532E-1,2.824678645E-2
9.981795000E-1,3.624384850E-2,1.362809092E-1,2.533222362E-2
1.008224500E0,3.900698945E-2,1.468607038E-1,2.052334137E-2
1.018269500E0,4.080835357E-2,1.562683135E-1,1.630010083E-2
1.028313500E0,4.691340402E-2,1.563287377E-1,2.309082076E-2
1.038358500E0,5.420380831E-2,1.430193484E-1,2.419949509E-2
1.048402500E0,6.464976817E-2,1.185135916E-1,2.972463891E-2
1.058447500E0,6.859231740E-2,1.191293076E-1,3.326904029E-2
1.068492500E0,6.590385735E-2,1.302104592E-1,2.875471488E-2
1.078536500E0,6.803997606E-2,1.372286230E-1,2.769301087E-2
1.088581500E0,5.748719722E-2,1.520286202E-1,2.103697322E-2
1.098625500E0,5.709821731E-2,1.640937179E-1,2.022619918E-2
1.108670500E0,5.963221937E-2,1.749804616E-1,1.818462089E-2
1.118715500E0,6.027237698E-2,1.717666090E-1,1.897340640E-2
1.128759500E0,5.635965988E-2,1.622625887E-1,2.132364735E-2
1.138804500E0,5.331923440E-2,1.419941783E-1,2.065810934E-2
1.148848500E0,4.911516979E-2,1.364433616E-1,2.491969988E-2
1.158893500E0,3.675407171E-2,1.315717250E-1,3.367969021E-2
1.168937500E0,2.318792604E-2,1.278116107E-1,3.341017663E-2
