"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.307610940E-1,-3.140837252E-1,-4.131125510E-1,-3.295767903E-1
1.331791670E-1,-3.299662173E-1,-4.412123263E-1,-2.929249108E-1
1.355973440E-1,-3.397400677E-1,-4.656468928E-1,-2.574947476E-1
1.380155730E-1,-3.678398430E-1,-4.864163101E-1,-2.098473012E-1
1.404245840E-1,-5.291081071E-1,-6.000371575E-1,-9.256126732E-2
1.427982300E-1,-7.380238175E-1,-7.380926013E-1,5.160279572E-2
1.451710940E-1,-7.942233682E-1,-7.588619590E-1,1.322369426E-1
1.475432300E-1,-7.062588930E-1,-7.393143177E-1,1.004719809E-1
1.499160940E-1,-6.488375664E-1,-7.393143177E-1,5.526798218E-2
1.522897920E-1,-6.195160747E-1,-7.503098845E-1,4.305069149E-2
1.546626570E-1,-5.327733159E-1,-7.014406919E-1,3.205512464E-2
1.570347920E-1,-4.448088109E-1,-6.916668415E-1,4.060722888E-2
1.594076570E-1,-5.694251657E-1,-8.321657181E-1,1.517846137E-1
1.617813020E-1,-5.816424489E-1,-8.028442264E-1,2.324187458E-1
1.641542190E-1,-5.339950323E-1,-8.138397932E-1,2.849531174E-1
1.665263020E-1,-5.498775244E-1,-8.639307022E-1,3.435961306E-1
1.688992190E-1,-4.667999446E-1,-8.297222853E-1,3.582568765E-1
1.712728650E-1,-2.713232338E-1,-7.405360341E-1,3.081659675E-1
1.736457300E-1,-2.554407418E-1,-7.869617343E-1,3.057225049E-1
1.760178650E-1,-2.395582199E-1,-7.576402426E-1,3.154963553E-1
1.783907820E-1,-2.114584446E-1,-7.124362588E-1,3.289353848E-1
1.807644270E-1,-1.528154314E-1,-7.014406919E-1,3.362657428E-1
1.831372920E-1,-1.418198794E-1,-7.466446757E-1,3.607003391E-1
1.855094270E-1,-2.334495783E-1,-7.955138683E-1,4.156781733E-1
1.878822920E-1,-3.947179019E-1,-9.262388945E-1,4.865384698E-1
1.902559380E-1,-5.107821822E-1,-9.665559530E-1,5.488467216E-1
1.926288550E-1,-5.791990161E-1,-1.030085802E0,6.050462723E-1
1.950009900E-1,-6.085205078E-1,-1.074068069E0,6.539154649E-1
1.973738550E-1,-5.816424489E-1,-1.038637996E0,6.734631062E-1
1.997475000E-1,-6.353985667E-1,-1.118050337E0,6.807934642E-1
2.021204170E-1,-6.146291494E-1,-1.056963921E0,6.624675393E-1
2.044925000E-1,-6.158509254E-1,-1.099724412E0,6.478068233E-1
2.068654170E-1,-6.989284754E-1,-1.165697813E0,6.453633308E-1
2.092390630E-1,-7.636801600E-1,-1.199906230E0,6.478068233E-1
2.116119270E-1,-8.003320694E-1,-1.209680080E0,6.539154649E-1
2.139840630E-1,-8.101058602E-1,-1.218232155E0,6.551371813E-1
2.163569270E-1,-7.954451442E-1,-1.208458304E0,6.588023305E-1
2.187306250E-1,-7.612367272E-1,-1.181580305E0,6.465850472E-1
2.211034900E-1,-7.025936842E-1,-1.130267620E0,6.050462723E-1
2.234756250E-1,-6.244029999E-1,-1.086285353E0,5.512901545E-1
2.258484900E-1,-5.217777491E-1,-1.037416220E0,5.011992455E-1
2.282221880E-1,-4.142655432E-1,-9.909905791E-1,4.486648738E-1
2.305950520E-1,-2.945360839E-1,-9.506735206E-1,4.083477855E-1
2.329671880E-1,-2.200105488E-1,-9.408996701E-1,3.814697564E-1
2.353400520E-1,-2.053498030E-1,-9.518952370E-1,3.435961306E-1
2.377136980E-1,-2.187888324E-1,-9.518952370E-1,3.032790720E-1
2.400866150E-1,-2.615493834E-1,-9.445648193E-1,2.739575505E-1
2.424586460E-1,-3.201923668E-1,-9.665559530E-1,2.641837299E-1
2.448316150E-1,-3.556225598E-1,-9.934340119E-1,2.715140879E-1
2.472052610E-1,-3.458487093E-1,-9.836601615E-1,2.678489089E-1
2.495781250E-1,-3.556225598E-1,-9.689994454E-1,2.385274023E-1
2.519502090E-1,-4.057134688E-1,-9.922122955E-1,1.957668662E-1
2.543231250E-1,-4.277046025E-1,-1.003207803E0,1.676670909E-1
2.566968230E-1,-3.947179019E-1,-9.836601615E-1,1.444542408E-1
2.590696880E-1,-3.544007838E-1,-9.970992208E-1,1.114675477E-1
2.614417710E-1,-3.324097097E-1,-1.012981653E0,6.626355648E-2
2.638146880E-1,-3.348531425E-1,-1.021533728E0,1.250745356E-2
2.661883340E-1,-3.702832758E-1,-1.031307578E0,-3.880518302E-2
2.685612500E-1,-4.228176773E-1,-1.074068069E0,-7.057014108E-2
2.709333340E-1,-4.900127947E-1,-1.122937322E0,-8.278743178E-2
2.733062500E-1,-5.657600164E-1,-1.164476037E0,-1.084437519E-1
2.756798960E-1,-6.378419995E-1,-1.162032604E0,-1.438739151E-1
2.780528130E-1,-6.915981174E-1,-1.152258754E0,-1.805257946E-1
2.804248440E-1,-7.441325188E-1,-1.164476037E0,-2.208428681E-1
2.827978130E-1,-7.991102934E-1,-1.193797588E0,-2.684903145E-1
2.851714590E-1,-8.504229784E-1,-1.253662348E0,-3.161377609E-1
2.875443750E-1,-8.944051862E-1,-1.298866272E0,-3.564548492E-1
2.899164070E-1,-9.347223043E-1,-1.292757630E0,-3.955501914E-1
2.922893750E-1,-9.591568708E-1,-1.287870765E0,-4.285368621E-1
2.946630210E-1,-9.762611389E-1,-1.282983899E0,-4.468628168E-1
2.970358860E-1,-9.933652878E-1,-1.289092541E0,-4.554149210E-1
2.994079690E-1,-1.009247780E0,-1.303753257E0,-4.493062794E-1
3.017808860E-1,-1.021465063E0,-1.325744390E0,-4.395324290E-1
3.041545840E-1,-1.019021630E0,-1.348957181E0,-4.419758916E-1
3.065274480E-1,-1.004360914E0,-1.381943941E0,-4.529714584E-1
3.088995320E-1,-9.762611389E-1,-1.369726658E0,-4.688539505E-1
3.112724480E-1,-9.420526624E-1,-1.318413973E0,-4.590801001E-1
3.136460940E-1,-9.188398123E-1,-1.259770989E0,-4.187630415E-1
3.160190110E-1,-8.736358285E-1,-1.173028231E0,-3.662286699E-1
3.183910420E-1,-7.771191597E-1,-1.055742145E0,-3.222464025E-1
3.207640110E-1,-6.488375664E-1,-9.433431029E-1,-2.819293439E-1
3.231376570E-1,-4.985649288E-1,-8.504917026E-1,-2.440557331E-1
3.255105730E-1,-3.385183513E-1,-8.052877188E-1,-1.964082867E-1
3.278826050E-1,-2.053498030E-1,-7.955138683E-1,-1.524260193E-1
3.302555730E-1,-9.905935079E-2,-7.881834507E-1,-1.145524010E-1
