"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,9.017956257E-2,-7.457466602E0,-3.088901758E0
2.500000000E-3,-7.197491825E-2,-7.703059196E0,-3.247687578E0
5.000000000E-3,-2.673579454E-1,-7.976212502E0,-3.476849318E0
7.500000000E-3,-3.967015147E-1,-8.209851265E0,-3.685640097E0
1.000000000E-2,-5.917242169E-1,-8.456525803E0,-3.951113462E0
1.250000000E-2,-7.810499072E-1,-8.716097832E0,-4.239642143E0
1.500000000E-2,-1.009489417E0,-8.986705780E0,-4.509775162E0
1.750000000E-2,-1.280185103E0,-9.238668442E0,-4.847191811E0
2.000000000E-2,-1.679978728E0,-9.773721695E0,-5.602032185E0
2.250000000E-2,-1.786109686E0,-9.975725174E0,-5.867453575E0
2.500000000E-2,-1.865236521E0,-1.014615440E1,-6.113132477E0
2.750000000E-2,-1.931788087E0,-1.030571461E1,-6.363527298E0
3.000000000E-2,-1.975031495E0,-1.045070648E1,-6.653370380E0
3.250000000E-2,-1.996126533E0,-1.058324146E1,-6.965160370E0
3.500000000E-2,-2.021663904E0,-1.070840645E1,-7.270996571E0
3.750000000E-2,-2.110399961E0,-1.084374905E1,-7.603591442E0
4.000000000E-2,-2.119709253E0,-1.095644188E1,-7.935838223E0
4.250000000E-2,-2.141862392E0,-1.106585217E1,-8.223001480E0
4.500000000E-2,-2.137756109E0,-1.119818687E1,-8.473840714E0
4.750000000E-2,-2.157606840E0,-1.130764580E1,-8.611269951E0
5.000000000E-2,-2.217092514E0,-1.148643684E1,-8.705099106E0
5.250000000E-2,-2.236475468E0,-1.150664330E1,-8.715476036E0
5.500000000E-2,-2.320565462E0,-1.164330387E1,-8.694695473E0
5.750000000E-2,-2.378845930E0,-1.170105362E1,-8.574626923E0
6.000000000E-2,-2.390802145E0,-1.173319626E1,-8.433856010E0
6.250000000E-2,-2.452960014E0,-1.179413128E1,-8.246696472E0
6.500000000E-2,-2.571007729E0,-1.185163403E1,-8.024078369E0
6.750000000E-2,-2.527180433E0,-1.180836773E1,-7.683901787E0
7.000000000E-2,-2.500470877E0,-1.181229687E1,-7.396308899E0
7.250000000E-2,-2.434043407E0,-1.179094315E1,-7.082386494E0
7.500000000E-2,-2.321254492E0,-1.176019001E1,-6.748694897E0
7.750000000E-2,-2.196887255E0,-1.176084423E1,-6.347402573E0
8.000000000E-2,-2.093095779E0,-1.171563721E1,-5.901001453E0
8.250000000E-2,-1.929237843E0,-1.168103313E1,-5.489660740E0
8.500000000E-2,-1.648926020E0,-1.159400940E1,-5.061215401E0
8.750000000E-2,-1.392993093E0,-1.154015541E1,-4.755157948E0
9.000000000E-2,-1.092811584E0,-1.149140453E1,-4.584437847E0
9.250000000E-2,-7.371410131E-1,-1.138608074E1,-4.431980610E0
9.500000000E-2,-3.688888550E-1,-1.129650497E1,-4.346089363E0
9.750000000E-2,4.419698380E-3,-1.119394302E1,-4.303957462E0
1.000000000E-1,3.372665942E-1,-1.111728668E1,-4.242405891E0
1.025000000E-1,6.404988170E-1,-1.103798199E1,-4.172289848E0
1.050000000E-1,9.774084091E-1,-1.092249584E1,-4.064033985E0
1.075000000E-1,1.301054597E0,-1.085376644E1,-3.988687754E0
1.100000000E-1,1.643908501E0,-1.085941029E1,-3.956732750E0
1.125000000E-1,2.054012775E0,-1.094305325E1,-3.950572968E0
1.150000000E-1,2.540164232E0,-1.118106651E1,-3.946715355E0
1.175000000E-1,3.157375336E0,-1.152491188E1,-3.911331177E0
1.200000000E-1,3.738383293E0,-1.202802944E1,-3.859247923E0
1.225000000E-1,4.250571728E0,-1.264792824E1,-3.755607605E0
1.250000000E-1,4.720137596E0,-1.337309647E1,-3.670759201E0
1.275000000E-1,5.047239304E0,-1.412196159E1,-3.737134933E0
1.300000000E-1,5.279006004E0,-1.483262539E1,-3.957155228E0
1.325000000E-1,5.457277298E0,-1.551175880E1,-4.247947693E0
1.350000000E-1,5.566753864E0,-1.605084610E1,-4.646232128E0
1.375000000E-1,5.410224438E0,-1.649391365E1,-5.058476925E0
1.400000000E-1,5.047775269E0,-1.675597954E1,-5.436748981E0
1.425000000E-1,4.470456600E0,-1.685288620E1,-5.770650387E0
1.450000000E-1,3.780783653E0,-1.677950859E1,-6.035408974E0
1.475000000E-1,3.061046362E0,-1.659097290E1,-6.219321251E0
1.500000000E-1,2.438590527E0,-1.632283783E1,-6.252916336E0
1.525000000E-1,1.920355201E0,-1.595779705E1,-6.099484921E0
1.550000000E-1,1.564651251E0,-1.559218788E1,-5.812659740E0
1.575000000E-1,1.458771706E0,-1.524474239E1,-5.442278385E0
1.600000000E-1,1.423122406E0,-1.486029816E1,-4.906524658E0
1.625000000E-1,1.624448538E0,-1.439006329E1,-4.268246174E0
1.650000000E-1,1.826253057E0,-1.388484573E1,-3.700661182E0
1.675000000E-1,1.963359714E0,-1.331250191E1,-3.131513119E0
1.700000000E-1,1.991495728E0,-1.259370518E1,-2.536507130E0
1.725000000E-1,1.975339174E0,-1.181154537E1,-1.939458251E0
1.750000000E-1,1.857313395E0,-1.096731091E1,-1.361311674E0
1.775000000E-1,1.650162578E0,-1.004132271E1,-8.072718382E-1
1.800000000E-1,1.463040113E0,-9.165380478E0,-3.042134345E-1
1.825000000E-1,1.266404033E0,-8.305370331E0,1.838360578E-1
1.850000000E-1,1.298128843E0,-7.447565079E0,6.904600859E-1
1.875000000E-1,1.470770359E0,-6.699119568E0,1.184322238E0
1.900000000E-1,1.710552812E0,-6.084644794E0,1.656622887E0
1.925000000E-1,2.034386396E0,-5.563002586E0,2.132248878E0
1.950000000E-1,2.324271202E0,-5.170693398E0,2.592546463E0
1.975000000E-1,2.624051571E0,-4.820659161E0,3.036461353E0
2.000000000E-1,2.955074310E0,-4.624908447E0,3.500505209E0
2.025000000E-1,3.209415197E0,-4.494711399E0,3.915283203E0
2.050000000E-1,3.435590744E0,-4.414240360E0,4.266670227E0
2.075000000E-1,3.702383280E0,-4.420485973E0,4.519455910E0
2.100000000E-1,4.059333801E0,-4.491143703E0,4.681559086E0
2.125000000E-1,4.405795097E0,-4.630131245E0,4.893101215E0
2.150000000E-1,4.665448666E0,-4.804914951E0,5.065328598E0
2.175000000E-1,4.765126228E0,-4.950477600E0,5.179145813E0
2.200000000E-1,4.839859009E0,-5.132516861E0,5.273172379E0
2.225000000E-1,4.810657024E0,-5.313070774E0,5.377575874E0
2.250000000E-1,4.730674267E0,-5.502310753E0,5.495632648E0
2.275000000E-1,4.686643600E0,-5.707900524E0,5.627226830E0
2.300000000E-1,4.552652836E0,-5.886239052E0,5.733741283E0
2.325000000E-1,4.306118011E0,-6.063135624E0,5.880281925E0
2.350000000E-1,4.076832771E0,-6.219280720E0,5.871795177E0
2.375000000E-1,3.898561001E0,-6.445125103E0,5.763445377E0
2.400000000E-1,3.808574677E0,-6.724188805E0,5.642547607E0
2.425000000E-1,3.681640625E0,-7.067805290E0,5.339945316E0
2.450000000E-1,3.670669317E0,-7.433311939E0,4.978178501E0
2.475000000E-1,3.550122738E0,-7.790176868E0,4.563391209E0
2.500000000E-1,3.442342281E0,-8.239644051E0,4.175192356E0
2.525000000E-1,3.295400620E0,-8.653199196E0,3.779726744E0
2.550000000E-1,3.048916578E0,-9.075808525E0,3.387058735E0
2.575000000E-1,2.771263123E0,-9.489850998E0,3.012270689E0
2.600000000E-1,2.421546698E0,-9.911281586E0,2.636982918E0
2.625000000E-1,2.043215513E0,-1.032251358E1,2.360756636E0
2.650000000E-1,1.656024694E0,-1.072550869E1,2.119055033E0
2.675000000E-1,1.266224504E0,-1.116161156E1,1.892597795E0
2.700000000E-1,9.065504670E-1,-1.156936073E1,1.635491729E0
2.725000000E-1,5.535525680E-1,-1.198232174E1,1.421058416E0
2.750000000E-1,2.093509287E-1,-1.239136887E1,1.157340765E0
2.775000000E-1,-1.267891526E-1,-1.275827980E1,8.906099200E-1
2.800000000E-1,-5.528170466E-1,-1.307702351E1,6.629515886E-1
2.825000000E-1,-9.595616460E-1,-1.337065220E1,5.099850297E-1
2.850000000E-1,-1.332443476E0,-1.358118820E1,3.993176818E-1
2.875000000E-1,-1.662215471E0,-1.370616817E1,3.076172769E-1
2.900000000E-1,-1.945514560E0,-1.376371288E1,2.204101682E-1
2.925000000E-1,-2.136251926E0,-1.375043201E1,1.509863436E-1
2.950000000E-1,-2.271735430E0,-1.365670872E1,1.412013024E-1
2.975000000E-1,-2.226491690E0,-1.353430653E1,1.349451840E-1
3.000000000E-1,-2.092753887E0,-1.331912518E1,1.506971568E-1
3.025000000E-1,-1.917940378E0,-1.307299519E1,2.200839221E-1
3.050000000E-1,-1.692560673E0,-1.280091095E1,3.307173550E-1
3.075000000E-1,-1.343253851E0,-1.249145317E1,3.546197712E-1
3.100000000E-1,-9.702959657E-1,-1.212525940E1,4.041276574E-1
3.125000000E-1,-5.906186700E-1,-1.178858089E1,4.513527155E-1
3.150000000E-1,-2.290272713E-1,-1.138241291E1,4.661399424E-1
3.175000000E-1,1.781549603E-1,-1.100778008E1,5.099821091E-1
3.200000000E-1,4.988375902E-1,-1.065021229E1,5.499761105E-1
3.225000000E-1,8.791684508E-1,-1.036970520E1,5.589469075E-1
3.250000000E-1,1.312972426E0,-1.009017658E1,5.254645348E-1
3.275000000E-1,1.674443126E0,-9.837379456E0,4.936672151E-1
3.300000000E-1,1.985719800E0,-9.619411469E0,4.578796625E-1
3.325000000E-1,2.275270700E0,-9.418987274E0,4.034592807E-1
3.350000000E-1,2.517162323E0,-9.266421318E0,3.727546036E-1
3.375000000E-1,2.767319918E0,-9.121377945E0,3.030191064E-1
3.400000000E-1,3.014667034E0,-9.002907753E0,2.325986773E-1
3.425000000E-1,3.234468699E0,-8.906893730E0,1.466558874E-1
3.450000000E-1,3.490088701E0,-8.783721924E0,1.286126580E-2
3.475000000E-1,3.823759317E0,-8.721222878E0,-1.746857315E-1
3.500000000E-1,4.067795277E0,-8.697216034E0,-3.308597803E-1
3.525000000E-1,4.281678677E0,-8.682206154E0,-4.594436586E-1
3.550000000E-1,4.375394344E0,-8.666108131E0,-5.240486264E-1
3.575000000E-1,4.447328091E0,-8.654109001E0,-5.107066035E-1
3.600000000E-1,4.690964222E0,-8.693715096E0,-6.043553948E-1
3.625000000E-1,4.853315830E0,-8.653390884E0,-7.300905585E-1
3.650000000E-1,4.814838409E0,-8.651848793E0,-7.431654930E-1
3.675000000E-1,4.725865841E0,-8.681180000E0,-6.043186784E-1
3.700000000E-1,4.562981129E0,-8.724252701E0,-5.190813541E-1
3.725000000E-1,4.389198780E0,-8.815361023E0,-3.290499449E-1
3.750000000E-1,4.133543491E0,-8.902463913E0,-9.945978969E-2
3.775000000E-1,3.825191259E0,-9.003145218E0,2.185028344E-1
3.800000000E-1,3.600318909E0,-9.089987755E0,3.861468434E-1
3.825000000E-1,3.443017483E0,-9.158715248E0,5.463386774E-1
3.850000000E-1,3.171653271E0,-9.259461403E0,7.886945605E-1
3.875000000E-1,2.943563461E0,-9.366198540E0,9.124731421E-1
3.900000000E-1,2.761033058E0,-9.461982727E0,9.747923613E-1
3.925000000E-1,2.497626543E0,-9.494275093E0,1.085890412E0
3.950000000E-1,2.172497749E0,-9.567801476E0,1.260138869E0
3.975000000E-1,1.839522719E0,-9.640536308E0,1.366893053E0
4.000000000E-1,1.587303758E0,-9.651565552E0,1.453163981E0
4.025000000E-1,1.402750731E0,-9.668159485E0,1.504644036E0
4.050000000E-1,1.188576937E0,-9.670007706E0,1.593888760E0
4.075000000E-1,9.652019739E-1,-9.655959129E0,1.694517970E0
4.100000000E-1,7.779150605E-1,-9.595876694E0,1.759888649E0
4.125000000E-1,6.425939798E-1,-9.573602676E0,1.867641568E0
4.150000000E-1,4.097653329E-1,-9.505534172E0,2.021801472E0
4.175000000E-1,2.879506052E-1,-9.457116127E0,2.145252943E0
4.200000000E-1,1.837029606E-1,-9.363785744E0,2.236120939E0
4.225000000E-1,1.099833772E-1,-9.291637421E0,2.342787981E0
4.250000000E-1,4.670999199E-2,-9.214834213E0,2.371603251E0
4.275000000E-1,3.028441966E-2,-9.186079025E0,2.356495380E0
4.300000000E-1,-1.304326695E-3,-9.119997025E0,2.289370060E0
4.325000000E-1,-3.712998331E-2,-9.075297356E0,2.204336405E0
4.350000000E-1,-1.069824770E-1,-9.067831039E0,2.086877823E0
4.375000000E-1,-1.366438568E-1,-9.058511734E0,1.955143452E0
4.400000000E-1,-1.637708396E-1,-9.086026192E0,1.761385322E0
4.425000000E-1,-2.166696489E-1,-9.067744255E0,1.567432523E0
4.450000000E-1,-2.720304728E-1,-9.111148834E0,1.351711392E0
4.475000000E-1,-3.556145132E-1,-9.130044937E0,1.130039215E0
4.500000000E-1,-4.169326127E-1,-9.186377525E0,8.959773779E-1
4.525000000E-1,-5.058237314E-1,-9.271322250E0,6.688311696E-1
4.550000000E-1,-6.031590104E-1,-9.342575073E0,5.063127279E-1
4.575000000E-1,-6.870076656E-1,-9.462104797E0,3.377251327E-1
4.600000000E-1,-8.261855245E-1,-9.520685196E0,2.015920877E-1
4.625000000E-1,-9.454373121E-1,-9.604323387E0,7.513760775E-2
4.650000000E-1,-1.076229215E0,-9.700588226E0,-1.646272466E-2
