"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.835812500E-2,1.336561680E0,-1.274644136E0,-7.026553154E-2
5.000000000E-2,1.310588002E0,-1.247060418E0,-5.666028336E-2
1.325000000E-1,-5.880637094E-3,1.467265189E-1,6.281558275E-1
1.350000000E-1,-4.625378549E-2,1.765508056E-1,6.503652930E-1
1.375000000E-1,-7.506220043E-2,1.764907837E-1,6.659024954E-1
1.400000000E-1,-9.300586581E-2,1.370192468E-1,6.668773293E-1
1.425000000E-1,-8.804039657E-2,4.576908797E-2,6.559552550E-1
1.450000000E-1,-6.722890586E-2,-8.822339773E-2,6.321046352E-1
1.475000000E-1,-4.287853092E-2,-2.453491688E-1,5.926439166E-1
1.500000000E-1,-1.360676903E-2,-4.072440267E-1,5.383273959E-1
1.525000000E-1,2.058221400E-2,-5.636601448E-1,4.711948633E-1
1.550000000E-1,5.533579737E-2,-6.996484995E-1,3.936923444E-1
1.575000000E-1,9.637022018E-2,-8.093827963E-1,3.102377057E-1
1.600000000E-1,1.459598243E-1,-8.875755668E-1,2.237184197E-1
1.625000000E-1,2.072362155E-1,-9.283267856E-1,1.344597042E-1
1.650000000E-1,2.808387280E-1,-9.242608547E-1,4.238484055E-2
1.675000000E-1,3.626616001E-1,-8.824327588E-1,-5.075754970E-2
1.700000000E-1,4.484727979E-1,-8.080449700E-1,-1.426303834E-1
1.725000000E-1,5.383909941E-1,-7.020235062E-1,-2.375444025E-1
1.750000000E-1,6.279323101E-1,-5.713666677E-1,-3.295451403E-1
1.775000000E-1,7.140747905E-1,-4.294330180E-1,-4.173536301E-1
1.800000000E-1,7.939981222E-1,-2.846461535E-1,-4.990481138E-1
1.825000000E-1,8.734876513E-1,-1.494588852E-1,-5.743518472E-1
1.850000000E-1,9.426520467E-1,-2.317274921E-2,-6.398452520E-1
1.875000000E-1,1.010426164E0,8.351724595E-2,-7.007170320E-1
1.900000000E-1,1.072017074E0,1.759608090E-1,-7.576046586E-1
1.925000000E-1,1.128555894E0,2.576037645E-1,-8.157013655E-1
1.950000000E-1,1.182399511E0,3.267177343E-1,-8.692812324E-1
1.975000000E-1,1.227909684E0,3.885386586E-1,-9.237010479E-1
2.000000000E-1,1.264933944E0,4.391278625E-1,-9.764620662E-1
2.025000000E-1,1.298015833E0,4.704809785E-1,-1.025830865E0
2.050000000E-1,1.328092575E0,4.756801426E-1,-1.070713520E0
2.075000000E-1,1.348651052E0,4.646820426E-1,-1.112147450E0
2.100000000E-1,1.359238625E0,4.344921112E-1,-1.146451354E0
2.125000000E-1,1.359958649E0,3.901157975E-1,-1.173605084E0
2.150000000E-1,1.351878405E0,3.309183419E-1,-1.197140455E0
2.175000000E-1,1.332044125E0,2.565312684E-1,-1.212453485E0
2.200000000E-1,1.300551176E0,1.773370951E-1,-1.223766685E0
2.225000000E-1,1.256366849E0,9.619779140E-2,-1.229897022E0
2.250000000E-1,1.205137730E0,1.745010726E-2,-1.229164600E0
2.275000000E-1,1.150637627E0,-4.575388134E-2,-1.222999811E0
2.300000000E-1,1.088815093E0,-9.370282292E-2,-1.208378077E0
2.325000000E-1,1.021780014E0,-1.274598688E-1,-1.185772300E0
2.350000000E-1,9.543532133E-1,-1.484896392E-1,-1.152993798E0
2.375000000E-1,8.878766894E-1,-1.563183963E-1,-1.112754941E0
2.400000000E-1,8.238420486E-1,-1.548670083E-1,-1.066656113E0
2.425000000E-1,7.591128945E-1,-1.470638067E-1,-1.013478518E0
2.450000000E-1,7.014960647E-1,-1.374455988E-1,-9.504888654E-1
2.475000000E-1,6.486997604E-1,-1.380579621E-1,-8.816654682E-1
2.500000000E-1,6.049748659E-1,-1.487779766E-1,-8.070102930E-1
2.525000000E-1,5.726994276E-1,-1.804577410E-1,-7.278176546E-1
