"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.553629398E0,-3.453559160E0,-6.062236428E-1
2.500000000E-3,3.394252300E0,-3.482367039E0,-7.742949128E-1
5.000000000E-3,3.237231255E0,-3.610102177E0,-8.523427844E-1
7.500000000E-3,3.186560154E0,-3.713482141E0,-9.853766561E-1
1.000000000E-2,3.121531963E0,-3.835419416E0,-1.121874094E0
1.250000000E-2,3.155269623E0,-3.993554115E0,-1.266513944E0
1.500000000E-2,3.140523195E0,-4.331101894E0,-1.536218882E0
1.750000000E-2,3.168981075E0,-4.755452156E0,-1.842408419E0
2.000000000E-2,3.169198036E0,-4.975942612E0,-1.978782296E0
2.250000000E-2,3.162827015E0,-5.154821873E0,-2.124326468E0
2.500000000E-2,3.153182030E0,-5.368285656E0,-2.282096148E0
2.750000000E-2,3.029039145E0,-5.492195129E0,-2.486772776E0
3.000000000E-2,3.049824476E0,-5.704849243E0,-2.658797264E0
3.250000000E-2,3.279667377E0,-5.987419128E0,-2.822822809E0
3.500000000E-2,3.332957983E0,-6.348494530E0,-3.166479349E0
3.750000000E-2,3.238507509E0,-6.581386089E0,-3.425314426E0
4.000000000E-2,3.278500080E0,-6.891025066E0,-3.729132414E0
4.250000000E-2,3.275618076E0,-7.227025986E0,-4.087289333E0
4.500000000E-2,3.165260077E0,-7.480873108E0,-4.467882633E0
4.750000000E-2,3.037273169E0,-7.821137905E0,-4.965919018E0
5.000000000E-2,3.010447502E0,-8.176032066E0,-5.513060570E0
5.250000000E-2,3.057092905E0,-8.533869743E0,-6.018217087E0
5.500000000E-2,3.135771036E0,-8.884641647E0,-6.548533916E0
5.750000000E-2,3.287541628E0,-9.269618988E0,-7.117048740E0
6.000000000E-2,3.299121141E0,-9.626015663E0,-7.690871716E0
6.250000000E-2,3.405549288E0,-1.003578091E1,-8.283667564E0
6.500000000E-2,3.343840837E0,-1.051280975E1,-8.815112114E0
6.750000000E-2,3.245788097E0,-1.086262512E1,-9.454876900E0
7.000000000E-2,3.182749271E0,-1.148290730E1,-1.036799335E1
7.250000000E-2,3.152255058E0,-1.205709076E1,-1.113401604E1
7.500000000E-2,2.926921368E0,-1.261230564E1,-1.197719097E1
7.750000000E-2,2.635002136E0,-1.325137043E1,-1.301422596E1
8.000000000E-2,2.355651617E0,-1.385926533E1,-1.391152287E1
8.250000000E-2,2.032461882E0,-1.462037754E1,-1.472435665E1
8.500000000E-2,1.756700754E0,-1.531791210E1,-1.540123367E1
8.750000000E-2,1.746603966E0,-1.611180115E1,-1.582641983E1
9.000000000E-2,1.470615387E0,-1.686178207E1,-1.582122803E1
9.250000000E-2,1.001783490E0,-1.754326820E1,-1.557455730E1
9.500000000E-2,5.027598143E-1,-1.819222260E1,-1.482539940E1
9.750000000E-2,1.047549844E-1,-1.875038528E1,-1.373208237E1
1.000000000E-1,-2.940341830E-1,-1.910691452E1,-1.258904648E1
1.025000000E-1,-4.748284519E-1,-1.934733009E1,-1.135278416E1
1.050000000E-1,-5.394011736E-1,-1.934677887E1,-9.960078239E0
1.075000000E-1,-6.947312355E-1,-1.908097076E1,-8.936697960E0
1.100000000E-1,-3.127154410E-1,-1.878061867E1,-7.863224030E0
1.125000000E-1,2.654677331E-1,-1.831741524E1,-7.005822659E0
1.150000000E-1,1.044069767E0,-1.761508560E1,-6.483994007E0
1.175000000E-1,1.931468129E0,-1.672691345E1,-6.219293118E0
1.200000000E-1,2.591434956E0,-1.575510025E1,-6.082852364E0
1.225000000E-1,2.912879229E0,-1.458201790E1,-5.913694382E0
1.250000000E-1,3.114494085E0,-1.344512463E1,-5.659158230E0
1.275000000E-1,3.308878660E0,-1.230254364E1,-5.407712460E0
1.300000000E-1,3.588268995E0,-1.122113609E1,-5.050488472E0
1.325000000E-1,3.912077427E0,-1.036036873E1,-4.564496517E0
1.350000000E-1,4.364382267E0,-9.434634209E0,-3.960284233E0
1.375000000E-1,5.023453236E0,-8.615995407E0,-3.376038551E0
1.400000000E-1,5.662567139E0,-7.993416309E0,-2.671186209E0
1.425000000E-1,6.290216446E0,-7.503917694E0,-1.906191230E0
1.450000000E-1,6.997237206E0,-7.145024776E0,-1.128968596E0
1.475000000E-1,7.623963833E0,-6.932552814E0,-2.956625819E-1
1.500000000E-1,8.053161621E0,-6.834840298E0,5.491716862E-1
1.525000000E-1,8.412688255E0,-6.750386238E0,1.074218273E0
1.550000000E-1,8.645790100E0,-6.763581753E0,1.513357997E0
1.575000000E-1,8.755873680E0,-6.899159431E0,1.804646373E0
1.600000000E-1,8.844204903E0,-7.183917522E0,2.022551060E0
1.625000000E-1,8.747453690E0,-7.584072590E0,2.071974993E0
1.650000000E-1,8.658829689E0,-8.137855530E0,1.917534828E0
1.675000000E-1,8.568049431E0,-8.856114388E0,1.514817715E0
1.700000000E-1,8.442040443E0,-9.708691597E0,8.103119135E-1
1.725000000E-1,8.273993492E0,-1.064480686E1,-1.486430764E-1
1.750000000E-1,7.918026924E0,-1.165035439E1,-1.045858026E0
1.775000000E-1,7.491222858E0,-1.265631199E1,-1.764525890E0
1.800000000E-1,7.015209675E0,-1.364629173E1,-2.154543877E0
1.825000000E-1,6.513070583E0,-1.450879478E1,-2.172696352E0
1.850000000E-1,5.966349602E0,-1.522904778E1,-1.892318130E0
1.875000000E-1,5.495159626E0,-1.576864529E1,-1.418220401E0
1.900000000E-1,5.081928253E0,-1.615335655E1,-9.311377406E-1
1.925000000E-1,4.671530247E0,-1.623651314E1,-6.101898551E-1
1.950000000E-1,4.350291729E0,-1.607060242E1,-4.770966768E-1
1.975000000E-1,4.083745480E0,-1.566916275E1,-5.984464288E-1
2.000000000E-1,3.761166096E0,-1.512580585E1,-9.355615377E-1
2.025000000E-1,3.468573570E0,-1.442757034E1,-1.417164087E0
2.050000000E-1,3.210885048E0,-1.367980671E1,-1.932273865E0
2.075000000E-1,3.008188009E0,-1.291841698E1,-2.370516300E0
2.100000000E-1,2.863955975E0,-1.216209221E1,-2.549900770E0
2.125000000E-1,2.820296526E0,-1.137681961E1,-2.475032330E0
2.150000000E-1,2.702786207E0,-1.062621975E1,-2.181457281E0
2.175000000E-1,2.570789337E0,-9.830552101E0,-1.587635398E0
2.200000000E-1,2.399001360E0,-9.081840515E0,-6.530131698E-1
2.225000000E-1,2.158243895E0,-8.291021347E0,4.947428703E-1
2.250000000E-1,1.924541712E0,-7.529261112E0,1.677035093E0
2.275000000E-1,1.819348812E0,-6.841977596E0,2.631632805E0
2.300000000E-1,1.690606236E0,-6.162877083E0,3.355644703E0
2.325000000E-1,1.480399847E0,-5.617282391E0,4.189671040E0
2.350000000E-1,1.362595201E0,-5.150716305E0,4.895795345E0
2.375000000E-1,1.410947800E0,-4.872837543E0,5.639940262E0
2.400000000E-1,1.593969584E0,-4.623610973E0,6.428013325E0
2.425000000E-1,1.699443698E0,-4.472565651E0,7.019965649E0
2.450000000E-1,1.787226081E0,-4.333895683E0,7.464180946E0
