"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.841895800E-2,-7.009165883E-1,1.150088191E0,6.504424214E-1
2.893156300E-2,-7.009165883E-1,1.150088191E0,6.504424214E-1
3.143156300E-2,-7.063632011E-1,1.134250641E0,6.498183012E-1
1.139315630E-1,-1.298032999E0,-5.830947757E-1,5.819851160E-1
1.164315630E-1,-1.384036303E0,-7.086560130E-1,5.703387260E-1
1.189315630E-1,-1.464170933E0,-8.348947763E-1,5.574119687E-1
1.214315630E-1,-1.547220707E0,-9.552413821E-1,5.432840586E-1
1.239315630E-1,-1.638673186E0,-1.073314786E0,5.301694870E-1
1.264315630E-1,-1.731193423E0,-1.169770002E0,5.272334218E-1
1.289315630E-1,-1.828452110E0,-1.238330722E0,5.304957628E-1
1.314315630E-1,-1.930190682E0,-1.268480539E0,5.373635292E-1
1.339315630E-1,-2.034748793E0,-1.256923676E0,5.474208593E-1
1.364315630E-1,-2.141179562E0,-1.200368524E0,5.620731711E-1
1.389315630E-1,-2.252040386E0,-1.111353636E0,5.722982883E-1
1.414315630E-1,-2.368841410E0,-9.880912304E-1,5.757275224E-1
1.439315630E-1,-2.486621141E0,-8.453399539E-1,5.716471076E-1
1.464315630E-1,-2.600113869E0,-6.833763719E-1,5.609792471E-1
1.489315630E-1,-2.717077732E0,-5.169827342E-1,5.443648696E-1
1.514315630E-1,-2.836106062E0,-3.476577997E-1,5.261230469E-1
1.539315630E-1,-2.951884270E0,-1.785825193E-1,5.057352781E-1
1.564315630E-1,-3.063501835E0,-1.302738301E-2,4.859881699E-1
1.589315630E-1,-3.176145077E0,1.461608559E-1,4.654906392E-1
1.614315630E-1,-3.284957170E0,2.897325456E-1,4.470784962E-1
1.639315630E-1,-3.389888287E0,4.177623689E-1,4.308227003E-1
1.664315630E-1,-3.485128641E0,5.212199092E-1,4.155906737E-1
1.689315630E-1,-3.574716806E0,5.977193117E-1,4.021039307E-1
1.714315630E-1,-3.649296761E0,6.501367092E-1,3.896778226E-1
1.739315630E-1,-3.705630302E0,6.782090068E-1,3.761229217E-1
1.764315630E-1,-3.740779638E0,6.745737195E-1,3.663425744E-1
1.789315630E-1,-3.758581638E0,6.450651288E-1,3.555810153E-1
1.814315630E-1,-3.752302885E0,5.854249001E-1,3.451241553E-1
1.839315630E-1,-3.727123022E0,4.974760711E-1,3.382077515E-1
1.864315630E-1,-3.677899599E0,3.776352704E-1,3.357137442E-1
1.889315630E-1,-3.611503124E0,2.294167727E-1,3.356780708E-1
1.914315630E-1,-3.529072762E0,5.297589675E-2,3.403339088E-1
1.939315630E-1,-3.431205273E0,-1.409915984E-1,3.478572369E-1
1.964315630E-1,-3.324331760E0,-3.537839055E-1,3.626780212E-1
1.989315630E-1,-3.211092234E0,-5.768953562E-1,3.835799992E-1
2.014315630E-1,-3.094849110E0,-8.044096231E-1,4.084768593E-1
2.039315630E-1,-2.981331348E0,-1.029615402E0,4.383220971E-1
2.064315630E-1,-2.872607708E0,-1.239892364E0,4.732465446E-1
2.089315630E-1,-2.771835804E0,-1.429222107E0,5.076974630E-1
2.114315630E-1,-2.685355186E0,-1.582738638E0,5.394485593E-1
2.139315630E-1,-2.611520767E0,-1.699977875E0,5.685494542E-1
2.164315630E-1,-2.553368807E0,-1.765119553E0,5.927914977E-1
2.189315630E-1,-2.509977818E0,-1.780797243E0,6.165823936E-1
2.214315630E-1,-2.479075670E0,-1.726954699E0,6.429383755E-1
2.239315630E-1,-2.447748899E0,-1.607301593E0,6.777933240E-1
2.264315630E-1,-2.415900707E0,-1.438127756E0,7.207389474E-1
2.289315630E-1,-2.382904053E0,-1.235402584E0,7.681025267E-1
2.314315630E-1,-2.347668171E0,-1.022107482E0,8.223784566E-1
2.339315630E-1,-2.315383196E0,-8.064863682E-1,8.802124858E-1
2.364315630E-1,-2.301755190E0,-5.820795894E-1,9.336020350E-1
2.389315630E-1,-2.302902222E0,-3.638404012E-1,9.820517898E-1
2.414315630E-1,-2.313300848E0,-1.474365890E-1,1.026445270E0
2.439315630E-1,-2.341048241E0,6.836897880E-2,1.064348698E0
2.464315630E-1,-2.382133484E0,2.670645416E-1,1.087931156E0
2.489315630E-1,-2.429539204E0,4.563603103E-1,1.100036979E0
2.514315630E-1,-2.481662750E0,6.410439014E-1,1.105347037E0
2.539315630E-1,-2.533738136E0,8.226423860E-1,1.101097465E0
2.564315630E-1,-2.582542419E0,9.976666570E-1,1.089177370E0
2.589315630E-1,-2.629726410E0,1.174640298E0,1.075182676E0
2.614315630E-1,-2.672178984E0,1.355447054E0,1.057198048E0
2.639315630E-1,-2.707726479E0,1.529419780E0,1.038680911E0
2.664315630E-1,-2.739383698E0,1.692278743E0,1.016832113E0
2.689315630E-1,-2.767861605E0,1.837966681E0,9.953245521E-1
2.714315630E-1,-2.792807341E0,1.970189095E0,9.762359262E-1
2.739315630E-1,-2.804517031E0,2.082865000E0,9.597139955E-1
2.764315630E-1,-2.816588402E0,2.176342010E0,9.459326267E-1
2.789315630E-1,-2.826732874E0,2.247770071E0,9.384399056E-1
2.814315630E-1,-2.835301161E0,2.299367666E0,9.366593361E-1
2.839315630E-1,-2.840363026E0,2.329676867E0,9.432844520E-1
2.864315630E-1,-2.841945648E0,2.334515095E0,9.567634463E-1
2.889315630E-1,-2.838865995E0,2.330406427E0,9.772347212E-1
2.914315630E-1,-2.831781864E0,2.319355249E0,1.004885435E0
2.939315630E-1,-2.819889307E0,2.299366474E0,1.041327238E0
2.964315630E-1,-2.800144196E0,2.266868353E0,1.082068205E0
2.989315630E-1,-2.781260490E0,2.224591732E0,1.119231582E0
3.014315630E-1,-2.754986763E0,2.168665886E0,1.154592872E0
3.039315630E-1,-2.727571249E0,2.106774807E0,1.187083840E0
3.064315630E-1,-2.696878910E0,2.040522814E0,1.217269421E0
3.089315630E-1,-2.660124063E0,1.975949049E0,1.241784453E0
3.114315630E-1,-2.627125740E0,1.915295124E0,1.259970546E0
3.139315630E-1,-2.592145920E0,1.859475970E0,1.273370862E0
3.164315630E-1,-2.559765816E0,1.810991645E0,1.280777693E0
3.189315630E-1,-2.529733419E0,1.767646074E0,1.280084133E0
3.214315630E-1,-2.496351719E0,1.728883505E0,1.273262620E0
3.239315630E-1,-2.461387157E0,1.696355343E0,1.262137413E0
3.264315630E-1,-2.435012817E0,1.671242237E0,1.243717790E0
3.289315630E-1,-2.405802727E0,1.648897529E0,1.223314047E0
3.314315630E-1,-2.379637241E0,1.629427075E0,1.199906468E0
3.339315630E-1,-2.351400614E0,1.606539965E0,1.175165057E0
3.364315630E-1,-2.318468332E0,1.581378579E0,1.152382970E0
3.389315630E-1,-2.280761242E0,1.558347702E0,1.129446983E0
3.414315630E-1,-2.243360281E0,1.542830467E0,1.111707568E0
3.439315630E-1,-2.196221113E0,1.528102279E0,1.100450397E0
3.464315630E-1,-2.139921665E0,1.516522527E0,1.096226454E0
3.489315630E-1,-2.084969282E0,1.511148810E0,1.096336842E0
3.514315630E-1,-2.022762060E0,1.507176995E0,1.101222992E0
3.539315630E-1,-1.958452106E0,1.506819010E0,1.112792969E0
3.564315630E-1,-1.887193799E0,1.504799008E0,1.130682945E0
3.589315630E-1,-1.809488535E0,1.504679322E0,1.157371998E0
3.614315630E-1,-1.729525208E0,1.503814459E0,1.191396117E0
3.639315630E-1,-1.641226411E0,1.498703480E0,1.230657578E0
3.664315630E-1,-1.550469875E0,1.495887518E0,1.272840142E0
3.689315630E-1,-1.465391874E0,1.497220874E0,1.322407126E0
3.714315630E-1,-1.374794602E0,1.495400548E0,1.372242212E0
3.739315630E-1,-1.286283970E0,1.489158988E0,1.414687991E0
3.764315630E-1,-1.204178572E0,1.480195403E0,1.450820327E0
3.789315630E-1,-1.128880501E0,1.463513374E0,1.478726149E0
3.814315630E-1,-1.060860276E0,1.444767952E0,1.492962956E0
3.839315630E-1,-1.000537395E0,1.425107956E0,1.497098684E0
3.864315630E-1,-9.418438673E-1,1.408524632E0,1.489172220E0
3.889315630E-1,-8.924972415E-1,1.399021268E0,1.468761563E0
3.914315630E-1,-8.484634757E-1,1.393342257E0,1.443464637E0
3.939315630E-1,-8.088047504E-1,1.388214946E0,1.408123732E0
3.964315630E-1,-7.745289803E-1,1.383888841E0,1.364944220E0
3.989315630E-1,-7.469428778E-1,1.376331568E0,1.316468000E0
4.014315630E-1,-7.190036178E-1,1.362076521E0,1.263990998E0
4.039315630E-1,-6.963192225E-1,1.345267057E0,1.207482219E0
4.064315630E-1,-6.788741946E-1,1.329628944E0,1.149065852E0
4.089315630E-1,-6.585021615E-1,1.312475801E0,1.088710308E0
4.114315630E-1,-6.421249509E-1,1.298825502E0,1.028714657E0
4.139315630E-1,-6.290880442E-1,1.286002398E0,9.668424129E-1
4.164315630E-1,-6.120197177E-1,1.275342107E0,9.056950212E-1
4.189315630E-1,-5.963973999E-1,1.269245267E0,8.450759649E-1
4.214315630E-1,-5.784617662E-1,1.264913917E0,7.834778428E-1
4.239315630E-1,-5.590654016E-1,1.261374116E0,7.257863879E-1
4.264315630E-1,-5.383607149E-1,1.261577606E0,6.719087362E-1
4.289315630E-1,-5.130351186E-1,1.265866160E0,6.205267906E-1
4.314315630E-1,-4.823067188E-1,1.271111727E0,5.707004070E-1
4.339315630E-1,-4.483270943E-1,1.274614811E0,5.249761343E-1
4.364315630E-1,-4.107093513E-1,1.275526881E0,4.824444950E-1
4.389315630E-1,-3.657570779E-1,1.266003489E0,4.456861615E-1
4.414315630E-1,-3.160646260E-1,1.251086712E0,4.113027155E-1
4.439315630E-1,-2.635715902E-1,1.234524012E0,3.813917637E-1
4.464315630E-1,-2.019479424E-1,1.211048484E0,3.584219515E-1
4.489315630E-1,-1.342135668E-1,1.183585525E0,3.387975395E-1
4.514315630E-1,-5.852877349E-2,1.154158711E0,3.250900209E-1
4.539315630E-1,2.058729529E-2,1.119880080E0,3.138648868E-1
4.564315630E-1,1.057203487E-1,1.078903317E0,3.088850975E-1
4.589315630E-1,1.909424216E-1,1.036468983E0,3.063350320E-1
4.614315630E-1,2.816967964E-1,9.904676676E-1,3.069164753E-1
4.639315630E-1,3.755105436E-1,9.436225295E-1,3.082496822E-1
4.664315630E-1,4.699686766E-1,8.958050609E-1,3.104937971E-1
4.689315630E-1,5.676073432E-1,8.483772278E-1,3.065559268E-1
4.714315630E-1,6.627416015E-1,7.981467247E-1,2.973965406E-1
4.739315630E-1,7.594237328E-1,7.479938865E-1,2.867485583E-1
4.764315630E-1,8.531605601E-1,7.015184760E-1,2.731643319E-1
4.789315630E-1,9.444248080E-1,6.582735181E-1,2.541158497E-1
4.814315630E-1,1.031534672E0,6.196741462E-1,2.315219343E-1
4.839315630E-1,1.111442804E0,5.865726471E-1,2.043115646E-1
4.864315630E-1,1.186926484E0,5.564963222E-1,1.734679490E-1
4.889315630E-1,1.260187984E0,5.314252377E-1,1.461686343E-1
4.914315630E-1,1.322118163E0,5.099669695E-1,1.174359992E-1
4.939315630E-1,1.380242825E0,4.935426712E-1,9.064952284E-2
4.964315630E-1,1.433132410E0,4.841881990E-1,6.625822932E-2
4.989315630E-1,1.480188012E0,4.802084863E-1,4.024987668E-2
5.014315630E-1,1.521923423E0,4.783952832E-1,1.263275743E-2
5.039315630E-1,1.557328939E0,4.753044546E-1,-1.575467922E-2
5.064315630E-1,1.586381793E0,4.783854485E-1,-4.416033998E-2
5.089315630E-1,1.613229036E0,4.832938313E-1,-7.031795382E-2
5.114315630E-1,1.629444957E0,4.895327091E-1,-9.541270137E-2
5.139315630E-1,1.642877698E0,4.934177399E-1,-1.177744642E-1
5.164315630E-1,1.653925300E0,4.985659122E-1,-1.340281814E-1
5.189315630E-1,1.659393430E0,5.089053512E-1,-1.405785084E-1
5.214315630E-1,1.655702233E0,5.308108926E-1,-1.400630623E-1
5.239315630E-1,1.653112292E0,5.477352738E-1,-1.399035007E-1
5.264315630E-1,1.647214413E0,5.586689711E-1,-1.416155249E-1
5.289315630E-1,1.636896491E0,5.685012937E-1,-1.395901442E-1
5.314315630E-1,1.623370767E0,5.853646398E-1,-1.327228844E-1
5.339315630E-1,1.605438828E0,6.119536161E-1,-1.195002124E-1
5.364315630E-1,1.581416488E0,6.451566815E-1,-9.880768508E-2
5.389315630E-1,1.552988887E0,6.869707108E-1,-7.214900106E-2
5.414315630E-1,1.521072268E0,7.318425775E-1,-4.218380898E-2
5.439315630E-1,1.482042670E0,7.782889009E-1,-1.417314447E-2
5.464315630E-1,1.438917875E0,8.281659484E-1,1.088317297E-2
5.489315630E-1,1.388643384E0,8.834230304E-1,3.054525144E-2
5.514315630E-1,1.333935618E0,9.417133331E-1,4.722826183E-2
5.539315630E-1,1.273458481E0,9.968584776E-1,5.952994153E-2
5.564315630E-1,1.204126120E0,1.044327497E0,7.016935945E-2
5.589315630E-1,1.126839876E0,1.082047701E0,8.555995673E-2
5.614315630E-1,1.041576266E0,1.111747861E0,1.055869833E-1
5.639315630E-1,9.497963786E-1,1.123007059E0,1.276125312E-1
5.664315630E-1,8.523300290E-1,1.112124324E0,1.568885744E-1
5.689315630E-1,7.505689859E-1,1.075051308E0,1.965397298E-1
5.714315630E-1,6.439849138E-1,1.015986085E0,2.416551262E-1
5.739315630E-1,5.299929976E-1,9.392166734E-1,2.946345806E-1
5.764315630E-1,4.141283631E-1,8.453824520E-1,3.536008000E-1
5.789315630E-1,2.950696647E-1,7.264033556E-1,4.229291677E-1
5.814315630E-1,1.789741516E-1,5.901963711E-1,4.954891205E-1
5.839315630E-1,7.021890581E-2,4.377001226E-1,5.675715804E-1
5.864315630E-1,-2.421742678E-2,2.709632218E-1,6.384653449E-1
5.889315630E-1,-1.048901007E-1,1.063626260E-1,7.051600814E-1
5.914315630E-1,-1.724963933E-1,-4.528581724E-2,7.628831267E-1
5.939315630E-1,-2.254184633E-1,-1.704635620E-1,8.123624921E-1
5.964315630E-1,-2.646973729E-1,-2.605528831E-1,8.517960310E-1
5.989315630E-1,-2.938731909E-1,-3.055873513E-1,8.774934411E-1
6.014315630E-1,-3.259918392E-1,-2.993195653E-1,8.914146423E-1
6.039315630E-1,-3.605940044E-1,-2.472255379E-1,8.995965719E-1
6.064315630E-1,-4.016410112E-1,-1.503197253E-1,9.028072357E-1
6.089315630E-1,-4.497126043E-1,-7.934423164E-3,8.956753016E-1
6.114315630E-1,-4.989742637E-1,1.551648527E-1,8.794542551E-1
6.139315630E-1,-5.444482565E-1,3.235926032E-1,8.573947549E-1
6.164315630E-1,-5.819275379E-1,4.876582921E-1,8.262579441E-1
