"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.006656647E0,3.783532104E0,1.137828873E1
9.933999972E-3,-1.689985657E-1,3.868854675E0,8.071066132E0
1.986800000E-2,-9.172924805E-1,4.352049866E0,5.518723755E0
2.980099997E-2,-1.031055908E0,4.796775055E0,5.417983246E0
3.973500000E-2,-9.355545044E-1,5.476960602E0,6.990014191E0
4.966899997E-2,8.382568359E-1,5.743406525E0,9.315129089E0
5.960300000E-2,1.500928802E0,4.482877808E0,9.746082916E0
6.953599997E-2,4.511618042E-1,3.351380768E0,8.742120667E0
7.947000000E-2,1.594184875E-1,3.554957428E0,8.247698822E0
8.940399997E-2,4.288581848E-1,3.914509735E0,8.382718048E0
9.933800000E-2,5.538482666E-1,3.808380432E0,8.902586975E0
1.092710000E-1,4.839436340E-1,3.627257080E0,9.542655945E0
1.192050000E-1,1.881587219E-1,3.641926575E0,9.570797424E0
1.291390000E-1,-1.962419128E-1,3.773053894E0,8.995693359E0
1.390727917E-1,-2.430944824E-1,4.024980011E0,8.741521912E0
1.490057916E-1,-1.676513672E-2,4.200714569E0,8.928782501E0
1.589397917E-1,1.697470093E-1,4.196672974E0,9.170230408E0
1.688737916E-1,2.733316040E-1,4.129911804E0,9.233399048E0
1.788077917E-1,2.808160400E-1,4.129612427E0,9.126521301E0
1.887407916E-1,3.035687256E-1,4.223766632E0,9.065298615E0
1.986747917E-1,1.809736633E-1,4.346511383E0,8.965007172E0
2.086087916E-1,1.178050232E-1,4.384083252E0,8.708889771E0
2.185427917E-1,1.811233521E-2,4.330644379E0,8.640182648E0
2.284757916E-1,-8.876541138E-2,4.270170135E0,8.786278839E0
2.384097917E-1,-2.221380615E-1,4.244573364E0,8.884774017E0
2.483437916E-1,-4.309538269E-1,4.197271729E0,8.790470123E0
2.582777917E-1,-4.537065125E-1,4.112098846E0,8.645272064E0
2.682117916E-1,-2.787203979E-1,4.081412659E0,8.729546814E0
2.781447917E-1,-5.807922363E-2,4.089795227E0,8.785829773E0
2.880787916E-1,1.387614441E-1,4.058809662E0,8.786578217E0
2.980127917E-1,3.128494263E-1,3.994293823E0,8.811576233E0
3.079457916E-1,4.119433594E-1,4.009562073E0,8.868607635E0
3.178797917E-1,4.140390015E-1,4.074526978E0,8.699908447E0
3.278137916E-1,4.498146057E-1,4.187541962E0,8.659043427E0
3.377477917E-1,4.839436340E-1,4.210144958E0,8.954379272E0
3.476807916E-1,4.876858521E-1,4.045337677E0,9.266180878E0
3.576147917E-1,3.873944092E-1,4.176914062E0,9.194929047E0
3.675487916E-1,-1.779798889E-1,4.014352112E0,9.102571106E0
3.774827917E-1,-7.557783508E-1,3.839964752E0,8.125103760E0
3.874167916E-1,-1.244212646E0,3.736978912E0,7.654332733E0
3.973497917E-1,-1.150208130E0,3.633394318E0,8.248596954E0
4.072837916E-1,-5.950126648E-1,3.613036652E0,9.365723877E0
4.172177917E-1,8.382568359E-3,3.620072021E0,1.059526703E1
4.271507917E-1,1.769320679E-1,3.747307434E0,1.136451736E1
4.370847917E-1,1.130149841E-1,3.821852417E0,1.121467896E1
4.470187916E-1,1.381626892E-1,3.852239227E0,1.040381516E1
4.569527917E-1,7.454498291E-1,3.907474365E0,9.335636444E0
4.668857917E-1,1.151555328E0,3.986659698E0,8.329129486E0
4.768197917E-1,4.388873291E-1,3.923491058E0,7.874225464E0
4.867537916E-1,5.322930908E-1,3.758534088E0,8.000712433E0
4.966877917E-1,7.490423584E-1,3.556753693E0,8.130791931E0
5.066207917E-1,8.047265625E-1,3.341201935E0,8.368647308E0
5.165547917E-1,8.370593262E-1,3.275189209E0,8.896898804E0
5.264887917E-1,6.096821594E-1,3.676055603E0,9.378297729E0
5.364227917E-1,4.261637878E-1,4.046834564E0,9.910890198E0
5.463557917E-1,4.430786133E-1,4.420008545E0,1.040845551E1
5.562897917E-1,5.249583435E-1,4.921166382E0,1.087174210E1
5.662237917E-1,3.878434753E-1,5.478756866E0,1.113115265E1
5.761577917E-1,1.992356873E-1,5.982758789E0,1.102936432E1
5.860907917E-1,-1.160087585E-1,5.967340851E0,1.012763947E1
5.960247917E-1,-4.252656555E-1,5.381010132E0,8.524622955E0
