"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
0.000000000E0	-4.660708008E0	3.328927460E0	8.329279175E0
1.005000000E-2	-4.552632751E0	3.307821350E0	8.320746918E0
2.009900000E-2	-4.426295471E0	3.255430298E0	8.271349640E0
3.014900000E-2	-4.308191071E0	3.243006134E0	8.178842010E0
4.019900000E-2	-4.191583557E0	3.230881348E0	8.035589905E0
5.024900001E-2	-4.149221649E0	3.274590454E0	7.859256592E0
6.029900000E-2	-4.170178070E0	3.426374817E0	7.587272186E0
7.034900000E-2	-4.193379822E0	3.485501862E0	7.504045258E0
8.039900000E-2	-4.281696167E0	3.387156372E0	7.464078369E0
9.044800000E-2	-4.378245392E0	3.334915009E0	7.461683350E0
1.004980000E-1	-4.429139557E0	3.266357574E0	7.579937439E0
1.105480000E-1	-4.525838470E0	3.107687531E0	7.737260284E0
1.205980000E-1	-4.648433533E0	2.871179352E0	8.014034729E0
1.306480000E-1	-4.776866455E0	2.634222107E0	8.295898590E0
1.406980000E-1	-4.446802826E0	2.640808411E0	8.205935669E0
1.507480000E-1	-4.099524994E0	2.755769348E0	8.073910217E0
1.607970000E-1	-3.824995880E0	2.861000519E0	8.018974457E0
1.708470000E-1	-3.688928833E0	2.865491180E0	7.931107178E0
1.808970000E-1	-3.686234436E0	2.767445068E0	7.891439667E0
1.909470000E-1	-3.741619263E0	2.637964325E0	7.865393829E0
2.009970000E-1	-3.729644165E0	2.532134399E0	7.748936005E0
2.110477083E-1	-3.473526764E0	2.545157318E0	7.578590240E0
2.210977083E-1	-3.239413605E0	2.521356812E0	7.437284088E0
2.311467083E-1	-3.093766479E0	2.490820312E0	7.225175171E0
2.411967083E-1	-2.962489471E0	2.436034241E0	6.979236603E0
2.512467083E-1	-2.850971375E0	2.267185364E0	6.734345856E0
2.612967083E-1	-2.794089661E0	2.049388275E0	6.382427673E0
2.713467083E-1	-2.870730286E0	1.837429047E0	5.943390656E0
2.813967083E-1	-2.881956940E0	1.606159973E0	5.486989746E0
2.914467083E-1	-2.838547211E0	1.386716309E0	4.962929535E0
3.014957083E-1	-2.766546936E0	1.230291595E0	4.395459595E0
3.115457083E-1	-2.740501099E0	1.099912720E0	4.002826080E0
3.215957083E-1	-2.871329041E0	8.493338013E-1	3.695365448E0
3.316457083E-1	-3.038082275E0	5.295986938E-1	3.407514038E0
3.416957083E-1	-3.246598663E0	-1.583706665E-1	3.146456909E0
3.517457083E-1	-3.565735016E0	-1.691482544E-1	2.932252350E0
3.617957083E-1	-3.618126068E0	-5.927673340E-2	2.754272461E0
3.718447083E-1	-3.651656342E0	-1.071771240E-1	2.652484131E0
3.818947083E-1	-4.147425385E0	-2.433938599E-1	2.647245026E0
3.919447083E-1	-4.738845520E0	-5.798941040E-1	2.765199738E0
4.019947083E-1	-5.307812347E0	-1.005010071E0	2.985541534E0
4.120447083E-1	-6.009253693E0	-1.344803467E0	3.215014343E0
4.220947083E-1	-6.807543640E0	-1.724114685E0	3.514092407E0
4.321447083E-1	-7.040459290E0	-2.016456757E0	3.668271790E0
4.421937083E-1	-7.217091980E0	-2.103725281E0	3.708538055E0
4.522437083E-1	-7.735763397E0	-2.062560883E0	3.655548248E0
4.622937083E-1	-8.176147614E0	-2.038311310E0	3.709136810E0
4.723437083E-1	-8.610693970E0	-2.117945709E0	3.780837708E0
4.823937083E-1	-9.261091461E0	-2.190993805E0	3.840264130E0
4.924437083E-1	-1.001372635E1	-2.268532562E0	3.932322693E0
5.024937083E-1	-1.034423904E1	-2.047741699E0	4.058510284E0
5.125427083E-1	-1.052431458E1	-1.798360291E0	3.842509460E0
5.225927083E-1	-1.076022400E1	-1.698517914E0	3.312910767E0
5.326427083E-1	-1.112067444E1	-1.752555542E0	2.772684174E0
5.426927083E-1	-1.162796951E1	-2.041305084E0	2.317780151E0
5.527427083E-1	-1.234482880E1	-2.619702301E0	2.140249329E0
5.627927083E-1	-1.310824127E1	-2.992427216E0	2.088756409E0
5.728427083E-1	-1.384441040E1	-2.867437134E0	1.999541931E0
5.828917083E-1	-1.452773941E1	-2.460732880E0	1.616787872E0
5.929417083E-1	-1.505404495E1	-2.274669800E0	1.048270111E0
6.029917083E-1	-1.543530212E1	-2.308798828E0	4.810995483E-1
6.130417083E-1	-1.585218521E1	-2.541714478E0	8.846603394E-2
6.230917083E-1	-1.621697662E1	-2.760709076E0	-6.182144165E-1
6.331417083E-1	-1.645034134E1	-2.602488098E0	-1.713486786E0
6.431917083E-1	-1.612806152E1	-2.375410309E0	-1.939217377E0
