"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
1.005000000E-2	3.320800606E-3	-1.898652315E-1	-2.233572155E-1
2.009900000E-2	-2.736281045E-2	-2.362250090E-1	-2.287668884E-1
3.014900000E-2	-5.349655077E-2	-2.769829929E-1	-2.300327569E-1
4.019900000E-2	-8.700977266E-2	-2.949098051E-1	-2.156527489E-1
5.024900001E-2	-1.402854919E-1	-2.813675404E-1	-1.869361401E-1
6.029900000E-2	-2.202144116E-1	-2.517611980E-1	-1.447780430E-1
7.034900000E-2	-2.924475372E-1	-2.451448292E-1	-1.205948368E-1
8.039900000E-2	-3.551740348E-1	-2.216709405E-1	-1.036667228E-1
9.044800000E-2	-3.920042217E-1	-2.156992555E-1	-9.611690044E-2
1.004980000E-1	-4.125867486E-1	-2.350239456E-1	-1.053668559E-1
1.105480000E-1	-4.365640283E-1	-3.012405038E-1	-1.313706487E-1
1.205980000E-1	-5.079905987E-1	-3.532874584E-1	-2.083368003E-1
1.306480000E-1	-5.816442966E-1	-4.543991089E-1	-2.720289826E-1
1.406980000E-1	-6.406705976E-1	-5.703156590E-1	-2.913121283E-1
1.507480000E-1	-6.932145357E-1	-6.984602809E-1	-2.648947239E-1
1.607970000E-1	-7.495973706E-1	-8.053097725E-1	-2.128506899E-1
1.708470000E-1	-8.066682816E-1	-8.475883603E-1	-1.737203002E-1
1.808970000E-1	-8.536195755E-1	-8.599861860E-1	-1.659875512E-1
1.909470000E-1	-8.706961870E-1	-8.616249561E-1	-1.831129640E-1
2.009970000E-1	-8.618075848E-1	-8.528538346E-1	-1.922926158E-1
2.110477083E-1	-8.338481784E-1	-8.376314640E-1	-1.835336387E-1
2.210977083E-1	-7.960515022E-1	-7.939351201E-1	-1.663860679E-1
2.311467083E-1	-7.523533106E-1	-7.007498741E-1	-1.648178697E-1
2.411967083E-1	-7.025279999E-1	-5.650303960E-1	-1.772303283E-1
2.512467083E-1	-6.593930721E-1	-3.904042840E-1	-1.988227963E-1
2.612967083E-1	-5.869364738E-1	-1.931875944E-1	-2.388703376E-1
2.713467083E-1	-4.910144210E-1	3.009741753E-2	-2.957604229E-1
2.813967083E-1	-3.842219114E-1	2.791985869E-1	-3.599266112E-1
2.914467083E-1	-2.693872452E-1	5.887200236E-1	-4.063291848E-1
3.014957083E-1	-1.675626040E-1	9.714468718E-1	-4.461354315E-1
3.115457083E-1	-8.647193015E-2	1.374261379E0	-4.852958918E-1
3.215957083E-1	-3.392669559E-2	1.765927911E0	-5.494850278E-1
3.316457083E-1	-3.906482365E-3	2.189768553E0	-7.090327740E-1
3.416957083E-1	2.812362090E-2	2.604537725E0	-9.136319757E-1
3.517457083E-1	7.703084499E-2	3.026430130E0	-1.067817211E0
3.617957083E-1	1.504613906E-1	3.500189066E0	-1.154078245E0
3.718447083E-1	2.373207211E-1	3.970797539E0	-1.212283373E0
3.818947083E-1	3.305185735E-1	4.419093609E0	-1.293542862E0
3.919447083E-1	4.111399055E-1	4.808337212E0	-1.400493860E0
4.019947083E-1	4.925569892E-1	5.064346313E0	-1.518260121E0
4.120447083E-1	5.994764566E-1	5.190367699E0	-1.616418839E0
4.220947083E-1	7.434977889E-1	5.203908920E0	-1.663021564E0
4.321447083E-1	9.220882058E-1	5.156257153E0	-1.672814846E0
4.421937083E-1	1.135019898E0	5.059518814E0	-1.724404454E0
4.522437083E-1	1.363690138E0	4.912817478E0	-1.856137037E0
4.622937083E-1	1.552392483E0	4.727696896E0	-2.056893110E0
4.723437083E-1	1.675318003E0	4.519473553E0	-2.297522783E0
4.823937083E-1	1.719064713E0	4.316284180E0	-2.536109686E0
4.924437083E-1	1.700074553E0	4.065779686E0	-2.737937450E0
5.024937083E-1	1.655515313E0	3.782316685E0	-2.876065493E0
5.125427083E-1	1.608936071E0	3.544144392E0	-2.983429670E0
5.225927083E-1	1.574533939E0	3.402525187E0	-3.105876207E0
5.326427083E-1	1.525006771E0	3.349989176E0	-3.265152454E0
5.426927083E-1	1.457694292E0	3.318338871E0	-3.464004517E0
5.527427083E-1	1.375315309E0	3.227312326E0	-3.670558214E0
5.627927083E-1	1.302849054E0	3.116123199E0	-3.881568909E0
5.728427083E-1	1.268232346E0	2.934457541E0	-4.051995754E0
5.828917083E-1	1.279393077E0	2.763114214E0	-4.089754105E0
