"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,-1.333639860E0,-7.785699964E-1,7.191404700E-1
2.349323000E-3,-1.333639860E0,-7.785699964E-1,7.191404700E-1
4.698646000E-3,-1.333639860E0,-7.785699964E-1,7.191404700E-1
7.047969000E-3,-1.333639860E0,-7.785699964E-1,7.191404700E-1
9.397291000E-3,-1.333639860E0,-7.785699964E-1,7.191404700E-1
1.174661400E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
1.414203100E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
1.653666600E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
1.893052100E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
2.132437500E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
2.371848900E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
2.611255200E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
2.850645800E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
3.090036400E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
3.329437500E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
3.568838500E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
3.808234400E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
4.047630200E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
4.287031200E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
4.526432300E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
4.765828100E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
5.005223900E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
5.244619800E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
5.484015600E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
5.723411400E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
5.962807300E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
6.202203100E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
6.441598900E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
6.680994800E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
6.920390600E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
7.159786400E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
7.399182300E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
7.638578100E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
7.877973900E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
8.117369800E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
8.356765600E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
8.596161400E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
8.835557300E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
9.074953100E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
9.314348900E-2,-1.333639860E0,-7.785699964E-1,7.191404700E-1
