subject no.,sex,age,height [m],weight [kg]
P01,m,47,1.8,82
P02,m,21,1.82,64
P03,m,24,1.77,76
P04,f,25,1.73,68
P05,m,21,1.86,70
P06,m,24,1.71,71
P07,m,25,1.79,103
P08,m,23,1.75,58
P09,f,23,1.71,60
P10,m,25,1.77,93
P11,m,24,1.84,81
P12,m,24,1.71,71
P13,m,25,1.8,63
P14,m,24,1.7,79
P15,f,26,1.63,55
P16,m,24,1.7,60
P17,m,27,1.7,70
P18,m,24,1.76,74
P19,m,23,1.81,93
P20,f,24,1.58,47
P21,m,31,1.84,83
P22,,,,
P23,,,,
P24,,,,
P25,male,26,1.81,82
P26,male,25,1.85,71
P27,male,23,1.81,68
P28,male,24,1.86,89
P29,female,20,1.75,63
P30,Female,23,1.55,60
P31,Female,26,1.6,51
P32,Female,23,1.65,52
P33,Female,27,1.62,59
P34,Male,23,1.86,70
P35,male,24,2,82
P36,M,23,1.93,89
P37,M,25,1.93,92
P38,M,26,1.73,73
P39,Male,25,1.9,89
P40,Male,26,1.75,76
P41,male,23,1.76,60
P42,Male,24,171,85
P43,Male,23,1.75,65
P44,Male,25,1.78,67
P45,male,26,1.84,80
P46,male,26,1.8,83
P47,female,24,1.62,60
P48,male,25,1.75,78
P49,male,27,1.76,84
P50,Female,29,1.63,60
P51,,,,
P52,,,,
P53,Male,25,1.8,55
P54,Male,24,1.85,78
P55,male,23,1.76,72
P56,female,23,1.64,57
P57,female,23,1.62,50
P58,male,24,1.72,78
P59,female,23,1.63,50
P60,Male,22,1.8,68
P61,Male,23,1.78,92
P62,Male,24,1.79,70
P63,Male,24,1.73,83
P64,Male,24,1.7,67
P65,male,27,1.68,77
P66,male,24,1.95,110
P67,female,23,1.66,49
P68,male,24,1.86,82.6
P69,male,24,1.83,82
P70,m,24,1.94,95
P71,male,23,1.72,72.5
P72,m,23,1.8,74
P73, male,28,1.85,95
P74,M,25,1.87,75
P75,male,24,1.78,67
P76,male,24,1.8,85
P77,male,28,1.93,91
P78,male,36,1.65,70
P79,male,26,1.65,55
P80,Male,31,1.72,68
P81,Male,25,1.82,68
P82,Female,24,1.66,46
P83,Male,24,1.75,79
P84,Male,24,1.78,86
P85,m,27,1.7,69
P86,m,23,1.93,85
P87,m,24,1.87,80
P88,m,24,1.71,68
P89,f,26,1.76,64
P90,,,,
P91,female,25,172,67
P92,male,24,1.85,83
P93,male,22,184,200
P94,Male,27,1.82,70
P95,M,24,1.78,72
P96,M,23,1.69,66
P97,M,23,1.78,68
P98,M,24,1.67,60
P99,M,24,1.75,80
P100,m,23,1.8,80
P101,m,24,183,NULL
P102,f,24,163,56
P103,f,23,173,85
P104,m,23,1.78,70
P105,male,27,1.9,81
P106,male,26,1.8,78
P107,male,25,1.7,69
P108,male,23,1.76,79
P109,male,25,1.9,80
P110,,,,
P111,M,25,1.66,77
P112,,,,
P113,,,,
P114,,,,
P115,male,27,1.77,72
P116,male,26,1.82,75
P117,male,25,1.91,87
P118,M,27,1.83,91
P119,male,22,1.79,78
P120,,,,
P121,,,,
P122,,,,
P123,,,,
P124,,,,
P125,Male,25,1.6,66
P126,Male,24,1.8,75
P127,Male,25,1.78,70
P128,Male,23,1.67,75
P129,,,,
P130,m,28,1.87,75
P131,Female,23,1.7,68
P132,Male,26,1.8,78
P133,M,24,1.78,63
P134,Male,24,1.6,72
P135,female,23,1.7,58
P136,female,27,1.6,60
P137,male,26,1.8,77
P138,male,25,1.7,70
P139,male,25,1.6,68
P140,,,,
P141,,,,
P142,,,,
P143,,,,
P144,,,,
P145,,,,
P146,,,,
P147,,,,
P148,,,,
P149,,,,
P150,,,,
